Gene,feature,corr,p-value,q-value
PON2,PON2,0.6139578557973999,0.19477715764597683,0.9542824079384756
AR,AR,0.5283845304430086,0.2811830988744717,0.9542824079384756
FABP6,FABP6,0.5249014623772525,0.28495863743159777,0.9542824079384756
PPARG,PPARG,0.46400080492909335,0.35394772455383194,0.9542824079384756
SCD,SCD,0.3945850217178246,0.4388403864404498,0.9542824079384756
ABCA1,ABCA1,0.3233337698936967,0.5319007654713402,0.9542824079384756
LPIN1,LPIN1,0.27335704588871057,0.6001776073030357,0.9542824079384756
LIPC,LIPC,0.23043382454959999,0.6604672521247247,0.9542824079384756
ABCG8,ABCG8,0.19206869583088382,0.7154397002176064,0.9542824079384756
IRS2,IRS2,0.19043076551191837,0.717806730608853,0.9542824079384756
NR0B2,NR0B2,0.16906551955212884,0.7488179332160676,0.9542824079384756
PDX1,PDX1,0.1609311789313717,0.7606871973802256,0.9542824079384756
BCL2L1,BCL2L1,0.15716392411832805,0.7661951275012473,0.9542824079384756
ABCG5,ABCG5,0.1503798855028663,0.7761305253792575,0.9542824079384756
ACOT7,ACOT7,0.1487684889938679,0.7784935433182301,0.9542824079384756
PON1,PON1,0.09376070425063487,0.8597710720653408,0.9869023869490877
PCK1,PCK1,0.07359911882901893,0.8898006587246556,0.9869023869490877
LDLR,LDLR,0.06074870202647375,0.9089890406110018,0.9869023869490877
HMOX1,HMOX1,0.024624304520230664,0.9630710087716438,0.9972595379157714
THRSP,THRSP,0.013790546125004244,0.9793154921497493,0.9972595379157714
HNF4A,HNF4A,0.001826976755540402,0.9972595379157714,0.9972595379157714
CETP,CETP,-0.11505167031108701,0.8281839575037786,0.9834684495357371
LRP1,LRP1,-0.1633845601088117,0.7571038955897583,0.9542824079384756
PCSK9,PCSK9,-0.16562974537556727,0.7538272599416571,0.9542824079384756
FASN,FASN,-0.2297856320215357,0.6613880577176823,0.9542824079384756
FAS,FAS,-0.35497243120926647,0.4899055795555317,0.9542824079384756
CIC,CIC,-0.3593541985078935,0.48417138350559186,0.9542824079384756
CAV1,CAV1,-0.3749171110736125,0.46397404037108464,0.9542824079384756
FDPS,FDPS,-0.3948971535275485,0.4384451435439446,0.9542824079384756
ACACB,ACACB,-0.4083391623670249,0.42153467035440645,0.9542824079384756
APOA5,APOA5,-0.44639856913743226,0.3748794432688938,0.9542824079384756
ACLY,ACLY,-0.5578670522676894,0.25000789968476456,0.9542824079384756
SCD5,SCD5,-0.5953695025022938,0.21246452531174415,0.9542824079384756
PRSS8,PRSS8,-0.6357428480240288,0.17485949362223613,0.9542824079384756
HK2,HK2,-0.6842187306234319,0.13383220680892488,0.9542824079384756
MTTP,MTTP,-0.6999890727577409,0.12150835946570242,0.9542824079384756
FDFT1,FDFT1,-0.705812204032954,0.1170892328894091,0.9542824079384756
MVK,MVK,-0.9551395835313713,0.002973545619804117,0.11299473355255646
