feature,p-value,effect_size,q-value,Cluster
ADGRF1,1.702520811599005e-23,0.6056734618255373,1.5217131014071908e-19,C1
SCEL,9.24728451294356e-23,0.5954164068285848,2.8063446823292965e-19,C1
MUC4,9.419371276558392e-23,0.5953036919385084,2.8063446823292965e-19,C1
F3,2.294094892442881e-22,0.589837019769803,4.2535203828469113e-19,C1
DAPP1,2.379458706000733e-22,0.5896115899896501,4.2535203828469113e-19,C1
TACSTD2,3.099807259775689e-22,0.5879772240835424,4.617679547979184e-19,C1
PHACTR3,8.397651438695864e-22,0.5817779051293404,1.0722601222723377e-18,C1
MUC16,4.583298955378736e-21,0.5710699905720823,5.120690757896893e-18,C1
C1orf116,6.759978682484276e-21,0.5685902629904015,6.483259442176405e-18,C1
STEAP4,7.253590783370335e-21,0.568139403430096,6.483259442176405e-18,C1
CST6,5.908472494413609e-20,0.5545572591758897,4.800902468642622e-17,C1
VGLL1,1.41423042136414e-19,0.5488087997819933,1.0533659588460568e-16,C1
EMP1,5.107537099182184e-19,0.5402424681361868,3.5116281994223355e-16,C1
LCN2,9.014285974584976e-19,0.5364101618735891,5.754977717202895e-16,C1
ARHGDIB,1.2991522616463399e-18,0.5339304342919083,7.741215276396658e-16,C1
INPP4B,1.3881701923893343e-18,0.5334795747316028,7.754665737234918e-16,C1
IFIT2,3.163912143755125e-18,0.5278438302277827,1.6634733376990181e-15,C1
HS3ST1,4.3526598099908095e-18,0.5256458898712929,2.1328534121118127e-15,C1
LAMA3,4.533924236979687e-18,0.5253641026461019,2.1328534121118127e-15,C1
WFDC2,9.115916555666005e-18,0.5205173623728168,4.073903108727136e-15,C1
CYSRT1,1.0044008166821416e-17,0.5198410730323583,4.2749211902404655e-15,C1
RASSF5,1.1154817407906409e-17,0.5191084262468618,4.531898090539432e-15,C1
DDX60L,1.1994002931397429e-17,0.5186012092415179,4.6609738348187046e-15,C1
CD274,1.4665990337131338e-17,0.517192273115563,5.461859234719996e-15,C1
GPR87,1.7638692410002394e-17,0.5158960518796843,6.161608898737431e-15,C1
LAMC2,1.7923677709462206e-17,0.515783336989608,6.161608898737431e-15,C1
STYK1,2.0373221351305306e-17,0.5148816178689967,6.744290831035809e-15,C1
UPK2,2.3152477142580986e-17,0.5139798987483856,7.390601453585317e-15,C1
MILR1,2.4288443255374077e-17,0.5136417540781563,7.485865717811499e-15,C1
TMEM265,2.60962440216172e-17,0.5131345370728125,7.774940968840485e-15,C1
PADI1,3.313516240102319e-17,0.5114438137216665,9.328907180423316e-15,C1
ADAM8,3.644854706965933e-17,0.5107675243812081,9.872033748745911e-15,C1
KRT7,3.97717988843248e-17,0.510147592485788,1.045530407141456e-14,C1
MAL2,7.134126573319327e-17,0.5059771415529611,1.8218520946379472e-14,C1
SAA2,9.38985413747504e-17,0.5040046309766241,2.255503864802257e-14,C1
ALDH1A3,9.688718046312604e-17,0.5037792011964713,2.255503864802257e-14,C1
FAM3C,9.84164810106154e-17,0.5036664863063949,2.255503864802257e-14,C1
ZBED2,1.1689253272254447e-16,0.5024266225155545,2.611963643685256e-14,C1
GPRC5A,1.6858285036711464e-16,0.4997778225987591,3.6751061380030995e-14,C1
HSH2D,2.483665730462384e-16,0.4969599503468491,5.28547721401733e-14,C1
FAM83A,4.7757943084197675e-16,0.492169567518602,9.701374892876334e-14,C1
FAM25A,4.962099313716005e-16,0.491887780293411,9.855831925776369e-14,C1
SLC37A2,5.915583460249481e-16,0.4905915590575325,1.1494235862545626e-13,C1
ARL14EPL,6.384463831675762e-16,0.4900279846071504,1.2141348452663396e-13,C1
ZNF185,8.083185994355381e-16,0.4882809038109662,1.5051565920322582e-13,C1
PRSS22,9.12693830122584e-16,0.487379184690355,1.664828051762379e-13,C1
IFIT3,9.99585353357376e-16,0.4867028953498967,1.7868587776616453e-13,C1
PLAU,1.2076180582768237e-15,0.4852939592239416,2.075709654784279e-13,C1
CASP4,1.1985320391838313e-15,0.4853503166689799,2.075709654784279e-13,C1
TGFA,1.2352851810746034e-15,0.485124886888827,2.083203575178265e-13,C1
ZEB1,1.858806288426586e-25,0.6322547695025875,4.153502651489207e-22,C2
LIX1L,1.153821838107319e-23,0.6080074967144085,3.8195776255567465e-21,C2
DYRK3,1.0867037219788212e-22,0.5944290239530282,2.36901411391383e-20,C2
STX2,2.686883144425123e-21,0.5744606816568808,3.531670815422316e-19,C2
CCDC88A,2.939650490999112e-20,0.5591135842921275,3.165613986572297e-18,C2
DENND5A,3.412210119138253e-20,0.5581436933806003,3.588039299395024e-18,C2
DLG4,4.6342356193405623e-20,0.5561468591509857,4.7069088597347666e-18,C2
KATNAL1,5.517419882354623e-20,0.5550058110197772,5.5409774054478216e-18,C2
CEP170,1.104706583808364e-19,0.5504416184949436,9.87386744607916e-18,C2
