,Cluster,Lineage
KMCH1,C1,bile duct
ACH-001382,C1,pancreas
ACH-001098,C1,pancreas
ACH-000270,C1,pancreas
ICC9,C1,bile duct
ACH-001653,C1,gastric
ACH-000933,C1,pancreas
ACH-000599,C1,pancreas
ACH-000911,C1,gastric
ACH-000970,C1,colorectal
ACH-000118,C1,pancreas
ACH-000042,C1,pancreas
ACH-000060,C1,pancreas
ACH-001379,C1,pancreas
ACH-000216,C1,esophagus
ACH-000466,C1,gastric
ACH-000281,C1,pancreas
ACH-000678,C1,gastric
TGBC1TKB,C1,bile duct
ACH-001375,C1,pancreas
ACH-000205,C1,pancreas
ICC2,C1,bile duct
YSCCC,C1,bile duct
AOVC1,C1,bile duct
ACH-000403,C1,colorectal
ACH-000501,C1,colorectal
ACH-000412,C1,colorectal
ACH-001378,C1,pancreas
ACH-001376,C1,pancreas
EGI1,C1,bile duct
ACH-000213,C1,pancreas
ACH-000266,C1,pancreas
HUCCT1,C1,bile duct
ACH-000139,C1,pancreas
ICC8,C1,bile duct
ICC12,C1,bile duct
ACH-000093,C1,pancreas
ACH-000417,C1,pancreas
ACH-000383,C1,esophagus
ACH-000235,C1,pancreas
ACH-000107,C1,pancreas
ACH-000332,C1,pancreas
ACH-001454,C1,colorectal
KKU213,C1,bile duct
ECC3,C1,bile duct
ACH-000535,C1,pancreas
HKGZCC,C1,bile duct
ACH-000094,C1,pancreas
SNU869,C1,bile duct
ICC17,C1,bile duct
ICC18,C1,bile duct
ACH-000354,C1,pancreas
ACH-001353,C1,pancreas
ACH-001999,C1,pancreas
ACH-000114,C1,pancreas
ACH-000138,C1,pancreas
ACH-000031,C1,pancreas
ICC10-8,C1,bile duct
SNU478,C1,bile duct
TKKK,C1,bile duct
ACH-000047,C2,gastric
ACH-000316,C2,liver
ACH-000476,C2,liver
ACH-000420,C2,liver
ACH-000483,C2,liver
ACH-000422,C2,liver
ACH-000935,C2,colorectal
ACH-000255,C2,gastric
ACH-000393,C2,liver
ACH-000217,C2,liver
ACH-000493,C2,liver
HUH28,C2,bile duct
ACH-000478,C2,liver
ACH-000616,C2,gastric
ACH-000361,C2,liver
ACH-000023,C2,pancreas
G415,C2,bile duct
ACH-000764,C2,gastric
KKU100,C2,bile duct
ACH-000344,C2,gastric
ACH-002446,C2,gastric
ACH-000577,C2,liver
OCUG1,C2,bile duct
ACH-001664,C2,gastric
ACH-000971,C2,colorectal
ACH-001654,C2,esophagus
TGBC52TKB,C2,bile duct
ACH-000468,C2,pancreas
SSP25,C2,bile duct
ACH-000155,C2,pancreas
NOZ,C2,bile duct
ACH-000517,C2,pancreas
ACH-000320,C2,pancreas
ACH-000178,C2,pancreas
ACH-000351,C2,gastric
ACH-000452,C2,esophagus
ACH-000167,C2,gastric
ACH-000943,C2,colorectal
ACH-000932,C2,gastric
ACH-001368,C2,esophagus
ACH-000601,C2,pancreas
ACH-000265,C2,pancreas
CCLP1,C2,bile duct
ECC4,C2,bile duct
KKU055,C2,bile duct
ACH-000164,C2,pancreas
ACH-001500,C2,esophagus
ACH-000538,C2,gastric
ACH-000221,C2,liver
ACH-000847,C2,gastric
ACH-000202,C2,colorectal
ACH-000347,C2,pancreas
ACH-000560,C2,gastric
ACH-000746,C2,gastric
ACH-000651,C2,colorectal
ACH-000652,C2,pancreas
ACH-000491,C2,colorectal
ACH-000225,C2,gastric
ACH-000089,C3,colorectal
ACH-001460,C3,colorectal
ACH-000986,C3,colorectal
ACH-000489,C3,colorectal
ACH-000532,C3,colorectal
ACH-000381,C3,colorectal
ACH-000798,C3,colorectal
ACH-001456,C3,colorectal
ACH-001461,C3,colorectal
ACH-001459,C3,colorectal
ACH-001458,C3,colorectal
ACH-000252,C3,colorectal
ACH-000470,C3,colorectal
ACH-000820,C3,colorectal
ACH-000680,C3,colorectal
ACH-000467,C3,colorectal
ACH-000708,C3,colorectal
ACH-000360,C3,colorectal
ACH-000926,C3,colorectal
ACH-000007,C3,colorectal
ACH-000722,C3,colorectal
ACH-000982,C3,colorectal
ACH-001345,C3,colorectal
ACH-000963,C3,colorectal
ACH-000895,C3,colorectal
ACH-000957,C3,colorectal
ACH-000959,C3,colorectal
ACH-000998,C3,colorectal
ACH-000991,C3,colorectal
ACH-000247,C3,gastric
ACH-000356,C3,gastric
ACH-000989,C3,colorectal
ACH-000969,C3,colorectal
ACH-000955,C3,colorectal
ACH-000950,C3,colorectal
ACH-000999,C3,colorectal
ACH-001786,C3,colorectal
ACH-000908,C3,gastric
ACH-001496,C3,esophagus
ACH-000239,C3,gastric
ACH-000919,C3,gastric
ACH-000581,C3,gastric
ACH-000948,C3,gastric
ACH-000022,C3,pancreas
ACH-000985,C3,colorectal
ACH-000325,C3,gastric
ACH-000679,C3,esophagus
ACH-000898,C3,gastric
ACH-000485,C3,gastric
SNU245,C3,bile duct
ACH-000400,C3,colorectal
ACH-000507,C3,gastric
ACH-000736,C3,gastric
ACH-000793,C3,gastric
ACH-000552,C3,colorectal
ACH-000674,C3,gastric
ACH-000880,C3,gastric
ACH-001061,C3,colorectal
ACH-000997,C3,colorectal
ACH-000958,C3,colorectal
ACH-001399,C3,colorectal
ACH-000842,C3,colorectal
SNU1196,C3,bile duct
ACH-000949,C3,gastric
ACH-000427,C3,gastric
ACH-000350,C3,colorectal
ACH-000253,C3,colorectal
ACH-000236,C3,colorectal
ACH-000565,C3,colorectal
ACH-000286,C3,colorectal
ACH-000342,C3,colorectal
ACH-000249,C3,colorectal
ACH-000421,C3,colorectal
OZ,C3,bile duct
ACH-000222,C3,pancreas
ACH-000144,C4,gastric
ACH-000110,C4,gastric
ACH-000561,C4,esophagus
ACH-000683,C4,colorectal
ACH-000784,C4,esophagus
ACH-000605,C4,esophagus
ACH-000865,C4,esophagus
ACH-000693,C4,esophagus
ACH-000823,C4,esophagus
ACH-000873,C4,esophagus
ACH-000637,C4,esophagus
ACH-000855,C4,esophagus
ACH-000488,C4,esophagus
ACH-000544,C4,esophagus
ACH-000824,C4,esophagus
ACH-000685,C4,pancreas
ACH-000726,C4,esophagus
ACH-000694,C4,esophagus
SNU308,C4,bile duct
ACH-000085,C4,pancreas
ACH-000305,C4,esophagus
CCSW1,C4,bile duct
ACH-000353,C4,esophagus
ACH-000761,C4,gastric
ACH-000758,C4,gastric
ACH-000967,C4,colorectal
ACH-000917,C4,esophagus
ACH-000307,C4,pancreas
ACH-000243,C4,pancreas
ACH-000809,C4,esophagus
ACH-000318,C4,esophagus
ACH-000408,C4,esophagus
ACH-000777,C4,esophagus
ACH-000647,C4,esophagus
ACH-000717,C4,esophagus
ACH-000620,C4,liver
ACH-000686,C5,liver
ACH-000537,C5,liver
ICC7,C5,bile duct
ICC21,C5,bile duct
ICC19,C5,bile duct
ICC20,C5,bile duct
ICC13-7,C5,bile duct
ACH-001380,C5,pancreas
ICC5,C5,bile duct
SNU1079,C5,bile duct
RBE,C5,bile duct
TFK1,C5,bile duct
ICC25,C5,bile duct
ICC24,C5,bile duct
ICC16,C5,bile duct
ICC6,C5,bile duct
ICC4,C5,bile duct
ICC10-6,C5,bile duct
ICC11,C5,bile duct
ICC10,C5,bile duct
GB3,C5,bile duct
ICC14,C5,bile duct
ICC26,C5,bile duct
GB2,C5,bile duct
ACH-001497,C5,esophagus
ACH-000502,C5,pancreas
ACH-000303,C5,gastric
ACH-000108,C5,pancreas
ACH-000296,C6,colorectal
ACH-000003,C6,colorectal
ACH-000009,C6,colorectal
ACH-000671,C6,liver
ACH-000475,C6,liver
ACH-001318,C6,liver
ACH-001377,C6,pancreas
ACH-000471,C6,liver
SG231,C6,bile duct
ACH-000739,C6,liver
ACH-000625,C6,liver
ACH-000480,C6,liver
ACH-000848,C6,liver
ACH-000734,C6,liver
ACH-000633,C6,gastric
