feature,p-value,effect_size,q-value
ADGRF1,1.702520811599005e-23,0.6056734618255373,1.5217131014071908e-19
SCEL,9.24728451294356e-23,0.5954164068285848,2.8063446823292965e-19
MUC4,9.419371276558392e-23,0.5953036919385084,2.8063446823292965e-19
F3,2.294094892442881e-22,0.589837019769803,4.253520382846911e-19
DAPP1,2.3794587060007335e-22,0.5896115899896501,4.253520382846911e-19
TACSTD2,3.099807259775689e-22,0.5879772240835424,4.617679547979184e-19
PHACTR3,8.397651438695864e-22,0.5817779051293404,1.0722601222723377e-18
MUC16,4.583298955378736e-21,0.5710699905720823,5.120690757896893e-18
C1orf116,6.759978682484276e-21,0.5685902629904015,6.4832594421764045e-18
STEAP4,7.253590783370335e-21,0.568139403430096,6.4832594421764045e-18
CST6,5.908472494413609e-20,0.5545572591758897,4.800902468642622e-17
VGLL1,1.41423042136414e-19,0.5488087997819933,1.0533659588460569e-16
EMP1,5.107537099182184e-19,0.5402424681361868,3.5116281994223355e-16
LCN2,9.014285974584976e-19,0.5364101618735891,5.754977717202895e-16
ARHGDIB,1.29915226164634e-18,0.5339304342919083,7.741215276396658e-16
INPP4B,1.3881701923893342e-18,0.5334795747316028,7.754665737234918e-16
IFIT2,3.163912143755125e-18,0.5278438302277827,1.6634733376990181e-15
HS3ST1,4.352659809990809e-18,0.5256458898712929,2.1328534121118127e-15
LAMA3,4.533924236979687e-18,0.5253641026461019,2.1328534121118127e-15
WFDC2,9.115916555666003e-18,0.5205173623728168,4.073903108727136e-15
CYSRT1,1.0044008166821415e-17,0.5198410730323583,4.274921190240466e-15
RASSF5,1.1154817407906409e-17,0.5191084262468618,4.5318980905394315e-15
DDX60L,1.1994002931397429e-17,0.5186012092415179,4.660973834818705e-15
CD274,1.4665990337131338e-17,0.517192273115563,5.4618592347199955e-15
GPR87,1.7638692410002394e-17,0.5158960518796843,6.161608898737431e-15
LAMC2,1.7923677709462206e-17,0.515783336989608,6.161608898737431e-15
STYK1,2.0373221351305306e-17,0.5148816178689967,6.744290831035809e-15
UPK2,2.3152477142580986e-17,0.5139798987483856,7.390601453585317e-15
MILR1,2.4288443255374074e-17,0.5136417540781563,7.485865717811499e-15
TMEM265,2.60962440216172e-17,0.5131345370728125,7.774940968840485e-15
PADI1,3.313516240102319e-17,0.5114438137216665,9.328907180423316e-15
ADAM8,3.6448547069659325e-17,0.5107675243812081,9.87203374874591e-15
KRT7,3.9771798884324794e-17,0.510147592485788,1.0455304071414559e-14
MAL2,7.134126573319327e-17,0.5059771415529611,1.821852094637947e-14
SAA2,9.389854137475041e-17,0.5040046309766241,2.2555038648022574e-14
ALDH1A3,9.688718046312604e-17,0.5037792011964713,2.2555038648022574e-14
FAM3C,9.841648101061539e-17,0.5036664863063949,2.2555038648022574e-14
