feature,p-value,effect_size,q-value
APOA2,2.862383068765908e-10,0.38236071652356407,1.553418204588058e-06
F2,5.96906694978174e-10,0.37539939691885127,1.553418204588058e-06
ASGR2,8.397927616353237e-10,0.37212348181075117,1.553418204588058e-06
VTN,9.142080002893502e-10,0.3713045030337261,1.553418204588058e-06
F7,1.0601964420615967e-09,0.3698712901739323,1.553418204588058e-06
TTR,1.0828258453040071e-09,0.36966654547967603,1.553418204588058e-06
APOC1,1.3650055259513607e-09,0.3674143538428572,1.553418204588058e-06
TF,1.547915785970522e-09,0.3661858856773196,1.553418204588058e-06
AFP,1.5641937616124996e-09,0.3660835133301915,1.553418204588058e-06
AGT,2.0299170463512615e-09,0.36352420465198826,1.8143398560287573e-06
FGA,3.2978208152879318e-09,0.35871270433696617,1.842245152940221e-06
SLC2A2,3.2978208152879318e-09,0.35871270433696617,1.842245152940221e-06
A1CF,3.1651541208765535e-09,0.35912219372547866,1.842245152940221e-06
APOE,3.132808112412743e-09,0.3592245660726068,1.842245152940221e-06
ASGR1,3.0066124344515983e-09,0.3596340554611193,1.842245152940221e-06
DUSP9,2.885371784551941e-09,0.36004354484963186,1.842245152940221e-06
TRIM71,3.653616920596372e-09,0.35768898086568485,1.9209428256641394e-06
HGD,6.386941326704784e-09,0.35205850177363773,3.1280862479872253e-06
CPN1,6.6495456155467975e-09,0.35164901238512525,3.1280862479872253e-06
APOA1,7.279377432383743e-09,0.35072766126097205,3.1725814597532724e-06
HPN,7.501934692160468e-09,0.3504205442195876,3.1725814597532724e-06
PLA2G12B,7.808994418725889e-09,0.35001105483107514,3.1725814597532724e-06
HABP2,1.0962297073780126e-08,0.34653039502871874,4.260043967193338e-06
NAT8,1.2845172354323598e-08,0.34489243747466863,4.592406020117773e-06
PDZK1,1.3362918152639363e-08,0.34448294808615615,4.593760094165024e-06
APOB,1.3900915233124065e-08,0.3440734586976436,4.601717790876404e-06
F10,1.4893461377302797e-08,0.3433568522677467,4.7542056353690145e-06
GLTPD2,1.5644221309898983e-08,0.3428449905321061,4.800357365628402e-06
FGB,1.6112186279799962e-08,0.3425378734907217,4.800357365628402e-06
SELENOP,1.866355706391987e-08,0.34100228828379975,5.054996152645933e-06
APOC2,2.246307512683816e-08,0.3390572136883653,5.736427585247985e-06
LIPC,2.3353708849755303e-08,0.33864772429985274,5.79820693608647e-06
APOH,2.649136892957389e-08,0.3373168837871871,6.150056150389188e-06
ADGRD1,2.727154721509687e-08,0.3370097667458027,6.150056150389188e-06
QPRT,2.75365268181704e-08,0.33690739439867456,6.150056150389188e-06
GSTA2,2.8899346421609522e-08,0.3363955326630339,6.150056150389188e-06
SULT1C4,2.8899346421609522e-08,0.3363955326630339,6.150056150389188e-06
ITIH2,3.2131837477136654e-08,0.33526943684462446,6.527144622060168e-06
SERPINF2,3.2131837477136654e-08,0.33526943684462446,6.527144622060168e-06
