feature,stat,p-value,effect_size,q-value,in_group_mean,out_group_mean,R3_mRNA_mean,R4_mRNA_mean
SNAI1,-5.064228708413384,4.100571237794891e-07,-0.8215263780100253,3.287426186442166e-05,-0.8995473325374483,1.768811540715769,1.257018100809524,1.1540370897647056
SPDEF,-5.034870860828379,4.78171081664315e-07,-0.8167639062534454,3.287426186442166e-05,-0.556668336795038,1.5336788737031322,2.0304445229999994,1.663683050411765
NR2F1,-4.917439470488358,8.768355631634866e-07,-0.797714019227126,4.822595597399177e-05,-0.523789769146798,1.0655498755456136,3.418981744095239,2.144042168058823
RUNX1,-4.623860994638307,3.7666233103189275e-06,-0.7500893016613275,0.00011509126781530055,-0.1802561127595881,0.7418789874317332,4.201262070523809,3.878865938058823
GATA4,-4.5945031470533015,4.337815818463294e-06,-0.7453268299047475,0.00011928993500774059,-0.2849650728332167,0.533955106373325,2.2215030751904763,1.5559542348235293
KMT2A,-4.447713909128276,8.678901510330734e-06,-0.7215144711218482,0.00019889149294507932,-0.4242904654992922,0.44959344321957523,3.7734557499523813,3.505970265764706
FOXA2,-4.388998213958266,1.138740044775885e-05,-0.7119895276086886,0.00022368108022383454,-0.16399218935628235,1.0359424032512825,3.238562759238095,1.4161058269411766
REST,-4.212851128448235,2.5216727493780932e-05,-0.6834146970692093,0.0003852555589327642,-0.6002974126610299,1.4918864564619698,2.942588127238095,3.0378566928235293
ZNF83,-4.066061890523209,4.7814242835263325e-05,-0.6596023382863101,0.0006574458389848707,-0.4675130407356695,1.1053098729177346,3.9856139934761905,3.83651775282353
ZNF197,-4.036704042938204,5.4207381250920006e-05,-0.6548398665297303,0.0007098585640001429,-0.04719013704569016,1.1290515050317353,2.529782076333334,2.868962682764706
SMAD4,-3.977988347768194,6.950077677590152e-05,-0.6453149230165706,0.0007645085445349166,-0.14609202439726296,0.5479167380740346,4.703824605666667,3.499632854882353
TP63,-3.860556957428174,0.00011312886548205884,-0.6262650359902512,0.001111087071698792,-0.5525593692351474,0.7038213350595576,0.47416694514285723,1.7935651499411769
PPARA,-3.860556957428174,0.00011312886548205884,-0.6262650359902512,0.001111087071698792,-0.5771452849485927,0.3251883545810806,2.392003106571429,2.102951727588235
TBP,-3.684409871918143,0.0002292331183769095,-0.597690205450772,0.001969972111051566,-0.38962649553309703,0.26068543863960936,3.333705233476191,3.5236441294705876
RARA,-3.6256941767481328,0.0002881862525668397,-0.5881652619376123,0.002264320555882312,-0.7572051725013693,0.1725317211024151,4.8428044723333326,3.499351328058824
GLYR1,-3.5669784815781225,0.0003611211216823907,-0.5786403184244525,0.002422153864942865,-0.4392376584839108,0.509715127210261,5.574815089666667,4.931397789294118
NFKB2,-3.5376206339931175,0.0004037497025950423,-0.5738778466678728,0.0025234356412190146,-0.3101869046563587,0.8885763875966086,5.13099601152381,3.944202752705882
PRDM1,-3.449547091238102,0.0005615277821522869,-0.5595904313981331,0.0033569595672147587,-0.29298586359857165,0.5398844132989797,0.5385872478095239,1.2335014644705884
FOSL1,-3.420189243653097,0.0006257758654849414,-0.5548279596415533,0.00358517422934081,-0.4092967823195085,0.8086042723979256,5.5843892348095245,5.5424626262941175
RARB,-3.420189243653097,0.0006257758654849414,-0.5548279596415533,0.00358517422934081,-0.3605494363262689,1.0375284642258216,1.830762039238095,1.154581322705882
PPARD,-3.3614735484830867,0.0007752778194260278,-0.5453030161283936,0.004100026929656878,-0.041211799456679465,0.6632265573786132,4.322827483285714,3.5665788569411765
GATA6,-3.3027578533130764,0.0009573902157002936,-0.5357780726152338,0.004967590741841146,-0.13500412567992162,0.7225340090741758,3.094217798,2.553702022647059
FOXA1,-3.214684310558061,0.001305880506115224,-0.5214906573454943,0.00608673117257096,0.33505466954370755,1.250511878141607,4.081104704714286,3.2948128410588233
GRHL2,-3.214684310558061,0.001305880506115224,-0.5214906573454943,0.00608673117257096,0.09418855099310042,0.8502998184637768,2.1138606124761905,4.42733647
YY1,-3.1853264629730558,0.0014459079411270823,-0.5167281855889144,0.006627078063499128,-0.13648577964381284,0.9322317619099817,5.248777140857142,5.529766277882353
CUX1,-3.1266107678030455,0.0017683387540660498,-0.5072032420757547,0.007972018973248585,0.0806648661425704,0.46196654200073284,5.3706381671428565,4.740256683058823
ZNF148,-3.0385372250480303,0.0023772973217871998,-0.49291582680601514,0.009905405507446665,-0.797695173954973,0.9750181451928386,3.3096088854285703,3.164211302588235
ARID3A,-3.0385372250480303,0.0023772973217871998,-0.49291582680601514,0.009905405507446665,-1.1819067414105173,-0.1397242287856605,1.5089271081904758,1.6505288117647061
RARG,-3.0385372250480303,0.0023772973217871998,-0.49291582680601514,0.009905405507446665,-0.19920029669397957,0.8797909672690306,4.149531344476189,4.545851006647059
AHR,-3.0385372250480303,0.0023772973217871998,-0.49291582680601514,0.009905405507446665,-0.49278388062265743,0.7882369310260514,4.848408812333334,4.55414402117647
ATF4,-3.0091793774630253,0.002619544046004941,-0.4881533550494353,0.010291065895019411,-0.49975047456253463,0.2558199195580549,8.55827482990476,8.699601807823528
STAT2,-2.97982152987802,0.002884163670021623,-0.4833908832928554,0.01071817580075603,-1.0254997554228853,0.4768511998032745,4.455343550190476,4.698812529764706
NFE2L1,-2.8917479871230047,0.0038310511388570433,-0.46910346802311587,0.013506911066483166,-1.102639062402241,-0.15150670693249352,7.098439692999999,6.258310267058823
SOX9,-2.8623901395379994,0.004204589961524347,-0.46434099626653597,0.014453277992739943,-0.1931429676684337,0.9168501776692717,5.162135734142858,4.419395117941176
KLF2,-2.8623901395379994,0.004204589961524347,-0.46434099626653597,0.014453277992739943,0.24932315119677645,1.1074701698741944,1.5131375382380952,1.2112670284705884
CBX2,-2.8330322919529944,0.00461087278262726,-0.4595785245099562,0.015463292868567033,-0.359816944062863,0.6253073688737946,2.4778087774285713,1.9283396630000003
TEAD1,-2.774316596782984,0.005531781510409134,-0.45005358099679643,0.018109998992410854,-0.6608560922577358,0.17167228092168246,4.841827199285714,4.139230117294118
IRF9,-2.744958749197979,0.006051850424024559,-0.4452911092402166,0.018912032575076745,-0.43903742975680665,0.8108078478748314,4.982784451428572,5.604856076882353
E2F4,-2.686243054027969,0.007226050264835041,-0.4357661657270569,0.021367352933652002,-0.2067999988608314,0.5797161733916167,5.452521840666665,5.468704966117648
DR1,-2.686243054027969,0.007226050264835041,-0.4357661657270569,0.021367352933652002,-0.2067999988608314,0.5797161733916167,4.5701920062857155,4.355846678411765
ZNF263,-2.6568852064429636,0.007886629279367412,-0.431003693970477,0.02282971633501093,-0.1290622221868536,0.56587740000452,4.58612903852381,4.414465991117647
TP73,-2.5688116636879483,0.010204790207277364,-0.41671627870073746,0.02806317307001275,-1.1566504741989958,-0.12863884855239427,0.9766068976190476,1.161760813882353
MYNN,-2.5688116636879483,0.010204790207277364,-0.41671627870073746,0.02806317307001275,-0.918359623783978,-0.23696762818683811,3.2580228834285725,3.498829810411764
FOXP1,-2.5394538161029434,0.011102570283904073,-0.4119538069441576,0.029357757962246347,0.16279758951737833,0.8479811317160239,3.458248048619048,2.6618740118823534
ZNF318,-2.510095968517938,0.01206983545559906,-0.4071913351875777,0.031313252361223974,-0.4242245189278627,0.1517134183806052,2.417610763142857,2.511318451294118
ZNF274,-2.422022425762923,0.015434398029080136,-0.3929039199178382,0.038939995027495754,-0.2193650382834454,0.4582738553105039,3.9317370675238097,3.9612298628235294
CEBPG,-2.2752331878378973,0.022891944973866776,-0.3690915611349389,0.053805853571054385,-0.1399129017887433,0.4235833596721045,4.345056574619049,4.876272846294118
PPARG,-2.1871596450828816,0.028730871706417072,-0.3548041458651993,0.06529743569640244,-0.6032443925587694,-0.05056651379945978,3.282531554666668,4.508832873235295
ATF2,-2.1578017974978767,0.030943245082528378,-0.35004167410861947,0.06974911801389592,-0.33156569075307274,0.2007015989798273,4.41729370452381,3.603607629647059
ZZZ3,-2.069728254742861,0.038477799271505596,-0.3357542588388798,0.08331806928869322,-0.7749461985525213,-0.13800874010621741,4.204085593904763,4.182437210470587
ATF3,-2.069728254742861,0.038477799271505596,-0.3357542588388798,0.08331806928869322,0.12473269835813303,0.6629547184824761,4.494261262380952,4.059899314588235
POU2F1,-2.040370407157856,0.04131344705015077,-0.33099178708230004,0.08875935889680829,-0.3095804787309076,0.3975923487865662,1.9987290549047618,2.0570066488823535
BRF2,-2.011012559572851,0.044324130118260856,-0.3262293153257202,0.09448942467071113,-0.3447280592768238,0.09156839417889105,3.1044330319523814,3.244766862117647
