,RNA_Cluster,Subtype,Hepatocyte,Bile_duct
SNU886,R1,HCC,0.019967282898264264,-0.7283687103666971
JHH4,R1,HCC,-0.22452019325770156,-0.39848741862850123
SNU449,R1,HCC,-0.7256699905583098,-0.33300988840785845
OCUG1,R1,GBC,-0.2695810466209518,-0.14987317495820876
NOZ,R1,GBC,-1.2106594192738251,-0.3896576778819384
TGBC52TKB,R1,AC,-0.9027352943275163,-0.7586128562764347
SSP25,R1,ICC,-0.9455252969832513,-0.6726416076806827
KKU100,R1,ECC,-0.22713891745317194,-0.64765829333769
G415,R1,GBC,-1.0959266194392767,-1.6631145519161197
CCLP1,R1,ICC,-1.6563285455782406,-1.6859172015800246
SNU398,R1,HCC,-1.5642206568135157,-2.425676344682139
HLF,R1,HCC,-1.822313474070489,-1.9064013399663944
KKU055,R1,ICC,-1.1474936993458327,-2.01706068965491
SNU182,R1,HCC,-1.186267262252075,-1.3261880158290862
SNU475,R1,HCC,-1.1931261925661993,-1.6436431240465372
SNU387,R1,HCC,-1.3074307094659456,-1.4001390882691869
JHH6,R1,HCC,-0.9375253345618652,-1.2149720205125165
SKHEP1,R1,HCC,-1.541943280905818,-1.1103959718629763
HUH28,R1,ICC,-1.4929533094564686,-1.5258231514487568
SNU423,R1,HCC,-1.9065076947810113,-1.2853923192563523
ECC4,R1,ECC,-1.387110843757959,-1.395210563028666
JHH2,R1,HCC,-0.2149675994026717,-0.557083987786947
HUH6,R2,HCC,1.4343379550061937,-0.43503619761478984
HEP3B217,R2,HCC,1.6817504553247882,-0.6016171983133541
JHH5,R2,HCC,2.0016748305017305,-0.2052106294411971
JHH7,R2,HCC,1.7354047760869575,-1.181506009002744
HUH7,R2,HCC,1.9101064429496726,-0.9858069589937504
HEPG2,R2,HCC,2.036757436138019,-1.2394621170237012
HUH1,R2,HCC,1.7922603775716486,-0.9061023271094658
PLCPRF5,R2,HCC,1.1275040362356068,-0.664548183804575
SNU761,R2,HCC,1.3710281132852313,0.12550312757684204
SNU878,R2,HCC,1.0191872384077034,-0.16171810176222925
LI7,R2,HCC,1.05661049640755,-0.6639044475406561
SG231,R2,ICC,0.926935859557205,-1.00522649739246
ICC7,R3,ICC,1.1277086468158706,1.1418232985294796
ICC13-7,R3,ICC,1.5102709666194536,0.37601235879288236
ICC20,R3,ICC,1.0199689254334496,0.8787426900156435
ICC19,R3,ICC,0.8149119184486119,0.6467025144248164
ICC21,R3,ICC,1.2531643999832378,0.616421765423232
SNU1079,R3,ICC,0.18430213268310505,-0.42149586051338656
RBE,R3,ICC,0.22306930461780158,-0.18194329347788663
ICC5,R3,ICC,-0.4449282373744159,0.19702404458505512
GB3,R3,GBC,0.9498589988886222,0.9274870946336795
ICC14,R3,ICC,0.7444613147686895,0.44492966438928183
ICC26,R3,ICC,0.7574623520703118,0.6748774535488575
ICC6,R3,ICC,0.501861013095769,1.4153236780340788
ICC24,R3,ICC,0.5038919425573714,1.4304320214078057
ICC16,R3,ICC,0.8807035925024931,1.432530487796412
ICC4,R3,ICC,0.5621284258788479,1.3263391709103527
ICC10-6,R3,ICC,0.797310614547663,1.1745985160205412
ICC11,R3,ICC,0.6574750710464672,1.2204674507287039
ICC10,R3,ICC,-0.019597461732060173,0.8847936934371643
ICC25,R3,ICC,-0.42691432525240924,1.0330134896581293
ICC10-8,R3,ICC,-0.6552240382693225,1.3659223400317784
ICC18,R3,ICC,0.9326882173020472,1.3353703792093685
ICC17,R3,ICC,-0.1792938699298281,1.2428153782241411
ICC9,R4,ICC,-0.28138817610621825,0.04775797399316415
HUCCT1,R4,ICC,-0.4144768342003066,0.35101993231708783
ICC8,R4,ICC,-0.02686863518539659,0.8949316766717356
ICC12,R4,ICC,-0.05905801044738486,0.9884678034461941
EGI1,R4,ECC,-0.08922917834341725,1.123270741343967
AOVC1,R4,AC,-0.7077344440621067,1.0775373194276476
TGBC1TKB,R4,GBC,-0.5306062614897108,0.8947838690170069
YSCCC,R4,ICC,-0.8033767607452941,0.42608376040249873
ICC2,R4,ICC,-0.25292461952939893,0.5867192588026457
ECC3,R4,ECC,-0.25897746158475293,0.8173027070094088
HKGZCC,R4,ICC,-0.40106458615810364,0.6560830121436568
KKU213,R4,ICC,-0.7099525851736642,0.11884918919912249
SNU308,R4,GBC,-0.709703317869591,0.641904139324132
CCSW1,R4,ICC,-0.8064842901630809,-0.43281330880980884
KMCH1,R4,ICC,-0.9321295293507126,0.11232912718519525
TFK1,R4,ECC,0.038251098900974195,0.4652004406473984
SNU478,R4,AC,-0.13639872788645122,1.0493191581466028
SNU869,R4,AC,-0.4099130907016184,1.0548646096994032
SNU1196,R4,ECC,-0.7817982345717605,0.2314019274247465
TKKK,R4,ICC,0.03132842652076645,0.5396725883209923
SNU245,R4,ECC,0.25215883018038127,0.41477298496669085
OZ,R4,ICC,0.7152929345155922,1.031332339957553
GB2,R4,GBC,0.4261936292509898,0.9069839513535319
