statistic,source,condition,score,p_value,q-value,feature
viper,MBD4,HEPG2,7.0303211840575095,2.060586496588337e-12,4.476624163838162e-08,MBD4--HEPG2
viper,MBD4,HUH7,6.906775251933568,4.957944586255528e-12,5.385567306820068e-08,MBD4--HUH7
viper,MBD4,JHH7,6.765195968897714,1.3312887778933694e-11,9.640749566577817e-08,MBD4--JHH7
viper,MBD4,HEP3B217,6.284555477300772,3.287931096728285e-10,1.78575757691055e-06,MBD4--HEP3B217
viper,MBD4,JHH5,5.919761714476345,3.2240840165985796e-09,1.4008645052120829e-05,MBD4--JHH5
viper,MBD4,PLCPRF5,5.641560554011093,1.685157522994369e-08,6.101674531175445e-05,MBD4--PLCPRF5
viper,HNF4A,HEPG2,5.594844136009688,2.2082005583120586e-08,6.853308161332782e-05,HNF4A--HEPG2
viper,HNF4A,JHH5,5.541695361916366,2.995571196013737e-08,8.134848029174804e-05,HNF4A--JHH5
viper,HNF4A,JHH7,5.348796935522236,8.854081606722889e-08,0.00021372769211783864,HNF4A--JHH7
viper,HNF4A,HUH7,5.319326392346159,1.041521426939914e-07,0.0002262705300026963,HNF4A--HUH7
viper,HNF4A,HEP3B217,5.270756400224419,1.358626879169749e-07,0.0002683288086360254,HNF4A--HEP3B217
viper,MBD4,HUH1,5.1449950945130585,2.675278015503546e-07,0.0004843367907234545,MBD4--HUH1
viper,HNF4A,HUH6,4.8406090316984764,1.2944181299404256e-06,0.0019060388189711154,HNF4A--HUH6
viper,RFX5,OCUG1,4.837318864338859,1.3160221995197576e-06,0.0019060388189711154,RFX5--OCUG1
viper,ZNF175,HEPG2,4.855727647507443,1.1994546666703664e-06,0.0019060388189711154,ZNF175--HEPG2
viper,HNF1B,ICC2,-4.576685779536504,4.724001964092755e-06,0.006414308916869694,HNF1B--ICC2
viper,HIF1A,ICC9,-4.438706137998004,9.050128079626728e-06,0.011565531325287686,HIF1A--ICC9
viper,TFCP2,PLCPRF5,4.3318467861191285,1.4786382605374253e-05,0.016907061163250296,TFCP2--PLCPRF5
viper,RFX5,ICC2,4.342891247798802,1.4061975279605107e-05,0.016907061163250296,RFX5--ICC2
viper,RFX5,KMCH1,4.2678479064918635,1.973678134738942e-05,0.02143907873860176,RFX5--KMCH1
viper,CEBPB,ICC16,4.252678588730492,2.1122864230157116e-05,0.021852105971436348,CEBPB--ICC16
viper,MBD4,ICC13-7,4.22006521775303,2.442316540188565e-05,0.024117875834362076,MBD4--ICC13-7
viper,MBD4,SNU878,4.205686642969132,2.6029067462039276e-05,0.024586151765774056,MBD4--SNU878
viper,RFX5,ICC18,4.190344877205235,2.7853078023935063e-05,0.025212838336249554,RFX5--ICC18
viper,HNF1A,HUH1,4.174890691322738,2.981291675925945e-05,0.025907424663796464,HNF1A--HUH1
viper,RFX5,SNU869,4.153909173776384,3.2684295166911875e-05,0.027310242788506172,RFX5--SNU869
viper,HNF1A,HEPG2,4.132892093960712,3.5822693213195183e-05,0.028824000372469086,HNF1A--HEPG2
viper,HNF1A,ICC13-7,4.117992767155929,3.821866881891662e-05,0.029653592146105846,HNF1A--ICC13-7
viper,TFCP2,HEPG2,4.085253955055764,4.402863436191384e-05,0.03298352005215787,TFCP2--HEPG2
viper,HNF1B,ECC3,-4.071042628263443,4.6803182840976245e-05,0.0338933049073403,HNF1B--ECC3
viper,MBD4,HUH6,4.055798264861334,4.9963369435831864e-05,0.03501465164494991,MBD4--HUH6
viper,HNF1B,LI7,4.035929333152625,5.438658556863649e-05,0.03692339285870712,HNF1B--LI7
viper,TFCP2,HUH7,4.017665415678327,5.877757343571612e-05,0.038695235845179775,TFCP2--HUH7
viper,ZNF92,SNU387,4.002862995714504,6.25805451649758e-05,0.03998712775614997,ZNF92--SNU387
viper,HNF4A,HUH1,3.953605643336421,7.69822509398431e-05,0.045493455452643446,HNF4A--HUH1
viper,ZNF750,SNU387,3.9520633442168465,7.748022332556076e-05,0.045493455452643446,ZNF750--SNU387
viper,ZHX2,HEPG2,-3.954869036162853,7.657658722384843e-05,0.045493455452643446,ZHX2--HEPG2
viper,ELK1,ICC10-8,-3.931190475703712,8.45262692567971e-05,0.04702806183268754,ELK1--ICC10-8
viper,CEBPA,JHH7,3.9253939384431495,8.658791591749144e-05,0.04702806183268754,CEBPA--JHH7
viper,RFX5,CCSW1,-3.9365301747717085,8.266822977288125e-05,0.04702806183268754,RFX5--CCSW1
viper,CEBPA,ICC20,3.901684860163958,9.552546950328253e-05,0.05061684938923934,CEBPA--ICC20
viper,HNF1B,SNU1196,-3.8869549995806176,0.0001015095631645931,0.05250702999406631,HNF1B--SNU1196
viper,HIF1A,KMCH1,-3.8770520158494275,0.00010572976054664814,0.053418117392463514,HIF1A--KMCH1
viper,CEBPB,SNU475,-3.8419211636659027,0.00012207504926403537,0.06027455557411746,CEBPB--SNU475
viper,TP53,JHH7,-3.829031241213383,0.0001286486766530044,0.062108722228589354,TP53--JHH7
viper,MBD3,OCUG1,-3.783425171419121,0.0001546848439755024,0.07305496163843021,MBD3--OCUG1
viper,ZNF175,HUH7,3.7732161621700366,0.0001611565427568623,0.07313845920411528,ZNF175--HUH7
viper,HIF1A,SNU1196,-3.7679272600226623,0.00016460864885387596,0.07313845920411528,HIF1A--SNU1196
viper,CEBPA,HEPG2,3.767392841063536,0.0001649613118988101,0.07313845920411528,CEBPA--HEPG2
viper,MEIS1,ICC16,-3.742016210070806,0.00018254973675208602,0.07931786061878138,MEIS1--ICC16
viper,RUNX2,SNU387,3.7157053834156364,0.00020263758757014234,0.08631963901884986,RUNX2--SNU387
viper,ZNF92,RBE,3.710109345315677,0.00020716974883565822,0.08655313064335912,ZNF92--RBE
viper,TFCP2,JHH7,3.648465502611157,0.00026381131800359885,0.10813775252128652,TFCP2--JHH7
viper,FOS,SNU1196,-3.618713814860132,0.00029607082821596283,0.11911368042577393,FOS--SNU1196
viper,RFX5,HUH7,-3.568722443027558,0.00035872621043516844,0.12640698585525367,RFX5--HUH7
viper,ZNF589,SNU387,3.567250048746264,0.00036074720934525795,0.12640698585525367,ZNF589--SNU387
viper,RFX5,SNU449,-3.585706066616171,0.0003361674304904671,0.12640698585525367,RFX5--SNU449
viper,HNF1B,HUH28,-3.568491021426777,0.00035904315538739314,0.12640698585525367,HNF1B--HUH28
viper,CEBPA,HUH7,3.598472584857015,0.00032009158480141313,0.12640698585525367,CEBPA--HUH7
viper,NME2,ICC17,-3.577831238454749,0.0003464570185339775,0.12640698585525367,NME2--ICC17
viper,SMAD3,SNU387,3.5921063128804427,0.0003280159721200036,0.12640698585525367,SMAD3--SNU387
viper,FOS,KKU100,3.5744700348664376,0.00035093799914280647,0.12640698585525367,FOS--KKU100
viper,RFX5,SNU423,-3.5166598317641142,0.0004370134578593458,0.13686025343483796,RFX5--SNU423
viper,HNF1A,JHH5,3.503568509922528,0.0004590685514249418,0.13686025343483796,HNF1A--JHH5
viper,CREB1,SNU478,3.526406863052245,0.0004212392963392892,0.13686025343483796,CREB1--SNU478
viper,ELK1,ICC12,-3.529231743807905,0.00041676799556864994,0.13686025343483796,ELK1--ICC12
viper,ZNF175,HEP3B217,3.5137166448728263,0.0004418839102238021,0.13686025343483796,ZNF175--HEP3B217
viper,STAT1,RBE,-3.5216119763952864,0.00042893147258254126,0.13686025343483796,STAT1--RBE
viper,RELA,ICC10-8,3.5396211229295673,0.0004007018459454415,0.13686025343483796,RELA--ICC10-8
viper,SRF,HUH28,3.51945390677643,0.0004324361699306516,0.13686025343483796,SRF--HUH28
viper,TP73,ICC11,-3.5060996182176893,0.0004547249957256216,0.13686025343483796,TP73--ICC11
viper,ZNF175,LI7,3.5332935013378015,0.00041041656721564027,0.13686025343483796,ZNF175--LI7
viper,CDX2,GB2,3.5031006548209627,0.00045987565020682035,0.13686025343483796,CDX2--GB2
viper,CEBPB,JHH2,3.482870865993509,0.0004960675873505776,0.14563605858366618,CEBPB--JHH2
viper,CEBPB,SNU1196,-3.4727371401128293,0.000515179658167512,0.14745940948728925,CEBPB--SNU1196
viper,HIF1A,EGI1,-3.4723863367163905,0.0005158534002777437,0.14745940948728925,HIF1A--EGI1
viper,CREB1,ICC2,3.461792781255596,0.0005365901255055048,0.1494541086744499,CREB1--ICC2
viper,ZNF175,JHH7,3.4635955375429224,0.0005330072820078295,0.1494541086744499,ZNF175--JHH7
viper,ZNF92,SNU449,3.444618080981034,0.0005718667906391038,0.15726336742575353,ZNF92--SNU449
viper,TWIST2,SNU387,3.4378687262987695,0.0005863118626858165,0.15828482016658635,TWIST2--SNU387
viper,AR,JHH5,3.4361001192072793,0.0005901528392862368,0.15828482016658635,AR--JHH5
viper,TFCP2,HEP3B217,3.4327672241640186,0.0005974548000430347,0.15828909184066986,TFCP2--HEP3B217
viper,NME2,ECC3,-3.4206745992161953,0.0006246602422209309,0.15992505713382008,NME2--ECC3
viper,HNF1B,SNU387,-3.4156747786644983,0.0006362418461910604,0.15992505713382008,HNF1B--SNU387
viper,HNF1B,TGBC52TKB,-3.4187369872579114,0.0006291250582412135,0.15992505713382008,HNF1B--TGBC52TKB
viper,ZHX2,HUH7,-3.426605644000443,0.0006111759673347201,0.15992505713382008,ZHX2--HUH7
viper,ZNF750,SNU869,-3.413884854543062,0.0006404363622850333,0.15992505713382008,ZNF750--SNU869
viper,HNF1B,ICC13-7,3.3953629453038974,0.00068537678533104,0.16270366887320162,HNF1B--ICC13-7
viper,HNF1B,SNU398,-3.4028481367926915,0.000666873358939959,0.16270366887320162,HNF1B--SNU398
viper,ZHX2,JHH7,-3.3973000327040914,0.0006805430608399131,0.16270366887320162,ZHX2--JHH7
viper,CEBPA,SNU1196,-3.393915383245108,0.000689009783030359,0.16270366887320162,CEBPA--SNU1196
viper,ELF3,SNU387,-3.4037562579774323,0.0006646603481855869,0.16270366887320162,ELF3--SNU387
viper,ZNF175,ICC13-7,3.389585100177444,0.0006999847856267183,0.1631387160328388,ZNF175--ICC13-7
viper,PCGF2,ICC10,-3.3872887171052364,0.0007058706240316156,0.1631387160328388,PCGF2--ICC10
viper,NFKB1,SNU449,-3.3724622313218786,0.0007449930339811413,0.16859347565875307,NFKB1--SNU449
viper,RFX5,SKHEP1,3.3735992945440203,0.0007419228268182199,0.16859347565875307,RFX5--SKHEP1
viper,HNF4A,PLCPRF5,3.3410375914990773,0.0008346592134236483,0.18693784960442023,HNF4A--PLCPRF5
viper,CEBPB,ICC9,-3.3297258138450836,0.0008693154191720786,0.19211658331779125,CEBPB--ICC9
viper,CEBPB,KMCH1,-3.326440762927397,0.0008796271423611653,0.19211658331779125,CEBPB--KMCH1
viper,HNF1A,ICC7,3.3249603551745976,0.0008843110854673935,0.19211658331779125,HNF1A--ICC7
viper,NFKB1,ICC16,3.319336263153824,0.0009023170303826332,0.19218468122610496,NFKB1--ICC16
viper,ZBTB7A,ICC25,3.321265446033337,0.0008961026679582519,0.19218468122610496,ZBTB7A--ICC25
viper,HIF1A,TKKK,-3.310853250757317,0.0009301197231444463,0.1961830192748844,HIF1A--TKKK
viper,ZNF92,TKKK,-3.3014755558222624,0.0009617771499005992,0.2009096978999088,ZNF92--TKKK
viper,CEBPB,HUH6,-3.2909927941671246,0.00099834470548237,0.2065622735867094,CEBPB--HUH6
viper,MBD4,ICC20,3.2758561715835075,0.001053421929521535,0.215901805838258,MBD4--ICC20
viper,CEBPA,JHH5,3.2655353858438327,0.001092573534685767,0.21915651874767236,CEBPA--JHH5
viper,RARB,ECC3,3.261139775195067,0.0011096532594818854,0.21915651874767236,RARB--ECC3
viper,RUNX2,HLF,3.266675191039849,0.0010881845411443171,0.21915651874767236,RUNX2--HLF
viper,SRF,ICC4,-3.2634591516413334,0.0011006104892452252,0.21915651874767236,SRF--ICC4
viper,HNF1A,HEP3B217,3.2577142797816245,0.0011231342753712777,0.21982064984181088,HNF1A--HEP3B217
viper,CEBPB,ICC20,3.2462601762025174,0.001169319219537674,0.22681660753978547,CEBPB--ICC20
viper,RUNX2,SNU423,3.2405898548414522,0.001192826720445295,0.22932885399711533,RUNX2--SNU423
viper,ZNF750,JHH2,3.23536703159138,0.0012148645524930172,0.2315169509027263,ZNF750--JHH2
viper,TP73,ICC10,-3.231763161921326,0.0012302897998003142,0.2324177904405376,TP73--ICC10
viper,GTF2B,HKGZCC,-3.2291190957515417,0.0012417217225079908,0.2325552105300526,GTF2B--HKGZCC
viper,ZNF92,JHH5,-3.2255048759244467,0.0012575069374829225,0.23349861723774779,ZNF92--JHH5
viper,SMAD3,SNU182,3.2208540031934567,0.0012780923856096876,0.23530980574042767,SMAD3--SNU182
viper,HIF1A,AOVC1,-3.2167114444987552,0.0012966894389739813,0.23672754673705665,HIF1A--AOVC1
viper,ZHX2,JHH5,-3.1896654828759403,0.0014243756371690286,0.24248912996029517,ZHX2--JHH5
viper,STAT1,YSCCC,-3.1920907665595513,0.0014124693919152131,0.24248912996029517,STAT1--YSCCC
viper,HNF1B,SNU182,-3.2041927933870236,0.0013544174731058044,0.24248912996029517,HNF1B--SNU182
viper,HIF1A,ECC3,-3.1974089844776192,0.0013866816396264517,0.24248912996029517,HIF1A--ECC3
viper,HIF1A,TGBC1TKB,-3.1931226996295985,0.001407431290698049,0.24248912996029517,HIF1A--TGBC1TKB
viper,RFX5,HKGZCC,3.205298737983657,0.0013492236684869525,0.24248912996029517,RFX5--HKGZCC
viper,CEBPB,OZ,-3.1912306727878708,0.0014166812389450414,0.24248912996029517,CEBPB--OZ
viper,CEBPA,EGI1,-3.2001048148562212,0.001373776183913404,0.24248912996029517,CEBPA--EGI1
viper,FOS,SNU245,-3.18878829966092,0.0014287046552321188,0.24248912996029517,FOS--SNU245
viper,PCGF2,ICC11,-3.1804473867828897,0.001470478385967903,0.24764451887715266,PCGF2--ICC11
viper,RELA,OZ,-3.1722332870413035,0.0015127143746040334,0.252797844525174,RELA--OZ
viper,HMGA1,KKU100,3.1509261750240998,0.0016275362246322123,0.2590651101169259,HMGA1--KKU100
viper,GLI1,ICC14,3.1557779708048277,0.001600706592558507,0.2590651101169259,GLI1--ICC14
viper,HNF1B,ICC10-8,-3.159937433485331,0.0015780302168880223,0.2590651101169259,HNF1B--ICC10-8
viper,MBD3,TFK1,3.1543052380113568,0.0016088072132787589,0.2590651101169259,MBD3--TFK1
viper,EBF1,SNU387,3.1512954674623144,0.0016254796375762938,0.2590651101169259,EBF1--SNU387
viper,HNF1B,CCLP1,-3.1498236878741,0.0016336902226015582,0.2590651101169259,HNF1B--CCLP1
viper,CEBPA,CCSW1,-3.1583424400466646,0.0015866905391167371,0.2590651101169259,CEBPA--CCSW1
viper,TP73,SNU869,-3.1387964409072424,0.001696432485384967,0.2620300763113309,TP73--SNU869
viper,MITF,SNU886,3.1425158538194435,0.0016750264190793789,0.2620300763113309,MITF--SNU886
viper,ZNF175,HUH1,3.1321539708751795,0.0017352884527655657,0.2620300763113309,ZNF175--HUH1
viper,TCF4,SNU449,3.132813662313478,0.0017313932194278746,0.2620300763113309,TCF4--SNU449
viper,STAT2,ICC11,-3.1410576675837545,0.0016833888239233803,0.2620300763113309,STAT2--ICC11
viper,NR2F1,HEPG2,-3.134077208964177,0.0017239548851762001,0.2620300763113309,NR2F1--HEPG2
viper,PITX2,SNU478,-3.1318956128229867,0.0017368161559876477,0.2620300763113309,PITX2--SNU478
viper,HIF1A,CCLP1,-3.1252135230893376,0.0017767603849832563,0.2662077197500775,HIF1A--CCLP1
viper,STAT3,ICC16,3.119124671179827,0.00181389193628111,0.26990960490210353,STAT3--ICC16
viper,TP73,ICC10-8,-3.1066634018750694,0.0018921170613691416,0.2777448862043554,TP73--ICC10-8
viper,SP3,SNU245,-3.1085722191706333,0.0018799369446413985,0.2777448862043554,SP3--SNU245
viper,EGR2,EGI1,-3.10179431345559,0.0019235155824923092,0.2804588995278216,EGR2--EGI1
viper,TWIST2,HUH28,3.089968363404364,0.00200177816317469,0.28800417612563006,TWIST2--HUH28
viper,RELA,KMCH1,-3.0913158487480237,0.0019927154331085355,0.28800417612563006,RELA--KMCH1
viper,CEBPB,ECC3,3.0843284817839627,0.0020401220694123198,0.29158981551304375,CEBPB--ECC3
viper,ZNF148,ICC18,-3.0340999037769896,0.0024125452352230545,0.2939313012774008,ZNF148--ICC18
viper,CEBPB,ICC24,3.053449342608527,0.002262269132395719,0.2939313012774008,CEBPB--ICC24
viper,FOS,JHH5,-3.0605657404336872,0.0022091925588150828,0.2939313012774008,FOS--JHH5
viper,HNF1B,SNU423,-3.0513588090213126,0.0022780816117072126,0.2939313012774008,HNF1B--SNU423
viper,RFX5,ICC10-8,3.0578725285377213,0.0022291437747558795,0.2939313012774008,RFX5--ICC10-8
viper,MBD4,SNU761,3.0430886678472757,0.002341633255399253,0.2939313012774008,MBD4--SNU761
viper,FOS,HUH6,-3.0361887728577948,0.0023958931132854267,0.2939313012774008,FOS--HUH6
viper,SRF,TFK1,-3.056160067196056,0.002241915354119126,0.2939313012774008,SRF--TFK1
viper,YBX1,HKGZCC,-3.0567690341651796,0.002237366001097442,0.2939313012774008,YBX1--HKGZCC
viper,MYNN,G415,3.043509326540997,0.0023383619270800756,0.2939313012774008,MYNN--G415
viper,HNF4A,ICC13-7,3.045097709530568,0.0023260472802692457,0.2939313012774008,HNF4A--ICC13-7
viper,ZNF148,ICC10,-3.0340999037769896,0.0024125452352230545,0.2939313012774008,ZNF148--ICC10
viper,CREB3,SKHEP1,3.0340999037769896,0.0024125452352230545,0.2939313012774008,CREB3--SKHEP1
viper,MECP2,KMCH1,-3.039438244106431,0.0023701979087461275,0.2939313012774008,MECP2--KMCH1
viper,HNF4G,HUH1,3.0665424836971176,0.002165500327068366,0.2939313012774008,HNF4G--HUH1
viper,SIX2,NOZ,3.04839157709817,0.0023006991838146816,0.2939313012774008,SIX2--NOZ
viper,JUND,KKU100,3.0543830981811424,0.002255238887692255,0.2939313012774008,JUND--KKU100
viper,NFIA,ICC5,3.0340999037769896,0.0024125452352230545,0.2939313012774008,NFIA--ICC5
viper,GATA4,TKKK,3.0340999037769896,0.0024125452352230545,0.2939313012774008,GATA4--TKKK
viper,USF2,ICC18,3.075664535169158,0.0021003400850412458,0.2939313012774008,USF2--ICC18
viper,STAT1,G415,-3.040012271388834,0.002365685094931273,0.2939313012774008,STAT1--G415
viper,FOS,OZ,-3.0498658125580893,0.0022894363157601625,0.2939313012774008,FOS--OZ
viper,NFIA,HEPG2,3.0340999037769896,0.0024125452352230545,0.2939313012774008,NFIA--HEPG2
viper,SRF,ICC7,-3.049537103885514,0.002291943201037959,0.2939313012774008,SRF--ICC7
viper,EGR1,HEP3B217,3.078245290139004,0.0020822344631991094,0.2939313012774008,EGR1--HEP3B217
viper,EBF1,SNU869,-3.0337884600436364,0.0024150370685655067,0.2939313012774008,EBF1--SNU869
viper,ZNF750,JHH5,-3.0329441081386337,0.0024218045076480894,0.2939313012774008,ZNF750--JHH5
viper,JUND,TFK1,3.0286061530603128,0.002456847457762797,0.2965278389994265,JUND--TFK1
viper,MEIS1,ICC19,-3.025463764879687,0.0024825214894636945,0.29797115667734125,MEIS1--ICC19
viper,RUNX2,SNU869,-3.0169393555839923,0.0025534088985375535,0.29955909158113664,RUNX2--SNU869
viper,ZNF750,SNU423,3.015602232635495,0.0025646946390836096,0.29955909158113664,ZNF750--SNU423
viper,MAF,ICC6,-3.015798409231331,0.0025630359962460682,0.29955909158113664,MAF--ICC6
viper,RUNX2,HKGZCC,-3.016779374026749,0.0025547567974027407,0.29955909158113664,RUNX2--HKGZCC
viper,ZHX2,HUH6,-3.01812370336985,0.0025434505787060133,0.29955909158113664,ZHX2--HUH6
viper,RFX5,HUH1,-3.01188510712192,0.0025963084406573664,0.29987868810494733,RFX5--HUH1
viper,PITX2,ICC12,-3.0104229766994473,0.0026088410610741104,0.29987868810494733,PITX2--ICC12
viper,TFCP2,JHH5,3.01297340823391,0.002587015851886937,0.29987868810494733,TFCP2--JHH5
viper,STAT2,ICC21,-3.004744747212015,0.002658038121081583,0.3039256746341968,STAT2--ICC21
viper,ZNF750,GB2,-2.999121497258824,0.002707593114297595,0.307970996901127,ZNF750--GB2
viper,RFX5,SNU182,-2.993292360366275,0.002759852326414673,0.310844010528066,RFX5--SNU182
viper,ZHX2,HEP3B217,-2.993113746752081,0.0027614680797199876,0.310844010528066,ZHX2--HEP3B217
viper,JUND,ICC2,2.983688717358891,0.0028479634741925947,0.3189278684372893,JUND--ICC2
viper,ESR1,GB3,2.975080401190608,0.002929117654247718,0.326333748915547,ESR1--GB3
viper,RFX5,CCLP1,-2.968618793653044,0.002991414492122625,0.32989076061606104,RFX5--CCLP1
viper,HNF1B,ICC9,-2.9699419067014663,0.002978560699319647,0.32989076061606104,HNF1B--ICC9
viper,SMAD3,SNU398,2.9657475980689565,0.0030194818447009815,0.3313042579602466,SMAD3--SNU398
viper,TFAP2A,ICC26,2.9626190831290873,0.0030503379333923163,0.33277123943272885,TFAP2A--ICC26
viper,CTCF,AOVC1,-2.9612180251476428,0.003064249372424724,0.33277123943272885,CTCF--AOVC1
viper,LEF1,ICC8,-2.959758375257953,0.003078804102461611,0.33277123943272885,LEF1--ICC8
viper,ETS1,KMCH1,-2.956473394254379,0.0031117907706807468,0.3346715568962338,ETS1--KMCH1
viper,RELA,ICC10,2.9491894080406906,0.00318608643663844,0.3357279933982494,RELA--ICC10
viper,CEBPA,HEP3B217,2.9534069040766435,0.0031428738922196966,0.3357279933982494,CEBPA--HEP3B217
viper,FOS,HEPG2,-2.9519967860895084,0.003157262170295197,0.3357279933982494,FOS--HEPG2
viper,CEBPB,PLCPRF5,-2.94861743443749,0.0031919884049088337,0.3357279933982494,CEBPB--PLCPRF5
viper,HNF1B,SSP25,-2.9479506538406093,0.0031988812259349884,0.3357279933982494,HNF1B--SSP25
viper,HIF1A,ICC2,-2.9373431615371826,0.0033103756961411833,0.34176989217473847,HIF1A--ICC2
viper,TFCP2,SNU878,2.9369403552785083,0.003314678485683212,0.34176989217473847,TFCP2--SNU878
viper,MAZ,HEPG2,-2.936501124530295,0.0033193761679571835,0.34176989217473847,MAZ--HEPG2
viper,ETS1,JHH5,-2.9403637123922604,0.0032782718357393507,0.34176989217473847,ETS1--JHH5
viper,ZNF92,HUH1,-2.9270561796283596,0.003421870632485891,0.3422518458032562,ZNF92--HUH1
viper,FOXO1,ICC9,-2.9253210283142037,0.0034410104265096392,0.3422518458032562,FOXO1--ICC9
viper,SRF,ICC13-7,-2.930269238222338,0.0033866842948882545,0.3422518458032562,SRF--ICC13-7
viper,CEBPA,ICC9,-2.9251727813614816,0.003442650192281854,0.3422518458032562,CEBPA--ICC9
viper,HNF1A,ICC20,2.921734047609339,0.0034808863276122952,0.3422518458032562,HNF1A--ICC20
viper,SRF,GB2,-2.9216706119055846,0.0034815953013818007,0.3422518458032562,SRF--GB2
viper,HNF1B,KKU055,-2.9276410200710345,0.003415441350246494,0.3422518458032562,HNF1B--KKU055
viper,HNF1A,SNU886,2.9234666359860553,0.003461573201917755,0.3422518458032562,HNF1A--SNU886
viper,HNF1A,SNU761,2.9322591119647297,0.0033650586140204974,0.3422518458032562,HNF1A--SNU761
viper,CXXC4,GB3,2.9253259143577175,0.0034409563938809554,0.3422518458032562,CXXC4--GB3
viper,SRF,ICC10-6,-2.9184540531809056,0.0035177171254366325,0.3427013656955643,SRF--ICC10-6
viper,ZNF92,SNU1079,2.9194857449891054,0.0035060942914431218,0.3427013656955643,ZNF92--SNU1079
viper,ZNF92,SSP25,2.912701403678875,0.0035831705003023756,0.3444441553941111,ZNF92--SSP25
viper,NR2F1,JHH5,-2.913424088461614,0.0035748874220333272,0.3444441553941111,NR2F1--JHH5
viper,CXXC4,TGBC1TKB,-2.9146537091822426,0.003560834100006871,0.3444441553941111,CXXC4--TGBC1TKB
viper,PPARA,JHH5,2.9085636073404,0.0036309330487103385,0.3474978875913308,PPARA--JHH5
viper,TWIST2,SNU475,2.9044395548561814,0.0036791123635569064,0.3505645442906745,TWIST2--SNU475
viper,ZBTB7A,ICC6,2.8932585124709207,0.003812673500764004,0.35117502538765655,ZBTB7A--ICC6
viper,ZNF589,JHH6,2.8765661751768588,0.004020278886184035,0.35117502538765655,ZNF589--JHH6
viper,AHR,ICC14,-2.8795061019442274,0.003982985902134847,0.35117502538765655,AHR--ICC14
viper,FOS,HEP3B217,-2.8823016179905614,0.003947816392644049,0.35117502538765655,FOS--HEP3B217
