feature,stat,p-value,effect_size,q-value,in_group_mean,out_group_mean,R3_mRNA_mean,R4_mRNA_mean
HIF1A,5.122944403583394,3.0080106324350576e-07,0.831051321523185,3.287426186442166e-05,0.6833302344388751,-2.0251797801217974,7.474987308714286,6.642377327529413
YBX1,5.034870860828379,4.78171081664315e-07,0.8167639062534454,3.287426186442166e-05,0.4285575738069235,-1.1812421022632176,9.497589621666668,8.935431461117645
SP1,4.829365927733343,1.369684999352145e-06,0.7834266039573864,6.233041137023077e-05,0.9696006253266357,-0.9732103003900489,4.11853388795238,4.362110800882354
NFIA,4.711934537393322,2.4537621012116707e-06,0.7643767169310669,8.434807222915118e-05,1.2649820872947797,-0.19418283269111844,2.388517156809524,1.9027180308823528
CEBPA,4.506429604298287,6.592754345128152e-06,0.731039414635008,0.0001648188586282038,0.8890805400084789,-1.211146015555936,2.403009175666667,2.3583842462352944
REL,4.418356061543271,9.945448036761365e-06,0.7167519993652683,0.0002103844777007212,1.054175469775362,-0.3987916297239478,1.5749843829523815,1.465949313235294
SP3,4.3009246712032505,1.7008687668483606e-05,0.697702112338949,0.000292336819302062,0.5198796383363126,-1.1181201511426513,5.476754030238096,4.929084126588235
ZNF207,4.18349328086323,2.8706357829599182e-05,0.6786522253126295,0.00041548675805998817,0.4325596702020966,-0.6572360672975369,6.9279004044761905,6.907130185588235
MBD4,4.0073461953531995,6.140482353950009e-05,0.6500773947731504,0.000734188107537501,0.6835404529291461,-0.8562701190403267,4.022966727857144,4.1954746795294104
RELA,3.977988347768194,6.950077677590152e-05,0.6453149230165706,0.0007645085445349166,1.0073202016545793,-0.844355148433982,5.729475168428571,5.26792927482353
TERF1,3.889914805013179,0.00010027942115263186,0.631027507746831,0.00106064772372976,0.10331756186446646,-0.8829170442661174,4.151269384619048,4.218743846529412
HNF1A,3.7431255670881534,0.0001817453485202112,0.6072151489639317,0.0017234472704502786,1.3141183926130886,-0.46614356410238567,2.197260968285714,0.7827347625882353
FOXO1,3.684409871918143,0.0002292331183769095,0.597690205450772,0.001969972111051566,0.15052111982970165,-0.9812749410198807,2.216182743095238,2.0613282621764704
RELB,3.684409871918143,0.0002292331183769095,0.597690205450772,0.001969972111051566,0.514654043037646,-0.47226045844066156,4.170970396904762,3.044484833235294
NFIC,3.6550520243331377,0.00025712983086824745,0.592927733694192,0.0021427485905687288,1.0028746391380474,-0.5256130828705082,4.920615538380952,3.222003774882354
LEF1,3.596336329163128,0.00032273048279706743,0.5834027901810325,0.002335549546557725,0.5273573053808978,-1.0049848853422325,1.7050917525714282,1.157423480647059
SREBF2,3.596336329163128,0.00032273048279706743,0.5834027901810325,0.002335549546557725,0.6699314914985819,0.09066499890352993,5.4109075026666655,5.317181826
FOXO4,3.5669784815781225,0.0003611211216823907,0.5786403184244525,0.002422153864942865,0.4754630907114913,-1.0485841380066996,2.1503511034285716,2.2264332037647057
HNF1B,3.5376206339931175,0.0004037497025950423,0.5738778466678728,0.0025234356412190146,1.0188014843281372,-1.3161721156210244,4.99454771552381,2.091031761
CTCF,3.3614735484830867,0.0007752778194260278,0.5453030161283936,0.004100026929656878,-0.1150516589409983,-1.1108919286587462,4.7374938902380945,4.59476506182353
