ProteinID,feature,corr,p-value,q-value
ESRP2,ESRP2,0.6846419913214103,2.1806764810400862e-08,3.345157721915492e-05
SPIT1,SPIT1,0.6616816141889821,9.253734299332836e-08,5.165177165296542e-05
GRHL2,GRHL2,0.6567727306533897,2.2238791344517118e-07,8.528576480622315e-05
RBM47,RBM47,0.6309002768969045,5.342561000433288e-07,0.00013659147624441105
A0A2R8Y549,A0A2R8Y549,0.6240744762987109,2.770953090396688e-06,0.0003534558768949642
A0A0A0MT26,A0A0A0MT26,0.6224283349571578,2.9953887872454594e-06,0.0003534558768949642
S10AE,S10AE,0.6200970776750626,9.455073545797008e-07,0.00020720118313218017
GDPD3,GDPD3,0.6188969855430894,2.74816730216131e-06,0.0003534558768949642
CING,CING,0.6105959160153874,1.5350065333243831e-06,0.0002616333357910671
MYO1D,MYO1D,0.6041889706062222,2.109519697010939e-06,0.00032360032152147807
S27A2,S27A2,0.6020497201345809,5.990525604247985e-06,0.0005743416423072755
ST14,ST14,0.5940515066388163,3.440305762910562e-06,0.00037695921716462873
ERBB3,ERBB3,0.5828719104954182,7.191512552747151e-06,0.0006128766808841183
KS6A1,KS6A1,0.5828280698483564,1.1125045799817754e-05,0.0008532910128460217
JAM1,JAM1,0.5806743158129583,6.398166607304168e-06,0.0005773404456237997
RREB1,RREB1,0.5790076889682754,1.3099061485321217e-05,0.0009133618326583067
ESRP1,ESRP1,0.574333242194369,1.5952656536447247e-05,0.0010196406302879198
FRK,FRK,0.5738118513977831,2.0105907305416648e-05,0.0011862485310195822
GALT3,GALT3,0.5683845907177063,1.1048810488662302e-05,0.0008532910128460217
DHRS7,DHRS7,0.549344607334902,3.604064426786703e-05,0.0017276983845908758
B5MCA4,B5MCA4,0.5488818981822913,6.471966894492495e-05,0.0026126308463556547
ASM3B,ASM3B,0.5456894043875187,2.866214381749233e-05,0.0015715498406051582
E41L5,E41L5,0.5395597456144507,6.31631222611537e-05,0.0026126308463556547
ARHGG,ARHGG,0.5391276711689174,4.46766380968017e-05,0.0020767867527422368
HID1,HID1,0.536605630423608,0.00010099600489448853,0.0037787285733694004
MTUS1,MTUS1,0.5327826676508369,9.686182792559201e-05,0.0037146511009464533
CANT1,CANT1,0.5277620226728877,5.804351095680279e-05,0.002610257354540468
SPTN2,SPTN2,0.527088859801481,5.955606741128839e-05,0.002610257354540468
A0A087WXI5,A0A087WXI5,0.5193958813951504,0.00018322605392915437,0.004866727852157734
PTN3,PTN3,0.5181082331249774,0.00011628477175383098,0.003795337018518654
HOOK1,HOOK1,0.5096603003278776,0.00011379962496907691,0.003795337018518654
MPP5,MPP5,0.5092670543631823,0.00011542806910860428,0.003795337018518654
MACC1,MACC1,0.5035112524355889,0.00019352698760210024,0.004866727852157734
GDE,GDE,0.5023997964865262,0.0001475246963585644,0.004618426208449751
L2GL2,L2GL2,0.5010534313630473,0.00015470020502493878,0.004653139500161884
P2RX4,P2RX4,0.5007008832291563,0.0003942680217767395,0.00746675488154961
A0A494C039,A0A494C039,0.5001401884421752,0.0003439563979157873,0.006942488347405497
ZHX2,ZHX2,0.49957398985450113,0.00025773116226909126,0.005829220695956165
IDHC,IDHC,0.4982629514763609,0.00017059589713808694,0.004846187152033803
A0A0A0MTI1,A0A0A0MTI1,0.4936081104384177,0.00042234710876753805,0.007805788733125342
PTPRF,PTPRF,0.4923247397943832,0.00020948598637795013,0.0051830887597383146
EPIPL,EPIPL,0.4897946363629601,0.00022838229226620235,0.005560927560894514
PKP3,PKP3,0.4878226097339111,0.0002441716200881065,0.005720138395938629
RM09,RM09,0.48591675000210127,0.00026036783817104153,0.005829220695956165
RABL3,RABL3,0.4849874676495237,0.00026861380032911864,0.0058864795672123995
ITB6,ITB6,0.4841819714946465,0.000367085259290861,0.007202735841613481
ODPX,ODPX,0.4830227905845027,0.0002868334920978615,0.0061111469010849935
PXL2A,PXL2A,0.48066867379464046,0.000626809248479807,0.009335197933670136
RM04,RM04,0.47954160973774496,0.0004896695076219473,0.008442615611181863
AT1A1,AT1A1,0.4792616096847687,0.000324875727078412,0.0068268406210723834
H7BXI1,H7BXI1,0.4768411773072603,0.000702385384104727,0.00997647388163566
ODB2,ODB2,0.4754760541333652,0.0005551642352491582,0.009059807839066049
STXB2,STXB2,0.47333038828867574,0.0003942367737800566,0.00746675488154961
DOCK6,DOCK6,0.4732432257843641,0.000594398695958175,0.009228870763062483
DHRS3,DHRS3,0.46832132461199977,0.0004629730437674379,0.008258147083014531
NSUN4,NSUN4,0.46691621709560316,0.0004841105217969823,0.008442615611181863
RM38,RM38,0.46619282549583085,0.0004953294687134079,0.008442615611181863
A0A0J9YWL0,A0A0J9YWL0,0.4644493738054345,0.0010063896262056664,0.01286501405499577
SH3L2,SH3L2,0.46312784861313305,0.000545516851525965,0.008998095163879895
RCC1,RCC1,0.4618928565929012,0.0005670047806445508,0.00906026389071605
ERMP1,ERMP1,0.45998702552291987,0.0006016666718088161,0.009228870763062483
CF132,CF132,0.45998691694106164,0.0006016686999035855,0.009228870763062483
RPN1,RPN1,0.4593509464580214,0.0006136537274005041,0.009228870763062483
ACSF2,ACSF2,0.4582098893951315,0.0006356981875650524,0.009357587598918245
A0A499FI48,A0A499FI48,0.4574162478347961,0.001227010298678937,0.01431688975963011
NSDHL,NSDHL,0.4565935894127397,0.0006681464983653021,0.009669214419739372
A0A494C1T9,A0A494C1T9,0.4554851977152706,0.0012946901871400413,0.014711516644983876
LSR,LSR,0.4517417307888513,0.0007747113251512288,0.01080370157074532
MMP15,MMP15,0.45126467733472714,0.0007859737967341014,0.010860601610609796
