,P1,P2,P3,P4,P5
p-value,,,,,
R1,0.0002,0.9846,0.3706,1.0,1.0
R2,1.0,0.0002,1.0,1.0,1.0
R3,0.6824,0.9922,0.2724,0.0004,1.0
R4,0.6432,0.9716,0.4296,0.915,0.0002
q-value,,,,,
R1,0.0013333333333333335,1.0,1.0,1.0,1.0
R2,1.0,0.0013333333333333335,1.0,1.0,1.0
R3,1.0,1.0,1.0,0.002,1.0
R4,1.0,1.0,1.0,1.0,0.0013333333333333335
