feature,p-value,effect_size,q-value
TAF3,1.6205264833550978e-06,0.55376760363213,0.002146792458824666
NUP98,4.907210152003573e-06,0.5275498905047058,0.0029594773930799482
GANP,5.235600518235597e-06,0.5259798015448703,0.0029594773930799482
HNRPR,6.772073030335628e-06,0.5196994457055286,0.003262292271613499
NKTR,1.2299570301655107e-05,0.5048592072868437,0.004214857880713272
PININ,1.5325071625501665e-05,0.499288289227668,0.004298697287529784
ELYS,1.6298452769266404e-05,0.4977182002678326,0.004298697287529784
EXOG,1.7446347428875225e-05,0.4959776091920639,0.004298697287529784
ROA0,1.958467130330377e-05,0.49300793338832627,0.004324132218175278
AATF,2.0813849823682354e-05,0.4914378444284908,0.004411703608627712
GNL3,2.4957410592424567e-05,0.4867275775489845,0.004562772074468428
SRRT,2.8143624860399864e-05,0.48358739962931363,0.004562772074468428
ORC2,2.9684292177819515e-05,0.4821885002238766,0.004562772074468428
SAFB2,3.3656953638126e-05,0.4788771327498073,0.004562772074468428
PO210,3.788676566835456e-05,0.47573695483013645,0.004562772074468428
ZN326,3.788676566835456e-05,0.47573695483013645,0.004562772074468428
SAFB1,4.518885174133624e-05,0.47102668795063013,0.005094802667602994
RBP2,6.0404782399015557e-05,0.46317624315145306,0.005247294130039073
DHB7,5.701196111433e-05,0.464749494790825,0.005247294130039073
TR150,5.381274480486665e-05,0.4663164210711239,0.005247294130039073
PDIA4,5.077818340505717e-05,0.4678865100309593,0.005247294130039073
NOP14,5.381274480486665e-05,0.4663164210711239,0.005247294130039073
MD1L1,5.077818340505717e-05,0.4678865100309593,0.005247294130039073
TDIF2,5.381274480486665e-05,0.4663164210711239,0.005247294130039073
DSRAD,6.398078403467764e-05,0.46160615419161755,0.005280047537121983
DHE3,6.398078403467764e-05,0.46160615419161755,0.005280047537121983
ZN830,6.47916846011376e-05,0.4612616937042147,0.005280047537121983
TF3C2,6.775654401504836e-05,0.4600360652317821,0.005280047537121983
TF3C1,7.174248399184426e-05,0.45846597627194674,0.005280047537121983
DHX9,8.038911338126642e-05,0.4553257983522758,0.005756512321720686
ROA1,8.507323445537116e-05,0.4537557093924404,0.005779526530500151
FIP1,8.507323445537116e-05,0.4537557093924404,0.005779526530500151
RM45,8.507323445537116e-05,0.4537557093924404,0.005779526530500151
STBD1,9.522589003124491e-05,0.4506155314727695,0.0061536828204337415
PHF3,0.00010651518282252222,0.44747535355309864,0.006640281809135826
G8JLB6,0.00012584140521661785,0.4427650866735923,0.007327841826844593
SCML2,0.00012891898117104806,0.44207878772785797,0.007345609475541759
LAP2B,0.0001405130685086853,0.4396249087539215,0.00762922917081714
CHAP1,0.00016557111806830932,0.4349146418744152,0.00762922917081714
TF3C5,0.00016557111806830932,0.4349146418744152,0.00762922917081714
COX6C,0.00016557111806830932,0.4349146418744152,0.00762922917081714
BCLF1,0.00015678512187472483,0.43648473083425066,0.00762922917081714
SNUT1,0.00015678512187472483,0.43648473083425066,0.00762922917081714
TAF9,0.0001644920955430452,0.43510318555463734,0.00762922917081714
RPAC1,0.00014843930103843075,0.43805481979408606,0.00762922917081714
SLTM,0.00014843930103843075,0.43805481979408606,0.00762922917081714
RSRC1,0.0001452832477454205,0.4386703099132812,0.00762922917081714
SFSWA,0.0001405130685086853,0.4396249087539215,0.00762922917081714
VPS72,0.00015678512187472483,0.43648473083425066,0.00762922917081714
RPRD2,0.00017481879543135555,0.43334455291457974,0.007848111930084604
