ProteinID,GeneName,corr,p-value,q-value
P63,TP63,-0.7132556774735455,2.1988487349317904e-06,0.0013970018962599
ELMO2,ELMO2,-0.6111221370866368,1.4949770488327247e-06,0.0013970018962599
ZN217,ZNF217,-0.6356420322956826,9.240887608711391e-07,0.0013970018962599
ITB3,ITGB3,-0.5842670547237152,1.3011998832447612e-05,0.0062002174436612
ITB5,ITGB5,-0.5545295467707664,1.9936100957460064e-05,0.0075996416849837
SOX9,SOX9,-0.567996083575389,2.5449432677280085e-05,0.0080844364471493
FERM2,FERMT2,-0.5322672859953701,4.879423735944732e-05,0.0132859737724437
SQSTM,SQSTM1,-0.5125112394455217,0.0001026075510891,0.0244462490469785
ROA0,HNRNPA0,0.5011649447272009,0.0001540940163839,0.0326336883586422
GRHL2,GRHL2,-0.502350976161396,0.0002013263878243,0.0383728095193154
RXRA,RXRA,-0.5056452945038878,0.0002883743160842,0.0499674042233231
PAR6B,PARD6B,-0.4643475739270575,0.0005250190473805,0.0833905253589516
CDK6,CDK6,-0.4416208097856839,0.0010476049740931,0.1380874418216147
FDFT,FDFT1,-0.4578860037720595,0.0010663203960885,0.1380874418216147
WWTR1,WWTR1,-0.4528280845625914,0.0010867322283967,0.1380874418216147
A0A0G2JH68,DIAPH1,0.453095863351809,0.0013830260594754,0.1488656868244107
MSI2H,MSI2,-0.4667020274505757,0.0014058669269881,0.1488656868244107
ASPP2,TP53BP2,-0.446593693695438,0.0012971066760175,0.1488656868244107
RHG29,ARHGAP29,-0.4221217842071554,0.0018266212178054,0.1832389495335313
TEAD1,TEAD1,-0.4346325619385006,0.0020227616602977,0.1927691862263729
VINC,VCL,-0.41320184102973,0.0023304641612425,0.1931245517968791
DPH6,DPH6,0.4284062016704441,0.0021335478795996,0.1931245517968791
CSK,CSK,0.4143351845112436,0.0022602595822778,0.1931245517968791
J3KMZ9,LDLR,0.4400490944785992,0.0024874633284997,0.1975460460050198
E9PNI7,PARP10,0.4703493908362621,0.0028834017050669,0.2198305459943035
TF7L2,TCF7L2,-0.404186268763081,0.0032657852514505,0.2351611134938136
ARL4C,ARL4C,-0.4377149433508464,0.0033312434755157,0.2351611134938136
CCND3,CCND3,-0.4638538812082701,0.0043789456035138,0.2425476726948387
KTAP2,KRTCAP2,-0.4704268836021689,0.0043470806463247,0.2425476726948387
EIF3K,EIF3K,0.3870723026312074,0.0045856640005695,0.2425476726948387
ZEB1,ZEB1,-0.402973664627455,0.0045143542307275,0.2425476726948387
PB1,PBRM1,-0.3928692798281026,0.0039644286699214,0.2425476726948387
IGF1R,IGF1R,-0.3909930572055232,0.0041568515510152,0.2425476726948387
TRIO,TRIO,-0.3882828552404834,0.0044493006400362,0.2425476726948387
AP1M1,AP1M1,-0.3860092155017585,0.0047084280638557,0.2425476726948387
J3KPF3,SLC3A2,0.4299410314975462,0.0035824047562315,0.2425476726948387
PTPA,PTPA,0.4031224084976063,0.0040791441279007,0.2425476726948387
COR1C,CORO1C,-0.3786221560418652,0.005644002233528,0.2731372521564521
INT12,INTS12,0.3903933753256324,0.0055509899301035,0.2731372521564521
GHC1,SLC25A22,0.3890379428088266,0.0057321563936296,0.2731372521564521
ARBK1,GRK2,-0.3857225652199556,0.0061971829440537,0.2785292619367234
RASK,KRAS,-0.3832823888120257,0.0060060105483528,0.2785292619367234
ISG15,ISG15,-0.3738972157970177,0.0063243010079152,0.2785292619367234
NFKB2,NFKB2,-0.3919940310983664,0.0064298465504804,0.2785292619367234
RNF31,RNF31,0.3793046204935202,0.0071914511145355,0.3030845605331921
MTO1,MTO1,-0.3945708868785972,0.0073147375574642,0.3030845605331921
RM46,MRPL46,-0.3614404693767922,0.0084713154908802,0.3185009114422314
NUSAP,NUSAP1,-0.3620469555228667,0.0083537585352721,0.3185009114422314
CSDE1,CSDE1,-0.3641577775910652,0.0079555719619806,0.3185009114422314
VKGC,GGCX,0.3728272790491913,0.0083325451369122,0.3185009114422314
FOSL1,FOSL1,-0.4055579342934438,0.0085223223943094,0.3185009114422314
BRI3,BRI3,-0.4083269151986234,0.0089042068613843,0.3263734284192022
RT02,MRPS2,-0.355455041255684,0.009710553165202,0.3385235507869585
SHCAF,SINHCAF,-0.4428392140851156,0.0111426756222734,0.3385235507869585
KMT2B,KMT2B,0.3509007020016867,0.0107556285148541,0.3385235507869585
ITB1,ITGB1,0.3484289556380774,0.0113623738925071,0.3385235507869585
NDUA5,NDUFA5,0.347922133193094,0.0114903595264266,0.3385235507869585
NSE2,NSMCE2,0.347638765468246,0.0115624562794955,0.3385235507869585
DC1L2,DYNC1LI2,-0.3527723714473224,0.0103149606125656,0.3385235507869585
TYDP2,TDP2,0.3813118577870439,0.0097549783368795,0.3385235507869585
Z3H7A,ZC3H7A,-0.3499921969814335,0.0109753140158645,0.3385235507869585
NUMB,NUMB,-0.3500293348178895,0.0109662585284968,0.3385235507869585
RBM5,RBM5,-0.350589074860313,0.0108305521054141,0.3385235507869585
NSD1,NSD1,-0.368555977116287,0.0108005329210497,0.3385235507869585
OXSR1,OXSR1,0.3478173011482677,0.0115169865526553,0.3385235507869585
CCD93,CCDC93,-0.3470162030966869,0.0117222215907341,0.3385235507869585
ZMYM4,ZMYM4,-0.3461948333299491,0.0119359077621188,0.339549853650723
PIGQ,PIGQ,-0.3668120501034613,0.0131945327675239,0.3492886035402878
SYFM,FARS2,0.3553884094502972,0.0131820936691494,0.3492886035402878
ATPG,ATP5F1C,-0.3422042152049039,0.0130223993508467,0.3492886035402878
DYSF,DYSF,0.3434433141390435,0.0126763099360074,0.3492886035402878
FZD5,FZD5,-0.4179836686826245,0.0124688560156712,0.3492886035402878
MSMO1,MSMO1,-0.3501543103359912,0.0136463170135784,0.3520100761324771
HERC4,HERC4,-0.3390996792413648,0.0139252931257304,0.3520100761324771
RIC8A,RIC8A,-0.3375182953183464,0.0144054490757257,0.3520100761324771
RTRAF,RTRAF,0.3550244265918763,0.0143357231596455,0.3520100761324771
I2BPL,IRF2BPL,-0.3393247608759763,0.0138580778788085,0.3520100761324771
SKI,SKI,-0.4295825302403193,0.0141388519919617,0.3520100761324771
FIG4,FIG4,0.3576976876962752,0.0146624863497203,0.3537237231596363
X6R7X0,TCEANC2,0.4266560260720047,0.0148839891316954,0.3537237231596363
TNPO2,TNPO2,-0.3353827732071967,0.015076272464353,0.3537237231596363
CRKL,CRKL,-0.3344043730952186,0.0153924140389726,0.3537237231596363
ADRM1,ADRM1,0.3343703796203714,0.0154034989623556,0.3537237231596363
J3KNF5,CEP290,-0.3480098316955438,0.0165276522650906,0.3750203002055092
JUNB,JUNB,-0.3264685079406986,0.0181720974053415,0.3764784527671843
MECOM,MECOM,-0.3700016819840181,0.0172615138914079,0.3764784527671843
NDUA9,NDUFA9,-0.3396883409065948,0.018171378659306,0.3764784527671843
MED15,MED15,-0.3269761716186099,0.0179823338224747,0.3764784527671843
CE85L,CEP85L,0.3695665398193928,0.0174033993246665,0.3764784527671843
PSA,NPEPPS,-0.3279568608034308,0.0176205167595825,0.3764784527671843
GOGA2,GOLGA2,-0.3281237194609929,0.0175595756665963,0.3764784527671843
DPOE3,POLE3,0.3558914151320786,0.0177417748283792,0.3764784527671843
CADH2,CDH2,-0.3355502796180632,0.0184230855151306,0.3775742042133231
CRTC2,CRTC2,0.3322955348321014,0.0196618289163503,0.3870521221535734
G5EA30,CELF1,-0.3225425674206057,0.0196978257339436,0.3870521221535734
KLF5,KLF5,-0.3335069396545183,0.0191927924216851,0.3870521221535734
F120A,FAM120A,-0.3232711775168709,0.0194067436716633,0.3870521221535734
QRIC1,QRICH1,0.3262410392100754,0.0221537369653018,0.3928041141017983
WDR48,WDR48,0.3165657313474445,0.0222281149442459,0.3928041141017983
GAB2,GAB2,-0.3530910702435722,0.0218096834482429,0.3928041141017983
RBM23,RBM23,0.3414760410901664,0.021692049077512,0.3928041141017983
FLCN,FLCN,0.3436914838734995,0.022357621988239,0.3928041141017983
ICAL,CAST,-0.3402616171564732,0.0221942377973452,0.3928041141017983
TSR3,TSR3,-0.3350799560111419,0.0213161838389957,0.3928041141017983
A0A087WXI5,CDH1,-0.3350891511622987,0.0213124028161685,0.3928041141017983
SPTC2,SPTLC2,-0.3160391550419263,0.0224636140803232,0.3928041141017983
UBIA1,UBIAD1,0.3782034050644027,0.0209972290922936,0.3928041141017983
THOC6,THOC6,-0.3165051444331421,0.0222551046346242,0.3928041141017983
X6R3N0,SLC27A3,0.3894890125510544,0.0207370812656231,0.3928041141017983
CCNC,CCNC,-0.3550845620363471,0.022718209681591,0.3936446150282961
A0A0A0MR08,USP19,-0.3992480529856036,0.0235928624676348,0.3980285667289254
SG196,POMK,-0.3228358731620511,0.0236684391630888,0.3980285667289254
DIK1A,DIPK1A,-0.3525926513143928,0.0237570204157458,0.3980285667289254
YTHD2,YTHDF2,-0.313122280125688,0.0238065354706702,0.3980285667289254
MOT4,SLC16A3,-0.311433508461979,0.0246144523902143,0.4079577935282483
PSPC1,PSPC1,-0.3084308597646368,0.0261078174705521,0.4253119666570287
ELF3,ELF3,-0.3758485592623362,0.0260751740783426,0.4253119666570287
VPS36,VPS36,0.3057319701139928,0.0275141943591003,0.4309106281097821
A0A2U3TZU2,GPI,0.3203254372896361,0.0281559589566444,0.4309106281097821
NDUF3,NDUFAF3,-0.3158298270585137,0.027059465180423,0.4309106281097821
AP2A,TFAP2A,-0.3197869743230281,0.0267129025978285,0.4309106281097821
MGAP,MGA,-0.3141100515816503,0.0279511955439124,0.4309106281097821
MP2K1,MAP2K1,-0.3043470127708165,0.0282601408781336,0.4309106281097821
TNPO1,TNPO1,-0.304731008681697,0.0280516451645831,0.4309106281097821
PRD16,PRDM16,-0.3487005897143368,0.0274419255856265,0.4309106281097821
DJC13,DNAJC13,-0.303248979222742,0.0288634883052638,0.4312921306540294
FLOT2,FLOT2,-0.31221140599929,0.0289640045769757,0.4312921306540294
TBX3,TBX3,-0.3599059203408815,0.028670300026161,0.4312921306540294
PKN2,PKN2,-0.3024075069381843,0.0293331042314184,0.4334022997293295
S35B2,SLC35B2,0.3004558411579204,0.0304468820786436,0.4436279891023194
ATP5J,ATP5PF,-0.3090406955536367,0.0307234494026789,0.4436279891023194
AT2B1,ATP2B1,0.3000062896085125,0.0307083621780743,0.4436279891023194
TBB4B,TUBB4B,-0.2974464280232748,0.0322331739103994,0.4569636464627715
PPME1,PPME1,-0.2956741864748467,0.0333252606811779,0.4569636464627715
CAST2,CASTOR2,0.3224144719310661,0.0328058258684807,0.4569636464627715
M3K11,MAP3K11,0.3377401555182928,0.0330565616485057,0.4569636464627715
A6PVN8,PTPA,0.3473551979624145,0.0326186402685651,0.4569636464627715
PIPNB,PITPNB,0.2959894580083936,0.0331287710326252,0.4569636464627715
B0QY89,EIF3L,0.3128503714347971,0.0322652825243493,0.4569636464627715
PUM1,PUM1,0.3204021396650606,0.033974254082553,0.4592548105060006
MBOA5,LPCAT3,-0.3039299659007486,0.0337458179572122,0.4592548105060006
E7EXA6,CHTF18,0.3345714040084517,0.0348451345814399,0.4677100458607365
DERL1,DERL1,0.3004180275928925,0.0359621071604089,0.4682638049461778
TRIR,TRIR,-0.3213590933882606,0.0356154003088122,0.4682638049461778
A0A494BZV2,MPRIP,-0.3064053391201242,0.0361957891851653,0.4682638049461778
BRD9,BRD9,-0.3040479493367635,0.0356406415578109,0.4682638049461778
GLRX3,GLRX3,0.2909897898683269,0.0363604633431449,0.4682638049461778
FEM1B,FEM1B,-0.2975907240505958,0.0358281280247451,0.4682638049461778
FXL12,FBXL12,-0.3010055145975397,0.0376227117044284,0.4725370457824767
ESRP1,ESRP1,-0.2985035505853567,0.0372199937441381,0.4725370457824767
GSH1,GCLC,0.3009136193788998,0.0376839616783507,0.4725370457824767
JUN,JUN,-0.3011783399038357,0.0375077420713118,0.4725370457824767
MO4L1,MORF4L1,0.2931602714776132,0.0409236381163279,0.477515371229286
ALG12,ALG12,-0.3019689117117616,0.0413927469215249,0.477515371229286
UB2E3,UBE2E3,0.3071971494989948,0.0401036572169778,0.477515371229286
RN123,RNF123,0.3019944288258182,0.0413747193913871,0.477515371229286
ES8L2,EPS8L2,-0.296748355892771,0.0405475229223097,0.477515371229286
TM181,TMEM181,-0.295135399724407,0.0417032549046637,0.477515371229286
CERT,CERT1,0.3014221821771308,0.0394980553659654,0.477515371229286
ERMP1,ERMP1,-0.2877034916936667,0.0386233022883135,0.477515371229286
KAP0,PRKAR1A,-0.2864453081124073,0.0395198040176546,0.477515371229286
A0A494C1T9,FAM83H,-0.3009551165892531,0.0398198411662567,0.477515371229286
MUS81,MUS81,0.3079715173171456,0.0419748718292099,0.477515371229286
ACACA,ACACA,0.2829646140777852,0.0420894975690031,0.477515371229286
A0A0B4J231,IGLL5,0.3614921800505956,0.0387313499417211,0.477515371229286
ACAP3,ACAP3,-0.3198088025610975,0.0415173635744373,0.477515371229286
BIN1,BIN1,0.2863727000928922,0.039572058160348,0.477515371229286
PKHN1,PLEKHN1,0.362675915358836,0.0413476209533129,0.477515371229286
RT11,MRPS11,-0.2908968663619485,0.0425810548503962,0.4776460666432714
ROA1,HNRNPA1,-0.2822911055562386,0.0426022200049087,0.4776460666432714
ELOA1,ELOA,0.2816768499783652,0.0430742890159864,0.4801145898507026
NJMU,C17orf75,-0.2879133316453001,0.044849307595235,0.4829535608842826
CXXC1,CXXC1,0.280147343777689,0.0442683950858182,0.4829535608842826
STX4,STX4,-0.2796591612410643,0.0446551790300202,0.4829535608842826
CABIN,CABIN1,0.2889421512975427,0.0440562581528761,0.4829535608842826
A0A087WVZ6,ZMYND8,-0.311804435588749,0.0444137033949911,0.4829535608842826
EVI5,EVI5,-0.3007891684385906,0.0446712914273503,0.4829535608842826
RMD5A,RMND5A,-0.2989876049444017,0.0460290115507403,0.4928724495264667
A0A494BZY7,EEF1AKMT2,0.3477483349461764,0.0473657303103748,0.4969735890625957
PYC,PC,-0.2757577764638538,0.0478465432303712,0.4969735890625957
ABHDB,ABHD11,0.2755768585291868,0.0479989301512179,0.4969735890625957
HID1,HID1,0.2901713028122822,0.0478673164914106,0.4969735890625957
A0A3B3IRX3,MED13L,-0.2995302381128686,0.0482372056540294,0.4969735890625957
PNPO,PNPO,0.2759198839268966,0.0477103354220967,0.4969735890625957
ASH2L,ASH2L,0.276057658406672,0.0475948215157747,0.4969735890625957
DOCK5,DOCK5,-0.2829662226834278,0.048826984266694,0.5003453333995636
A0A2Y9D025,NDUFA6,-0.2980428556553399,0.0494152665296282,0.503665764735141
SAHH2,AHCYL1,-0.2734626270143694,0.0498092269971502,0.5042045560906362
SAMH1,SAMHD1,-0.2729439294327825,0.0502617343427181,0.5042045560906362
MPP8,MPHOSPH8,-0.2729914733436123,0.0502201188737811,0.5042045560906362
THRB,F2,0.3029836396174549,0.0511262668015961,0.510191960857813
NDUS2,NDUFS2,-0.2709606756542518,0.0520228087069202,0.5164347572676561
ITAV,ITGAV,-0.2706290561112623,0.0523221028291132,0.5167146528097917
RCC1L,RCC1L,-0.283757438871686,0.0532490066608945,0.5231577664724996
AKT2,AKT2,0.276419840861381,0.0545261026621231,0.5238080128387328
STIP1,STIP1,-0.2684496603441548,0.0543239604264236,0.5238080128387328
PO2F1,POU2F1,0.2765067376046607,0.05444708341953,0.5238080128387328
RREB1,RREB1,-0.2762407019220163,0.0546892941001615,0.5238080128387328
ACOX1,ACOX1,-0.268177971223069,0.0545778027495046,0.5238080128387328
VPS45,VPS45,0.2878200453829362,0.0552110594856361,0.5245059259424358
BT3L4,BTF3L4,-0.2673973002287735,0.0553125346875286,0.5245059259424358
NXT1,NXT1,-0.27503874771339,0.0557944666605947,0.5264567002727405
PDC10,PDCD10,0.2663426928422924,0.0563177526382802,0.5287765346234591
TGBR3,TGFBR3,-0.2917661454478382,0.0576437950023153,0.5385738886000639
BAZ2A,BAZ2A,0.2634551510918294,0.0591456941790112,0.549910698074124
MIO,MIOS,0.2626527960441615,0.059951450947604,0.5520167415755232
C9JCC6,DRAP1,-0.28602881871147,0.0598067082376308,0.5520167415755232
BTBD9,BTBD9,0.2921920825222425,0.0604246267658226,0.5536987433445094
SMCA2,SMARCA2,-0.2602998161153207,0.0623654048103035,0.5641254256254317
STK11,STK11,-0.2743962899111941,0.0619693890775273,0.5641254256254317
MOGS,MOGS,-0.2599351751347398,0.0627463747285369,0.5641254256254317
ERG7,LSS,-0.2600170972209282,0.0626606220247742,0.5641254256254317
VAC14,VAC14,0.2594790498124849,0.0632255497481815,0.5657647784978125
M0QY77,KXD1,-0.3316965115501121,0.0636528321813164,0.5669266268111646
CCS,CCS,-0.2581378263070292,0.0646515560111397,0.5704901192464464
H0Y704,ZNF185,0.3206672025827454,0.0644542013876232,0.5704901192464464
EXOC7,EXOC7,-0.2576194775604195,0.0652095178163858,0.5727619398987626
SURF4,SURF4,-0.2644071013735306,0.0663733362962284,0.57589923264253
BAP1,BAP1,-0.2568482862193773,0.0660467636657402,0.57589923264253
S39A6,SLC39A6,0.2729367160313182,0.066473153820229,0.57589923264253
A0A2R8Y596,BCAR1,-0.2762017117136878,0.069545978719202,0.582194000989134
C9JJ19,MRPS34,-0.2660642632869297,0.0706586494714169,0.582194000989134
EPG5,EPG5,-0.2647938364729185,0.0689412137333757,0.582194000989134
EXTL2,EXTL2,-0.264629132313151,0.0691204999393312,0.582194000989134
AGRA3,ADGRA3,-0.2813907243519254,0.0747057741823405,0.582194000989134
E7EQY1,FAM136A,-0.262506594489677,0.0746511302293688,0.582194000989134
SCNM1,SCNM1,-0.2937346780666657,0.0695298141861355,0.582194000989134
ANKS3,ANKS3,-0.312925830995003,0.0715507713116548,0.582194000989134
D6RAA8,CAST,-0.3162784800979238,0.0729449281575948,0.582194000989134
