DepMap_ID,ABI1 (10006),AHCYL1 (10768),ARHGEF7 (8874),BRAF (673),BRK1 (55845),CDH1 (999),CDK4 (1019),CRK (1398),CRKL (1399),CTNNB1 (1499),DHODH (1723),DPM2 (8818),EGFR (1956),ELMO2 (63916),ERBB2 (2064),FADD (8772),FDFT1 (2222),FERMT2 (10979),FPGS (2356),GRHL2 (79977),HDAC7 (51564),HNF1B (6928),IDH3A (3419),IPPK (64768),ITGA3 (3675),ITGAV (3685),ITGB1 (3688),ITGB5 (3693),KIF18B (146909),KRAS (3845),MAP2K1 (5604),MAPK1 (5594),MARK2 (2011),MBTD1 (54799),MDM4 (4194),NAMPT (10135),NCKAP1 (10787),NMNAT1 (64802),NXT1 (29107),PARD6B (84612),PIK3CA (5290),PPCDC (60490),PRKCI (5584),PRKRA (8575),PRMT5 (10419),PTPN11 (5781),RAB10 (10890),RAB6A (5870),RFK (55312),RIC1 (57589),SLC2A1 (6513),SLC3A2 (6520),SLC7A1 (6541),SLC7A5 (8140),SNAP23 (8773),SOX9 (6662),SQLE (6713),SREBF1 (6720),STAMBP (10617),STX4 (6810),STXBP3 (6814),TEAD1 (7003),TGFBR1 (7046),TP63 (8626),TUBB4B (10383),TYMS (7298),UXS1 (80146),WWTR1 (25937)
corr,0.35,0.5862,0.4859,0.8465,0.1363,0.459,0.3869,0.4142,-0.2743,0.9114,-0.0598,0.0401,0.4188,0.7691,0.0867,-0.2054,-0.2015,0.301,0.0969,0.4451,0.1388,0.824,0.4522,0.0889,0.7764,0.7567,0.6195,0.5825,-0.0525,0.7997,0.7494,0.5446,0.4412,0.2256,0.4033,0.0553,0.2422,0.1688,0.584,0.5523,0.5447,0.0006,0.5137,-0.0932,0.5341,0.4274,0.2791,0.5308,0.2426,0.2828,0.0041,0.0219,0.091,0.028,0.4664,0.3374,0.0812,0.1108,0.2413,0.6365,0.4682,0.3257,0.6159,0.9152,0.2309,0.5491,0.4615,0.2671
mse,0.0482,0.153,0.1236,0.0742,0.1042,0.0817,0.1118,0.0787,0.5153,0.0299,0.1156,0.0596,0.1865,0.0995,0.2331,0.1155,0.0845,0.1832,0.2414,0.0639,0.031,0.0931,0.1401,0.1436,0.0466,0.0607,0.1468,0.0925,0.1043,0.207,0.0385,0.1246,0.093,0.0308,0.0264,0.2193,0.16,0.095,0.158,0.1414,0.04,0.1802,0.0753,0.3779,0.0385,0.1435,0.1834,0.1327,0.1409,0.2215,0.2313,0.0967,0.0779,0.2171,0.2476,0.1289,0.0583,0.3831,0.1077,0.1107,0.1067,0.1375,0.0778,0.021,0.2449,0.4136,0.2824,0.048
mae,0.1637,0.3174,0.2768,0.1704,0.2485,0.1958,0.2716,0.1927,0.5991,0.1361,0.2607,0.1857,0.3247,0.2234,0.2591,0.2692,0.1694,0.3426,0.3649,0.176,0.1348,0.2159,0.2599,0.2817,0.1597,0.1974,0.2879,0.2106,0.2417,0.358,0.1319,0.2208,0.2265,0.1106,0.1191,0.3497,0.3152,0.2029,0.2993,0.2747,0.162,0.2689,0.1889,0.4828,0.1551,0.3101,0.3364,0.2991,0.3044,0.3828,0.398,0.2365,0.2152,0.3703,0.4174,0.2686,0.1649,0.4144,0.2582,0.2567,0.2541,0.278,0.2026,0.1073,0.3255,0.5289,0.3877,0.1866
