,R3_ssGSEA,R3_status (thr=0.939),R4_ssGSEA,R4_status (thr=0.724),mutation_R3,mutation_R4
CCA#144,-0.8694972389890677,Rest,1.3061799868202284,R4 Enriched,WT,WT
CCA#146,0.9836159523460867,R3 Enriched,-1.2133125483578853,Rest,MT,WT
CCA#149,-1.3728430893549834,Rest,1.630989806402863,R4 Enriched,WT,MT
CCA#150,-0.428036339311909,Rest,1.1338211496134833,R4 Enriched,WT,MT
CCA#151,0.8612541108469137,Rest,-0.4467685378987285,Rest,WT,MT
CCA#152,0.08359388224139165,Rest,0.10393902457249801,Rest,WT,MT
CCA#153,1.3037905553782607,R3 Enriched,-0.32877308763607177,Rest,WT,WT
CCA#155,0.47063663377272513,Rest,-1.3297812059107925,Rest,MT,WT
CCA#169,0.3947382849121482,Rest,-0.7031967536321027,Rest,WT,WT
CCA#174,-0.36905928153813417,Rest,-0.5712753280429719,Rest,MT,WT
CCA#175,-1.939880215776828,Rest,-0.5731371489675878,Rest,WT,WT
CCA#186,-1.32992905657231,Rest,0.7254677263744178,R4 Enriched,WT,WT
CCA#196,0.3657580835998915,Rest,1.9130212927911718,R4 Enriched,WT,MT
CCA#198,-0.8139206694801375,Rest,0.9052424504186234,R4 Enriched,WT,MT
CCA#206,-0.30060107111365936,Rest,0.26288274152600805,Rest,WT,WT
CCA#208,-0.9120848198101131,Rest,0.32531817343398506,Rest,WT,MT
CCA#210,-1.8133548731677378,Rest,-0.08941934224501125,Rest,WT,WT
CCA#216,-0.6515313597567368,Rest,0.7369104844314325,R4 Enriched,WT,WT
