,TP63_High,ssGSEA
BD101,0,-0.7860862027134665
BD104,0,0.7884999910172037
BD105,0,-0.4218458386736079
BD109,0,-0.5651914034222014
BD10,0,0.08511315814639737
BD111,0,0.30255431317962556
BD112,0,0.12123556887334677
BD114,0,0.4410068763348597
BD115,0,-1.0205646470856866
BD117,0,-1.1525035840436315
BD118,0,-0.1679101097518341
BD11,0,-0.45642840109202293
BD121,0,-0.6364017160638428
BD122,0,0.1638805388138073
BD124,1,3.1180179407935733
BD125,0,-0.08451961019649011
BD128,0,-1.2310609776749446
BD129,0,0.4524340511349909
BD12,0,0.1326722392803842
BD132,0,-0.03930211695956016
BD134,0,0.07613974260029523
BD135,0,0.6905827217864186
BD137,0,-0.6811749951644662
BD138,0,0.8319508971309588
BD13,0,0.9679525320942113
BD140,0,-0.7174657954627449
BD141,0,-0.8365367809463148
BD142,0,-0.924378890844352
BD143,0,0.7184658443911652
BD146,0,-0.6158091227259305
BD147,1,1.9747387049532947
BD148,0,0.02141128043061631
BD149,0,-0.9668307023852846
BD14,0,-0.3080384322372417
BD150,0,-0.51126145790401
BD151,0,-0.05931785248148505
BD152,0,-0.49898612133954484
BD153,1,1.643689972893388
BD154,0,0.43145228003657377
BD155,0,-0.27425430700798237
BD157,0,0.6906553671421547
BD158,0,0.336491482211938
BD159,0,-1.726106258550023
BD15,0,-0.49945483974935884
BD160,0,-1.2051974478278233
BD161,0,-0.37025136095578337
BD162,0,-0.43814295282086313
BD163,0,0.39854777067789077
BD165,0,0.7220466879755291
BD166,0,-0.03903876245490497
BD167,0,-0.6896628733343222
BD168,0,0.5909123966773719
BD169,0,-1.4376260493516124
BD16,0,0.5849767336422713
BD170,1,2.036243524311298
BD171,0,3.2124585905131875
BD172,0,2.1061122848636296
BD173,0,-0.35500245721079904
BD175,0,0.020257778149511824
BD176,0,-0.335908454360452
BD179,0,-3.584245855802846
BD180,0,0.01995760718523658
BD182,0,1.2373788669946222
BD184,0,0.9226979985177372
BD186,0,-2.5252481091677312
BD187,0,0.19241463464824812
BD189,0,-2.026816545518061
BD18,0,1.605071906224797
BD190,0,-0.24314563150348759
BD191,0,0.09575746746568038
BD192,0,-0.6355705292266594
BD194,0,2.4899018695555304
BD195,0,0.2408491570037723
BD196,0,0.7231293409993769
BD197,0,-1.1088935431996216
BD199,0,-0.3520937692931006
BD19,0,-0.7352588943246146
BD200,0,-0.8201797766955037
BD201,0,0.6492599607886053
BD202,0,-0.1703782871558018
BD205,0,0.012219684845962203
BD206,0,-1.3734841156010213
BD207,0,0.9423616824909642
BD20,0,-0.9458335344655264
BD210,0,0.14639855497135726
BD211,0,0.5898078895665942
BD212,0,-0.8437915642027805
BD213,0,0.5416325653025514
BD214,0,-0.1429207946864026
BD218,0,-0.5027843765211688
BD219,0,-0.3794167777715978
BD21,0,-0.9191301583877056
BD220,0,-0.22013158012120568
BD221,0,0.6137607740674433
BD222,0,-0.3540986289404239
BD223,0,-0.42933335457535915
BD224,0,-0.7338607564169571
BD226,0,-1.3581724995241808
BD227,1,2.6510222037651188
BD229,0,-0.07460501277183784
BD230,0,1.3154520463307458
BD231,0,-1.138360119424289
BD232,0,0.21255657086953408
BD233,0,-0.5772471743019213
BD234,1,3.267331491832429
BD237,0,-0.33481070462300583
BD239,0,-0.5456710032473162
BD23,0,-0.11123532093391236
BD241,0,-0.552086095409804
BD242,0,-2.2719071671500473
BD243,0,0.4256764081407363
BD244,0,-0.6523234042282897
BD247,0,0.3655180831562416
BD24,0,-1.070947549293341
BD25,0,0.41180441767228415
BD27,0,0.5309758710041215
