,TP63_High,ssGSEA
111,0,-1.4578382105045369
113,0,0.3615071520508645
115,0,-0.14666164606947096
117,0,-1.1250571391228477
121,0,-0.7724873959175963
123,0,0.4752178750049302
125,0,-0.28858873860359163
127,0,-0.5035706507374273
131,0,0.6930008420375686
133,0,-0.6501332179528807
135,0,-0.2212856815808324
137,0,-0.14633578743110298
141,0,0.1513623636062755
143,0,0.1901424713757511
145,0,-0.3855508984320929
147,0,0.6795539464467693
151,0,-0.1892785237607852
155,0,-0.060010721557278594
157,0,1.0425394147303173
161,0,-0.3331504684736403
165,0,0.5704216653182863
167,0,-0.4885334844591802
171,0,-0.5260151466940312
173,0,-0.6721260549661253
175,0,0.2259480647803026
177,0,0.4324483540578009
183,0,-0.1837367598679528
185,0,-0.3517849399330893
187,0,0.14890627955741337
191,0,-0.22090573734183713
193,0,-0.44987922724863705
195,0,0.9422007417410742
197,0,0.051156839096968144
211,0,0.46482990692844856
213,0,0.4427545627384334
215,0,-0.008608695158143833
217,0,-0.037515002966815425
221,0,0.48285314306849053
223,0,-0.45225929915252283
225,0,0.6509871928190062
231,0,-0.6830102267527066
233,0,0.058488767576640455
235,0,0.810123563400387
237,0,-2.542746399465342
241,0,-1.3297018882340326
243,0,1.0338841988711729
245,0,-0.24468624195617328
247,0,0.010320301898859534
251,0,-1.1666127523511165
253,0,0.0010237890769975383
255,1,0.7701393102095221
257,0,-0.13606504312724646
261,1,0.7287346008543718
263,0,-0.8212217930329134
265,0,-0.6889454298222397
267,0,-0.21215303238925015
271,0,0.11847244906878904
273,0,-0.23095700104166225
275,0,-0.04992080303387587
277,0,0.16382931923473593
281,0,0.49070821563118455
283,0,-0.32352439807249694
285,0,0.24547604338003304
311,0,-0.08341804140167272
317,0,0.48104207143040506
323,0,-0.16354400717417109
325,0,1.5851183884212838
327,0,-2.1686136490460757
331,0,0.268097865875681
335,0,-0.3722823716717241
337,1,5.091601513569687
341,0,1.1385557838434028
343,1,-0.8195559911616772
345,0,-0.2102658445392903
347,0,-0.6910226566986939
351,0,0.6534482701957471
353,0,-0.9659777769116039
