,R3_ssGSEA,R3_status (thr=0.798),R4_ssGSEA,R4_status (thr=0.625),mutation_R3,mutation_R4
111,-1.319180133627879,Rest,-1.5161259878080637,Rest,WT,WT
113,0.03956126175019092,Rest,0.7963575249282406,R4 Enriched,MT,WT
115,-0.6309970610533887,Rest,0.26584418738005033,Rest,WT,WT
117,0.6035314250853304,Rest,-1.586506093082868,Rest,MT,WT
121,0.8480343877262824,R3 Enriched,0.37012930066205857,Rest,WT,WT
123,0.48669434507137044,Rest,-0.3156529536855912,Rest,MT,WT
125,-1.6436807075711852,Rest,-0.681379544718289,Rest,MT,MT
127,-2.5522855323742193,Rest,-0.2639696452131029,Rest,WT,WT
131,-2.2008799579453404,Rest,0.22736239146462695,Rest,WT,MT
133,-1.757479944016572,Rest,-1.4565869334963375,Rest,WT,WT
135,0.6558045963973111,Rest,0.5169957434064775,Rest,WT,WT
137,1.2472213758713837,R3 Enriched,0.00886464037371363,Rest,MT,WT
141,-1.0006204221203256,Rest,0.39279272775521895,Rest,WT,WT
143,0.17324177774211347,Rest,-0.39184255334652013,Rest,MT,WT
145,1.3574403806196802,R3 Enriched,-0.05965512874456523,Rest,MT,WT
147,-0.9454567521982562,Rest,1.7621427513132533,R4 Enriched,WT,WT
151,-0.22342292766435468,Rest,1.0849858688757072,R4 Enriched,WT,WT
155,-0.09075406369583154,Rest,-1.135517807196262,Rest,WT,WT
157,-1.1617761127043598,Rest,-1.0357665450010105,Rest,WT,WT
161,0.4116993245976095,Rest,0.24606660266568825,Rest,WT,WT
165,-0.2843420497767028,Rest,-0.08126476451347443,Rest,WT,WT
167,-1.0781449162710268,Rest,0.8998988288594263,R4 Enriched,WT,WT
171,1.056839921992387,R3 Enriched,-0.8201669663000503,Rest,MT,WT
173,-1.133067365692751,Rest,-2.010841182814803,Rest,WT,WT
175,-0.31804915925271726,Rest,0.7855455337032743,R4 Enriched,WT,WT
177,1.0096318779166609,R3 Enriched,-0.13838224330567037,Rest,MT,WT
183,0.8144778786852145,R3 Enriched,0.11066586843185446,Rest,MT,MT
185,0.39746795210592234,Rest,0.36236883034591627,Rest,MT,WT
187,0.94416581669017,R3 Enriched,-0.22441219883712019,Rest,MT,WT
191,1.1348938362657315,R3 Enriched,-0.7382386954446929,Rest,MT,MT
193,1.1287535022062885,R3 Enriched,-0.408625246368569,Rest,WT,WT
195,-0.06353831030713324,Rest,1.8421548342834704,R4 Enriched,WT,WT
197,0.2594712596415239,Rest,-0.03559668598419237,Rest,MT,WT
211,-0.5040677276545281,Rest,0.9513956100236558,R4 Enriched,WT,WT
213,-0.02516882561141909,Rest,-0.25434721403092453,Rest,WT,WT
215,0.5338480952248505,Rest,0.42946565862819996,Rest,MT,WT
217,-1.2867147764519786,Rest,1.2696483845242814,R4 Enriched,WT,MT
221,-1.5193897796761056,Rest,0.849466690017951,R4 Enriched,WT,MT
223,-0.7880143985878222,Rest,0.5061619408135425,Rest,WT,WT
