,stat,p-value,effect_size,feature,q-value,in_group_gene_effect_mean,out_group_gene_effect_mean
1071,-3.479677867222492,0.0005217145563592652,-0.5673425912393358,ASGR1,0.07990780295238387,0.05857993084584727,0.12192166242689893
15685,3.4854210953087708,0.0005107633350388537,0.5682789934089852,TXLNA,0.07990780295238387,0.021784115970032294,-0.058981398537578396
14189,-3.4812649923738044,0.0005186665056652229,-0.5676013633815645,STX7,0.07990780295238387,0.009793343699796439,0.07674181346987825
16510,3.476519657640873,0.0005278296448015068,0.566827662307382,ZFHX4,0.07990780295238387,-0.04646057352614308,-0.12438650915772692
8435,-3.4774301103274907,0.0005260599524281947,-0.5669761066766991,MARK3,0.07990780295238387,-0.100413055749355,-0.013943873167886508
4917,-3.4794457752408605,0.0005221616841271976,-0.5673047499013474,FAM177B,0.07990780295238387,-0.062193303172957105,0.00675746094803539
2503,-3.472067393415279,0.0005365640238679061,-0.5661017447888598,CDK1,0.0805175504939322,-2.591255273984135,-2.320580728281952
8306,-3.464090570744805,0.0005525509469230888,-0.5648011671444885,MAGEB17,0.08219555694794158,0.10878796659081491,0.1613494862652047
10167,3.4608409050806057,0.0005591903203779959,0.564271326794623,P2RX4,0.08246611043712393,-0.13212069715210203,-0.2117528040614486
9856,-3.4561304931225,0.000568946322508765,-0.5635033196893418,NSG1,0.08272872005119701,0.06741944896631873,0.12309228659343677
10510,-3.453034332473461,0.0005754451598105112,-0.5629985074990912,PDLIM7,0.08272872005119701,-0.15660358341138306,-0.06728201987272095
13410,-3.4517652676497073,0.0005781288709048034,-0.5627915933670845,SLC3A2,0.08272872005119701,-0.5765684669145063,-0.4257685234399344
8339,3.4507356139382828,0.0005803148656189654,0.5626237139176041,MAML2,0.08272872005119701,0.05833826267826165,-0.013856911375145293
2163,-3.4436068966913957,0.0005956620758507123,-0.5614614152596855,CCDC144A,0.08421480274031516,-0.33683874421660054,-0.21961772568129592
14703,-3.431499893635144,0.0006225967155923409,-0.559487434118851,TGFBR3,0.08659156108648923,-0.05833099375403089,0.00786995403281444
8953,3.433431670121241,0.000618224316241437,0.5598023997907142,MRPL27,0.08659156108648923,-0.3498096449772887,-0.4782711033189578
10273,-3.427173702434684,0.0006324933726494547,-0.5587820721228497,PARD6B,0.08716695383561321,-0.514077852138195,-0.34775711850429347
319,-3.425257051970622,0.0006369246056849039,-0.5584695726667868,ADGRE3,0.08716695383561321,-0.13143066464761938,-0.04880468529814825
7316,3.4200562747291348,0.00064909475148512,0.5576216141633754,KCNH3,0.08812749137822182,-0.07858061202637573,-0.1437441033751832
11254,3.4098384643380166,0.000673638237751369,0.5559556556335082,PRAG1,0.09003069791572398,0.12769102697489693,0.05567698410067132
2212,3.411795519095581,0.0006688714521475867,0.5562747427903433,CCDC47,0.09003069791572398,-0.11255633532742611,-0.19701484459758206
15393,3.406852440386312,0.0006809722495700988,0.5554688006340209,TRIM14,0.09030536646043164,-0.02398870627879686,-0.08656275152642859
5317,-3.401282420502886,0.0006948518580118257,-0.554560639121806,FOSL1,0.0907391659160939,-0.4960979237321757,-0.3092748207427351
14706,-3.4013084162469602,0.0006947864736008608,-0.5545648775867924,TGIF1,0.0907391659160939,-0.30195646298745565,-0.1678422309888563
6567,-3.3904556544201596,0.0007225867040645131,-0.5527953936713645,HOXB2,0.09364614201842139,-0.09006625296911425,-0.02186155180791892
2056,-3.378229049168125,0.0007551440521300222,-0.5508019120416162,CARS1,0.09569073555398734,-1.72114503612439,-1.510161983360337
15294,-3.379987643703331,0.0007503786853184792,-0.551088641336285,TPCN2,0.09569073555398734,-0.2830856903401256,-0.2149458860194205
10974,-3.380856149143777,0.0007480355746883383,-0.551230246434771,PMM2,0.09569073555398734,-0.4614602525142361,-0.2643770754592548
7827,-3.3727895398812646,0.0007700625334471598,-0.5499150295738603,LCE1B,0.0962369684193491,-0.28283312624865664,-0.1409176133728171
4521,-3.3725571931174887,0.0007707058323172285,-0.549877146695026,ELOC,0.0962369684193491,-1.1964043653154737,-1.0163118972732843
148,-3.3642952332484755,0.0007939081172601126,-0.5485300789779379,ACKR2,0.09841584175339671,0.014787793179905596,0.07080166650404926
4661,-3.3578156158585877,0.0008125574286274045,-0.5474736125288889,EPS8L2,0.09858453852148233,-0.2162090064282942,-0.154082200818577
11179,-3.35781785724838,0.0008125509077727165,-0.5474739779753302,PPP1R12C,0.09858453852148233,-0.05565805257702119,0.010131256824329663
6518,-3.3581928046403102,0.0008114607609042064,-0.5475351111126587,HNF1B,0.09858453852148233,-0.5974278558367444,-0.36091537841159677
10358,-3.353747624375784,0.0008244728552499512,-0.5468103485955425,PCDHA5,0.09932575447014728,0.02270962296834587,0.08956523524186134
897,-3.3517059222632652,0.000830514130922418,-0.5464774601468826,ARHGAP29,0.09935388278104756,-0.41644670660853567,-0.29300924023387037
9690,3.349611471677554,0.0008367541942327318,0.5461359713459469,NOA1,0.09940523611624544,-0.2517652167356494,-0.39627631456802487
13440,-3.345714405295317,0.0008484808965624395,-0.5455005758225979,SLC4A4,0.10010319101719761,-0.03057621566263671,0.03295075674247574
9016,3.340370704506055,0.0008648089258869367,0.5446293144104006,MRTFA,0.10133072804895772,-0.09236865542221032,-0.16004492133108933
16171,-3.324122035057657,0.0009162675235000731,-0.541980057042102,WDFY4,0.10662985390827041,-0.03298371918179455,0.02536569792639002
4765,-3.321754191511717,0.0009239992485258273,-0.5415939930027673,EVI5,0.10680307530088735,-0.2880498501990614,-0.22117786465703146
7242,3.3156061123525467,0.0009443581304950261,0.5405915820629028,JRKL,0.10818077122246443,0.028352335129840388,-0.03565894542740224
15837,3.3102628401235537,0.0009623891185479808,0.5397203905251315,UGGT2,0.10818077122246443,-0.12773178997073054,-0.19809178733091018
17092,3.3106187035824237,0.0009611783952367109,0.5397784121307476,ZSWIM6,0.10818077122246443,0.0700480062639104,0.0008633141248968447
1378,-3.3124424709310274,0.0009549956906184914,-0.540075767498933,BCAR1,0.10818077122246443,-0.2696994424305898,-0.14512045252403924
6595,-3.3069114279660488,0.0009738609205740061,-0.5391739609617341,HPCAL1,0.10818077122246443,-0.14109128736612514,-0.07100002474058238
4072,-3.3086941329553237,0.0009677430729356759,-0.539464621335086,DNAJC21,0.10818077122246443,-0.24156674805704015,-0.12120954953809343
15663,3.298423522115316,0.0010034844872783067,0.5377900539785875,TUBGCP5,0.10934145938770695,-1.0616943201039308,-1.1995923864090874
16455,3.300192532524646,0.0009972424241533884,0.5380784815250028,ZC3HAV1,0.10934145938770695,-0.014366494301194715,-0.0844989810088836
11203,-3.301672692580604,0.0009920472673908252,-0.5383198135889581,PPP1R3A,0.10934145938770695,0.07801130017632352,0.12773199572672173
15275,-3.2939497369105015,0.001019432497065599,-0.5370606275812028,TOX2,0.10968196054906418,-0.020067159675566947,0.028981991196614255
9101,-3.2951579232000485,0.0010151025954182912,-0.5372576157986088,MTM1,0.10968196054906418,-0.01893620224777598,0.03899786985998927
7428,3.2872626029833087,0.0010437090247552056,0.5359703266869862,KHDC4,0.11134778988184739,-0.050583169838638135,-0.15426342320759198
9895,-3.2791262504471104,0.0010739688624834757,-0.5346437385638139,NTNG1,0.11134778988184739,-0.1381753156095372,-0.0797099128944223
1301,-3.2835265691904625,0.0010575042260985393,-0.5353611866533765,B3GNT7,0.11134778988184739,-0.12673285859692926,-0.06418662239760091
2991,-3.281260242824167,0.0010659546910520713,-0.5349916744392259,CLPTM1,0.11134778988184739,-0.23123864299598035,-0.15869327673701292
2108,-3.2808022847615748,0.001067669861421849,-0.5349170068625637,CBLL1,0.11134778988184739,-0.4882658661292392,-0.35838069297057856
8583,-3.2807608499921694,0.001067825171307601,-0.5349102511482883,MED4,0.11134778988184739,-1.5225778864801531,-1.3441405381171903
2472,-3.2760331275517927,0.0010856841456151594,-0.5341394216628208,CDH1,0.11188432939179839,-0.2673334343851757,-0.15698471725631064
10503,3.2742651994076253,0.001092433265649887,0.5338511705738666,PDK3,0.11190572380522525,0.08009065480430883,0.017275793063496848
8646,3.271017911936213,0.0011049312136267113,0.533321717975428,METTL5,0.11251225161614375,-0.07267768006886877,-0.1547114495771453
14360,3.260001023047414,0.0011483255699738133,0.5315254740332966,TAF11,0.11315779906731221,-0.20507178420473512,-0.2878841680384268
5556,-3.2599213331131103,0.0011486451284434837,-0.531512481022004,GAREM1,0.11315779906731221,-0.1673778296388782,-0.10810391331253855
9403,-3.265981736994963,0.0011245762464089802,-0.5325005969837358,NCSTN,0.11315779906731221,-0.06394966810412517,0.034353481243963105
1853,-3.2613097902952544,0.0011430891420380071,-0.5317388614300764,C6orf132,0.11315779906731221,-0.019022607409391268,0.03484927120978214
16796,-3.2595662585026917,0.0011500699864502285,-0.5314545880338468,ZNF490,0.11315779906731221,0.06405568930879789,0.12695436204083105
3386,-3.2593449018164034,0.001150959083282418,-0.5314184970275011,CRYM,0.11315779906731221,0.0410197050058978,0.10243740600801897
6497,-3.2567649039112503,0.0011613688746033445,-0.5309978423713073,HMGB1,0.1133083475351409,-0.5776331769447653,-0.407167581720297
13369,-3.255688571565112,0.0011657373686902903,-0.5308223522237724,SLC35F1,0.1133083475351409,-0.012588727874218119,0.03341961261635806
10840,-3.248388188484389,0.0011957710038469065,-0.5296320643833168,PLAAT3,0.11362783030614791,-0.033418366431218156,0.021307036952925625
8415,-3.2468072919748465,0.0012023683670716377,-0.5293743077873245,MAPK7,0.11362783030614791,-0.07198435613157302,-0.0036852819124507806
1131,3.245255413847589,0.001208877366909389,0.5291212824810743,ATG3,0.11362783030614791,-0.044305392327886946,-0.12867976349839466
790,3.2467585721401613,0.0012025722174470526,0.5293663642826928,APEX1,0.11362783030614791,-0.09019383891366418,-0.16065125755079385
7614,3.252610625774377,0.0011783138398823978,0.530320509867312,KMT2C,0.11362783030614791,0.01985845918048405,-0.0864068248587667
10306,3.2513709081666144,0.0011834146935047302,0.5301183806395986,PAWR,0.11362783030614791,0.21152644966510245,0.129037987850731
3497,-3.2393403805543968,0.00123398665006014,-0.528156868404864,CTSS,0.1143447520149821,-0.12530376826006384,-0.06310950093040461
13609,-3.239606814835532,0.0012328453431991776,-0.5282003090684031,SMIM2,0.1143447520149821,0.06084143566331536,0.11846118956737565
15609,3.237188358599109,0.001243241005131623,0.5278059929045721,TTC39A,0.1143447520149821,-0.03510761429494334,-0.09428785626351048
8215,3.2382791039681695,0.0012385424743133534,0.5279838330172717,LUZP1,0.1143447520149821,0.10684396048120548,0.030728213726594913
15226,-3.233113596203731,0.0012609397634705884,-0.5271416250106774,TNPO2,0.11535238788070243,-0.13326872261833092,-0.07651338590560014
3509,3.2301473497823325,0.0012739698678971576,0.5266579946301694,CUBN,0.1159244815431738,0.04126361543589277,-0.021025112509035698
3080,-3.2238313180412685,0.0013021305959789043,-0.5256281999333443,CNPY3,0.11664729957747931,-0.07031447039485089,-0.008595325768239289
12308,-3.22377828814653,0.0013023694522299963,-0.5256195536968125,RNF217,0.11664729957747931,-0.01928998390178388,0.04354590486446609
15281,-3.224167106561141,0.0013006190832139423,-0.5256829484291079,TP53BP2,0.11664729957747931,-0.22519054962876203,-0.12825216309522056
12080,-3.217085927155313,0.0013328401434749848,-0.5245284005581754,RFK,0.1187546684084717,-0.5177487286970796,-0.35203021270235396
15252,3.2148953990536,0.0013429559446736183,0.5241712468396903,TOMM40L,0.11903599660897196,-0.058273598744107445,-0.11998917865215347
2555,3.2089358879115095,0.0013708368730214909,0.5231995808916089,CDT1,0.12088096075659095,-1.474181949063163,-1.6534502808421094
12138,3.20442428934498,0.0013922983941307883,0.522463989230818,RHBDF1,0.12117758148246249,-0.1916127802098709,-0.27594970088858484
2974,3.2037669316375523,0.0013954511926138487,0.5223568106242533,CLK3,0.12117758148246249,-0.019101541376290873,-0.09612249152646829
1424,3.2057234458108312,0.0013860867576179485,0.5226758096417545,BDNF,0.12117758148246249,-0.008592676315449245,-0.0544444271534043
9266,3.1974396039336517,0.0014261370146438888,0.5213251741819936,MYSM1,0.12259761763574374,-0.16177738070766962,-0.23685301222646
3855,-3.197508229176462,0.0014258008854792135,-0.5213363631553888,DENND4C,0.12259761763574374,-0.0883548015230435,-0.008001074784425202
4220,-3.1919717745755762,0.001453154979275581,-0.5204336742803256,DTL,0.12394828895009287,-2.328758838048535,-2.137752958431099
4347,-3.1913334195965795,0.001456339865491826,-0.5203295939654994,EDC3,0.12394828895009287,-0.12334951632835472,-0.06678891337491683
9599,3.1891934603055976,0.0014670636240953568,0.5199806852171555,NIP7,0.12424285850197657,-1.691378208680995,-1.9125886012545172
7891,3.1783295057656304,0.0015226377867937624,0.5182093763905914,LEXM,0.12511908730938678,-0.1413570544394361,-0.2038986683452433
2559,3.18105682857915,0.001508506592431424,0.5186540515735282,CDX4,0.12511908730938678,0.11344380310238457,0.05396733154234382
11946,-3.1771843507353434,0.0015286075435588845,-0.5180226650779226,RBM26,0.12511908730938678,-0.2127303440033421,-0.14241135572767064
2205,3.1793727726698484,0.0015172179053084232,0.5183794753972749,CCDC33,0.12511908730938678,0.08450395722156465,0.03135257260686432
11484,-3.1839583836148164,0.0014936055361997446,-0.5191271343746877,PSMA2,0.12511908730938678,-2.563534668080825,-2.3260371327910563
11373,-3.1783323032394284,0.0015226232297741924,-0.5182098325035116,PROZ,0.12511908730938678,-0.11368654877959446,-0.05695463784419603
5322,-3.182913797292488,0.0014989543375990982,-0.5189568202440421,FOXB1,0.12511908730938678,0.051350941827062485,0.10792824380584498
