,stat,p-value,effect_size,feature,q-value,in_group_gene_effect_mean,out_group_gene_effect_mean
4121,-6.43073432000213,1.8909922753266375e-10,-1.0484963298036392,DOCK5,3.2349204854012787e-06,-0.3194098196963663,-0.08399322921166029
4416,-6.172224506527142,9.459048740938477e-10,-1.0063477077086964,EGFR,8.090797340561727e-06,-0.7396912137863552,-0.3686296742948254
938,-5.534249930777286,3.9075371919721344e-08,-0.9023294155672887,ARHGEF7,0.00022282079581022434,-0.668983768643738,-0.3546822585162809
13493,-5.155361699434238,3.000705373505177e-07,-0.8405537457602912,SLC7A5,0.0012833266706138266,-0.5642540336992249,-0.2654328838865474
15499,-5.0619099114766275,4.863964592399716e-07,-0.825316938918128,TRPM7,0.001664156845643639,-1.1833540620051886,-0.8158446474175386
4993,-4.980155078288206,7.374005743755074e-07,-0.81198725706902,FAM83H,0.002102451937640301,-0.201084862969019,-0.07525912277632564
6969,-4.9429820371997115,8.892156000200058e-07,-0.8059263944661758,ILK,0.002173115895648891,-0.592970510553927,-0.32346561574900484
16002,-4.911289332362876,1.0420703789453297e-06,-0.8007590709461208,VAC14,0.0022283372465772195,-0.28665619500364936,-0.12779648069288344
10089,4.810040055957117,1.7192701313035512e-06,0.7842509259312485,ORC6,0.0032679504595788727,-1.46531360941762,-1.8208469175261093
2727,-4.721131350536398,2.6483313039860224e-06,-0.7697548440403725,CFLAR,0.004187385953310063,-1.1974408745570813,-0.7373660429134266
7159,-4.7176950445330315,2.692537878436353e-06,-0.7691945729961458,ITGB1,0.004187385953310063,-0.520937216628667,-0.2480826823562943
7146,-4.609694635684825,4.50565495672587e-06,-0.7515856924764792,ITGA3,0.005515818867351709,-0.30428262064445627,-0.1369625078875492
437,-4.605904375204568,4.5869258834889464e-06,-0.7509677110757877,AHCYL1,0.005515818867351709,-0.6115626144760282,-0.3678292492697206
4043,-4.5992083048430175,4.7339518041651934e-06,-0.7498759531444493,DNAI7,0.005515818867351709,-0.1630533752488011,-0.030897669900221202
66,-4.59465683357845,4.836457766427523e-06,-0.749133860456642,ABCF1,0.005515818867351709,-1.137693686329462,-0.9461102122441722
13539,4.573171963215235,5.349758190251184e-06,0.7456308689472475,SLIT1,0.005719894585039189,-0.07427965132896003,-0.152871383478567
9381,-4.542649352126161,6.1695884493536686e-06,-0.7406543228623975,NCKAP1,0.006208420564887835,-0.6463623989034654,-0.3989604862206362
12514,-4.467574921998856,8.729742095851384e-06,-0.7284138444763222,RSU1,0.008027453291387055,-0.19074112531162227,-0.056109343702203114
2350,-4.462979069595139,8.915742826699833e-06,-0.7276645156846432,CD151,0.008027453291387055,-0.2244779022323402,-0.10072460509268587
5693,-4.431249120094535,1.0307295396401292e-05,-0.722491119624296,GGNBP2,0.008816345117311846,-0.49824309217079815,-0.3017657102127386
13965,-4.350666146817223,1.483634294352438e-05,-0.7093525031737414,SREBF1,0.012085967558803408,-0.5366601480374716,-0.28908239500599164
16000,-4.290871847856864,1.9366301829254082e-05,-0.6996033672456539,UXS1,0.013893140400075313,-0.6556245325491111,-0.4022357100197975
9577,-4.290626578156944,1.938735051318119e-05,-0.6995633773522169,NHLH1,0.013893140400075313,0.10473770082737374,0.20866895123411186
11713,-4.289420576422685,1.949116558144663e-05,-0.6993667453146946,RAB10,0.013893140400075313,-0.6636012638572091,-0.3934578269252884
14588,-4.265665013213866,2.1647456536951494e-05,-0.6954935296603962,TEAD1,0.014812921559105168,-0.43393373409855396,-0.21609674558938455
2039,-4.236206139206469,2.4638090238291225e-05,-0.6906904201335679,CAPZB,0.015843412720968116,-1.3054558076846858,-1.0121846826106098
7857,-4.232823346188448,2.5005678579887717e-05,-0.6901388740911747,LDHA,0.015843412720968116,-0.4475606942260574,-0.3197221724183328
11773,-4.189538195568749,3.019512068729234e-05,-0.6830814652010907,RAB6A,0.018448140342768215,-0.7622592916296435,-0.49272869820479004
5676,-4.172494981033156,3.250728001405612e-05,-0.6803026615685035,GFPT1,0.01917593238622269,-0.7911811183699073,-0.5760236298543346
11517,-4.138798301733013,3.758357185225781e-05,-0.6748086008882359,PSMD4,0.020740069796018525,-1.651470324754763,-1.3835346117423597
12171,-4.144983500719211,3.659860011948163e-05,-0.6758170640144394,RIC1,0.020740069796018525,-0.8981250832334979,-0.5769126696379768
1222,-4.128472793810943,3.928424669558405e-05,-0.673125082860446,ATP6V1G1,0.021001112756917385,-1.024734864172665,-0.7667463276749444
11539,4.098577519100585,4.463026401921119e-05,0.668250820567447,PSTK,0.023136058381110478,-0.2032593075297682,-0.44755179411938656
14121,4.066224157145135,5.119161730253974e-05,0.6629757804897399,STK17A,0.025394485870283603,0.06802786021003747,-0.01200055606526594
13014,-4.0627158096081954,5.195574942771533e-05,-0.6624037634644503,SH3BGRL3,0.025394485870283603,-0.1308549051696017,-0.04429302991688664
9205,-4.043107734653748,5.642971193244365e-05,-0.6592067732606555,MYH9,0.0268150856118976,-0.8490489074715211,-0.5583051063173458
577,-4.034793792680075,5.843497544815491e-05,-0.6578512301435214,ALX3,0.02701748986463746,-0.33378028656274206,-0.22725182336367195
3625,-4.004975451541503,6.61970077415187e-05,-0.652989511451866,CYP4B1,0.029800847669320014,-0.17509407629400459,-0.09181554586526601
14369,-3.9499988460681195,8.313488302850648e-05,-0.6440258743001003,TAF2,0.03160418764374801,-0.9869645560362921,-0.8060120839645465
14171,-3.954791156742869,8.150903961007292e-05,-0.644807234546647,STT3A,0.03160418764374801,-0.42583724777860726,-0.269023782449925
6405,-3.95538511669757,8.130964129047075e-05,-0.6449040764937037,HES6,0.03160418764374801,-0.17305924963083572,-0.08035260648007489
4270,-3.960404557316438,7.964290523260665e-05,-0.6457224690449527,DYDC2,0.03160418764374801,-0.09792366892402184,-0.03052479937990081
8434,-3.967040200589508,7.74890953451292e-05,-0.6468043746674662,MARK2,0.03160418764374801,-0.5567432061940318,-0.37276956838179903
6559,-3.9760378393720814,7.465658288198981e-05,-0.6482713908387118,HOXA3,0.03160418764374801,-0.04576130968311984,0.03640839855546824
9919,-3.9584711033514215,8.028105407680189e-05,-0.6454072298692557,NUDT13,0.03160418764374801,-0.15981499415815412,-0.07972741125561607
5265,-3.943543963512052,8.537332832279484e-05,-0.6429734407314642,FLOT1,0.031749598426479377,-0.2159766367582552,-0.09725213696001225
12335,3.9277537928657664,9.109189710858035e-05,0.6403989391044714,RNPC3,0.03315551242205285,-1.346497963962506,-1.6549424956351733
4698,-3.918045682556381,9.478566165809231e-05,-0.6388160844066714,ERICH5,0.033781214874687195,-0.17531027608417532,-0.08828128287790662
12870,3.903874041547241,0.00010043282925345898,0.6365054752528829,SEPSECS,0.034899065353451234,-0.16918749889727178,-0.4530466897332804
9485,-3.9000692159496197,0.0001020022954154768,-0.6358851190888535,NEFM,0.034899065353451234,-0.1105876572554796,-0.012731143801908375
5357,3.8578991330905774,0.0001210220843521431,0.6290095159454154,FOXR2,0.04059460386298259,0.15214578465017867,0.0804996604808231
13659,3.795236755505852,0.0001555624567201861,0.6187927553633468,SNAPC3,0.04668784117740743,-1.022555036564228,-1.2202224987174366
15385,-3.8012338504461334,0.00015189248016946074,-0.6197705491457476,TRHR,0.04668784117740743,0.12610967802399406,0.19130142131347147
16256,-3.803569374891245,0.00015048544057821335,-0.6201513437310953,WNK1,0.04668784117740743,-1.099003554164392,-0.828906071029509
16422,-3.8072828242698527,0.00014827354110315348,-0.6207568014985341,ZBTB43,0.04668784117740743,-0.07914462137521279,-0.014713255980765217
1576,-3.8001908769109267,0.00015252481829550993,-0.619600497971289,BRK1,0.04668784117740743,-0.37441048410622246,-0.21470369941335005
13783,-3.798492385507595,0.0001535599001377271,-0.619323568166079,SOX9,0.04668784117740743,-0.5233568189123007,-0.3513954017071366
3544,-3.7807648749122964,0.00016476578482804577,-0.6164331937747887,CXCL6,0.048597384156092736,-0.13779087216421046,-0.05048153474921628
1083,3.7674116958166293,0.0001737105599004238,0.6142560303940111,ASNSD1,0.05015463838764019,0.00996344161735611,-0.07341052507688446
5278,3.764228757947974,0.00017590917772013863,0.6137370696490619,FMC1,0.05015463838764019,0.14126002556334638,0.07908619699013147
3296,3.7538015750839673,0.00018329670980223107,0.6120369740738031,CPT2,0.050575109912689785,-0.08686375609156494,-0.16972431950463376
11851,-3.7544084874187393,0.00018285883556099506,-0.6121359278361349,RAP1A,0.050575109912689785,-0.26765118674559324,-0.17814862149175414
8276,-3.7447608503425247,0.0001899373921230425,-0.6105629329708012,MACO1,0.05157553915950616,-0.21319866817434524,-0.14236741205362316
2790,3.7390091194153796,0.00019427936514867497,0.6096251444590954,CHMP4B,0.05193026718122473,-0.6047538577324663,-0.9873872440960234
13492,-3.7112241508669253,0.0002166016801839016,-0.6050949561326783,SLC7A4,0.052934356327228635,-0.10108684616303622,-0.02950581988790591
8003,-3.7166570799331935,0.0002120555784935459,-0.605980765731179,LMNTD1,0.052934356327228635,-0.10041201494634684,-0.03598834998706178
6063,-3.7298553992736485,0.00020138259425732865,-0.6081326800693286,GRHL2,0.052934356327228635,-0.33305395183755554,-0.1869951480221126
15235,-3.7134663887020154,0.00021471445248583227,-0.6054605408425497,TNS3,0.052934356327228635,-0.30514572699908493,-0.1819253156956766
4376,3.721177778668638,0.00020834135101871457,0.6067178411251224,EEFSEC,0.052934356327228635,-0.22174763762979233,-0.4329709476500551
14837,-3.712708570865959,0.0002153505496410971,-0.6053369827572322,TLN1,0.052934356327228635,-0.45949882666421743,-0.25745874452820633
5665,-3.704480957939126,0.00022237164574601955,-0.6039955151226581,GET1,0.05357903864474868,-0.46938777445221463,-0.25055674533615135
3599,3.697097381942648,0.0002288551481200513,0.6027916631287956,CYP27B1,0.054375347484579416,-0.11576861602314917,-0.23691153818125024
9961,-3.6872999068953622,0.00023773284159084784,-0.6011942379954839,NUP85,0.055710900288967594,-1.6689241425325099,-1.4556369275434555
15703,3.6797720747138496,0.00024477270226572797,0.5999668658135633,TXNRD1,0.05602966601530119,-0.309807494804998,-0.5707686750688006
12343,3.6687145257445763,0.0002554693370663175,0.5981639924659821,ROCK1,0.05602966601530119,0.09026342451785856,-0.0216414505600215
14193,-3.6711925276781594,0.0002530347315730538,-0.5985680172325669,STXBP3,0.05602966601530119,-0.6735595312806739,-0.47786233052228
3351,-3.6747028181409935,0.00024962318860464333,-0.5991403510413791,CRKL,0.05602966601530119,-1.2001518489799083,-0.8418168751327775
6782,3.6695240675478806,0.00025467156358990976,0.5982959838634415,IFI44L,0.05602966601530119,-0.045851129028438645,-0.11309603604795868
2430,3.652679110382934,0.0002717635185100662,0.5955495050191499,CDAN1,0.05811323138939629,-0.5236635864873028,-0.8765328260019442
5528,-3.652820663247191,0.00027161550733274364,-0.595572584445427,GALNT16,0.05811323138939629,-0.1820249718922643,-0.11397908925152911
11518,3.6419459332543775,0.0002832094970387836,0.5937995187397571,PSMD5,0.05974202649471912,-0.018617278039065013,-0.09414554364105465
16758,3.6390585143928105,0.000286365006872448,0.593328740765064,ZNF425,0.05974202649471912,0.0007434009802081479,-0.09484575338239155
9387,3.6241470045013444,0.0003031927675522207,0.5908975000054509,NCLN,0.06079078894697813,0.017885104294770884,-0.0909284451997549
16640,-3.622072226968822,0.0003056063511685345,-0.5905592187890675,ZNF213,0.06079078894697813,-0.14888645572437698,-0.08128366497033088
589,-3.626068731306853,0.00030097318364922463,-0.5912108271314361,AMER2,0.06079078894697813,-0.16396166612730445,-0.09328539293389485
4832,-3.622374167963134,0.00030525398729410407,-0.5906084486294868,FAAH,0.06079078894697813,-0.3028118980624644,-0.2191607585867579
5050,3.5968963808666365,0.0003363655865639109,0.5864544337172074,FBN3,0.06614029987757268,-0.023021306115373827,-0.0954685610636414
15654,-3.5816978604414387,0.0003563146831347887,-0.5839763974477413,TUBB4B,0.0692667645953049,-0.6176198908957794,-0.41055848644409293
7536,-3.5696893789848536,0.00037285451601071185,-0.5820184797190332,KLF6,0.07099322477348734,-0.1698236413932631,-0.05938594728979181
12848,-3.562457050630835,0.0003831598843734723,-0.5808392878324181,SEMA4B,0.07099322477348734,-0.13864994188419436,-0.06803567971689457
1539,-3.561243836573983,0.0003849144896740724,-0.5806414798648399,BPI,0.07099322477348734,-0.031370978965456736,0.03769411705981957
5433,-3.561125068532847,0.0003850866609024151,-0.580622115380314,FUT7,0.07099322477348734,-0.0781487848943436,-0.0017578616784345122
13169,-3.559171209180587,0.00038792942454402273,-0.5803035492169717,SLC12A7,0.07099322477348734,-0.1487409335648112,-0.0569840703618687
810,3.5576914412309146,0.0003900954655233419,0.5800622810838183,APOBEC3B,0.07099322477348734,0.13991756867317315,0.034380405709577254
12635,3.549246535526174,0.0004026750195787167,0.5786853850411039,SAP18,0.07251117431508534,-0.8273218027842473,-0.9807443794616902
15420,-3.5433243262685297,0.00041172204534336817,-0.5777198009628354,TRIM42,0.07255782493298898,-0.02554201832208235,0.04401604998986877
11285,3.5407855460087694,0.00041565831784841996,0.5773058666200253,PRELID1,0.07255782493298898,-2.1900896402745333,-2.4221440562375585
1841,-3.5441399212866207,0.0004104649169129852,-0.5778527793041135,C5AR2,0.07255782493298898,0.020551171713669648,0.08050776588487556
11791,-3.521738466124608,0.0004463320470247337,-0.5742003436177916,RAC1,0.07536814280210845,-0.941362111852945,-0.7293520865347081
3153,-3.5269153053242284,0.00043779219686783627,-0.5750443991533939,COL5A3,0.07536814280210845,-0.1144638509157254,-0.0515415104928512
9819,-3.5147005998281173,0.00045819178414796736,-0.5730528577142663,NRBF2,0.07536814280210845,-0.2994510260364398,-0.1988317320583294
8897,-3.5223338293449014,0.0004453420560236137,-0.5742974143596874,MPRIP,0.07536814280210845,-0.34070678742297983,-0.22747268201527218
6042,3.515283732245292,0.00045719805090294974,0.573147934290093,GPX4,0.07536814280210845,-0.332546887883018,-0.6553063200690552
4842,-3.519758653237458,0.0004496389620248858,-0.5738775458714412,FABP6,0.07536814280210845,-0.032000423500256996,0.01977950082319431
94,-3.510423554165368,0.00046554234686818505,-0.5723555086314646,ABI1,0.07584793264641944,-0.25620221826852035,-0.1637562094975163
1122,3.5059224151851422,0.00047339692003993714,0.5716216223494541,ATG10,0.07640001048229439,0.036136921248289815,-0.04170432707353476
2553,3.497463661095772,0.0004884935549576108,0.5702424684027844,CDS2,0.07809961910897054,-0.18250400945110767,-0.34748970982233807
