,ssGSEA
ACH-001097,0.4608478500764389
ACH-001636,0.02162172493707348
ACH-001804,1.2494022349540148
ACH-000534,0.4519331996433298
ACH-001498,-0.04860768419908447
ACH-000742,0.49165800265054926
ACH-002018,0.12240074338612222
ACH-000836,-1.5003518299357865
ACH-000545,-0.07851914593039801
ACH-001617,-0.10523019789025068
ACH-001850,1.121064197344308
ACH-000470,0.5784170905102348
ACH-001959,-0.0058012389303312125
ACH-000079,0.032066324928096454
ACH-001443,1.3509758866345434
ACH-001513,-0.2834180774027221
ACH-000762,-1.4901116334475317
ACH-000495,-2.4711078400500974
ACH-001862,0.509983938778893
ACH-000834,-1.094410432533343
ACH-000981,0.8342709332390664
ACH-001642,0.1139755298623712
ACH-001020,0.7472770389500948
ACH-001799,1.4763227495174964
ACH-001100,0.49949371798792436
ACH-000652,0.668481514457267
ACH-001400,-0.9232079428072764
ACH-001119,-0.2226338071043685
ACH-002059,0.35348159761510634
ACH-001613,0.20333710959942902
ACH-001450,0.0189538746434786
ACH-001622,0.06464048763616616
ACH-001515,-1.104193189454955
ACH-001849,-0.03419913709190225
ACH-001033,0.33007703762644824
ACH-000660,0.5997284519128222
ACH-001520,0.10507542030814938
ACH-000813,-1.778348920643203
ACH-001143,-0.19114514361699217
ACH-001411,-1.3331456197500937
ACH-001740,0.35954981183076906
ACH-002446,0.6830016519797302
ACH-001196,0.17984339508705158
ACH-001239,0.8930109352788962
ACH-000741,-1.3981149854745893
ACH-001608,1.0502036980616172
ACH-001068,0.5166522648117269
ACH-000723,-1.3560005010143839
ACH-002017,-0.7063111013979343
ACH-001634,0.039788498924335475
ACH-001549,-2.0904349112153104
ACH-001028,-0.07751143554238164
ACH-001853,-0.8065921024043295
ACH-001791,-0.14202943933524764
ACH-001184,0.041685359632081156
ACH-001442,-2.188371311517469
ACH-001609,1.032880855453093
ACH-001485,-0.16651072309376666
ACH-000608,0.3448688975632891
ACH-001542,-1.2871863685761071
ACH-001702,-1.3721924973230144
ACH-001563,0.06284119975485204
ACH-000529,0.16980618769438444
ACH-001560,1.101042180701329
ACH-001050,1.2092607147755245
ACH-001431,0.9766348080950659
ACH-001392,0.06878924733932136
ACH-000958,0.6682218680048302
ACH-000772,0.556647977223119
ACH-002029,0.31490720491023155
ACH-001163,0.37139193531879844
ACH-001699,-1.3911212809800142
ACH-001664,0.0492062273252393
ACH-001060,0.31516137742994577
ACH-001316,0.2839837101452451
ACH-001054,-0.06957563795350741
ACH-001334,0.03387831430851946
ACH-001638,-0.3124375587539937
ACH-000318,-1.1921349687797425
ACH-000820,-0.4705511017078917
ACH-000686,1.5032855670828862
ACH-001497,-0.785405565687531
ACH-001844,-1.3161871988451705
ACH-001735,0.39298468657609764
ACH-001300,0.2541897570725091
ACH-001147,0.03905602046532441
ACH-000899,0.10692591609180702
ACH-001745,0.05290871871816
ACH-001790,-0.8171319688240217
ACH-002045,-0.5063520814397949
ACH-000437,0.8716436262045159
ACH-001416,-0.41362037615384145
ACH-001653,-1.0143237862601437
ACH-001835,-1.3927236504197122
ACH-001396,-0.3856665384573587
ACH-001430,0.031258749442569796
ACH-001677,0.16503457184758594
ACH-001232,-0.36511972679655064
ACH-001712,0.2515677551857753
ACH-000716,0.219750730630926
ACH-001751,-0.6451570542743607
ACH-001555,-1.812025544216338
ACH-001818,0.3663426646654869
ACH-000502,-1.6398641371641116
ACH-001540,-0.2775585460158023
ACH-001607,0.8612513170145661
ACH-000677,0.7717397741417992
ACH-001414,0.018671531929252437
ACH-000469,0.7787909837463609
ACH-001031,0.6344148391312544
ACH-001057,0.4280110167191383
ACH-000206,0.650197812675548
ACH-001134,0.17039864115662814
ACH-001391,0.17706653576709566
ACH-001407,0.153392674733433
ACH-000991,0.8657406214221253
ACH-001993,0.30310112940925915
ACH-001736,0.21670422606433398
ACH-001841,-1.3520433457198777
ACH-002011,-0.44939514206597186
ACH-001041,1.730192140714498
ACH-001628,-0.9187467836386617
ACH-001433,0.2859591497114823
ACH-001061,0.8003891720200323
ACH-001328,-1.6384980491357555
ACH-001344,-0.17524745283290485
ACH-001530,-0.6425070780987467
ACH-001128,0.7536741755968903
ACH-001335,0.5225310396515891
ACH-000567,-0.07398652072198492
ACH-001301,0.3016690753360234
ACH-001016,-0.5702596748130626
ACH-001030,0.23946866470544723
ACH-000597,0.7849629375614776
ACH-001857,-0.2717872772619694
ACH-001402,0.49765307137717674
ACH-001459,0.7130346507829598
ACH-001557,-1.2520073146102713
ACH-001278,0.5839051812142093
ACH-001856,-0.26012147704985134
ACH-001484,0.22644996635248774
ACH-001510,-1.0457978451991299
ACH-000143,0.9120118338502665
ACH-001650,-0.2944954144601894
ACH-001067,0.4777189627709489
ACH-001322,0.8919751321909357
ACH-000484,0.23747761609085163
ACH-000516,-0.19015615704456215
ACH-001302,0.5620721848969467
ACH-001106,0.8312741546828225
ACH-001461,0.5916464716062353
ACH-001275,-1.7598169870338218
ACH-000726,-1.9250187135137113
ACH-001277,-0.16846398480449662
ACH-001517,0.28985014109371326
ACH-000949,0.515045731114954
ACH-001279,0.3194684371772641
ACH-001645,0.21120252748623405
ACH-001624,-0.29173936036210046
ACH-001568,0.13863968970013374
ACH-001303,0.26341811812489085
ACH-001750,0.08641486621183195
ACH-000439,0.8760178427625612
ACH-002016,1.2607294919967136
ACH-001283,0.1554851755497209
ACH-002001,0.6067880665606907
ACH-001270,-0.5134966586816632
ACH-001183,-1.925887110821748
ACH-001765,-0.6352778585348271
ACH-001336,-1.3495012708012708
ACH-002005,0.80763513551224
ACH-001458,0.2722478070039823
ACH-000917,-0.39441053558532024
ACH-001651,-1.6599738583606316
ACH-001846,-0.001835983845668267
ACH-002003,0.574814889496876
ACH-000489,-0.7934157530702369
ACH-001559,0.16764182468934968
ACH-001280,-0.17415454805750696
ACH-001556,-1.0574280819902895
ACH-000002,0.8382952867232736
ACH-001132,0.45945261472678733
ACH-002044,-0.16683396180016438
ACH-001525,-0.9682369245620329
ACH-001034,0.6653097695153262
ACH-000230,0.03182817216537451
ACH-001715,-0.5400199523639508
ACH-000197,-0.33387320696656386
ACH-001521,-1.6376960192092198
ACH-001451,-1.940991496311757
ACH-001098,1.152285645445526
ACH-000095,0.5953994045232004
ACH-000649,-0.5921372702370761
ACH-001802,-0.5623238257862321
ACH-001554,-0.10737561252476448
ACH-000970,0.5222526377953866
ACH-001494,-0.22573948210270364
ACH-001538,0.187521178366443
ACH-000626,0.48910814665264707
ACH-000125,0.46022146548806353
ACH-001109,0.5379851425703824
ACH-001111,0.2304382988733647
ACH-000271,0.5847910005716459
ACH-001289,0.36580004378774433
ACH-001670,-0.816037902796553
ACH-001567,-0.4160272587556427
ACH-001536,0.5352247493753697
ACH-000765,0.6557323457997399
ACH-001368,0.8400791074994043
ACH-001038,0.04150236758683876
ACH-000468,0.6479105933699599
ACH-001380,-1.149486191682693
