,feature,corr,p-value,q-value
PDXP,PDXP,0.40550461713501906,6.0831587832368105e-37,1.592870960843447e-34
MTFR1L,MTFR1L,0.3914814429142982,2.4555720170596833e-34,4.6473523867421633e-32
PRR3,PRR3,0.3858098139272464,2.564553005630502e-33,4.189865872019406e-31
SRM,SRM,0.3792746863194356,3.617852447513264e-32,5.279026682001224e-30
RBM10,RBM10,0.3745652408540562,2.3480914712975744e-31,3.138725068101618e-29
ELP6,ELP6,0.37294544165069293,4.4362271310707656e-31,5.848171145546047e-29
RPA2,RPA2,0.3719937548926844,6.436036078936035e-31,8.312488489787993e-29
ATP8B2,ATP8B2,0.37065004560306547,1.0861121305631219e-30,1.3394215081105855e-28
SMAP2,SMAP2,0.36939520747697374,1.7665803261060703e-30,2.1508396772941105e-28
AP1M1,AP1M1,0.3654018466157735,8.189441021357292e-30,9.430190670074978e-28
TERF2IP,TERF2IP,0.3646554378648138,1.0882327637354909e-29,1.2381886475478517e-27
RBBP4,RBBP4,0.36437737601933073,1.2095789345803994e-29,1.3681125050002564e-27
LIX1L,LIX1L,0.3594587314230674,7.715074807806192e-29,8.014872551696486e-27
PLEKHO1,PLEKHO1,0.3588681902586884,9.616384747426054e-29,9.829796494494601e-27
SUGP2,SUGP2,0.3553525784173116,3.5351768950635657e-28,3.3124954092715713e-26
SAP30,SAP30,0.3526311857035487,9.576826088737928e-28,8.71719193743931e-26
FAM216A,FAM216A,0.3522526220160087,1.099244206832222e-27,9.958318963790483e-26
C4orf46,C4orf46,0.35014465558793084,2.36046469109286e-27,2.079275694481107e-25
SOBP,SOBP,0.3477715940648148,5.5416009642940174e-27,4.728915287164292e-25
SSBP4,SSBP4,0.34771369387186657,5.657685154245746e-27,4.785250076256966e-25
SOX12,SOX12,0.34692205649751995,7.508445742103245e-27,6.240171320013197e-25
ST3GAL2,ST3GAL2,0.3465320672175388,8.629213969218774e-27,7.140581169766965e-25
ARMC6,ARMC6,0.346508340979808,8.702507377628093e-27,7.170190884627629e-25
PPP1R8,PPP1R8,0.3448920891309596,1.5456854794062765e-26,1.2466572969979315e-24
ZNF689,ZNF689,0.34469827498858685,1.6555382636008912e-26,1.3240842639636416e-24
MYO9B,MYO9B,0.3437076599415442,2.3497239095328552e-26,1.855990600442997e-24
