,count
KRAS,8
FZD5,7
ID1,6
WLS,5
HNF1B,5
PEX6,4
CDH1,4
GRK2,4
BCAP31,4
HSD17B4,4
DOCK5,4
TNS3,4
PPP2CA,4
TUBB4B,3
LDHA,3
PTP4A2,3
PPARG,3
ITGA3,3
TCF7L2,3
SOX9,3
PORCN,3
TMED10,3
WNT7B,3
CLEC2B,2
TP73,2
RETREG3,2
RRAGC,2
RPL28,2
PAK1IP1,2
LRP6,2
TOMM6,2
RTEL1,2
CEPT1,2
AMPD2,2
VASP,2
BAMBI,2
HSCB,2
RAF1,2
PELO,2
ZEB1,2
SOX7,2
ELMOD2,2
PRR13,2
POLR2M,2
ELMO2,2
SKP1,2
TRIM11,2
PDE4D,2
TEF,2
PEX3,2
FKBP3,2
CTNNB1,2
TIPARP,2
ZNF729,2
CTNNA1,2
DHRS7B,2
MYRF,2
ELMO3,2
TRPM7,2
KLF3,2
DNAI7,2
TYMS,2
ITGB5,2
DENND4C,2
VPS4A,2
PEX5,2
PEX26,2
MYBL1,2
PLEK2,2
AGR2,2
ASH2L,2
ABCD1,2
INTS10,2
UROD,2
ARID1B,2
ACOX1,2
PEX2,2
GALNT11,2
HNF1A,2
FITM2,2
LRP5,2
EDF1,2
DNAAF5,2
HNF4A,2
SSPN,2
TBKBP1,1
CDRT15,1
TRPV2,1
WNT3,1
HOXB1,1
NSMCE1,1
ZNF287,1
MAD2L1BP,1
SLC7A4,1
WDR48,1
THG1L,1
LAS1L,1
ECHS1,1
DNMT1,1
DRC3,1
MPPE1,1
E2F1,1
ASPSCR1,1
NT5M,1
NRF1,1
USP27X,1
CASTOR1,1
ALG14,1
SMARCA2,1
WDR73,1
CCDC157,1
SEC14L6,1
TELO2,1
GNG2,1
FOXRED2,1
APOL1,1
EVPLL,1
GRK3,1
CYTH4,1
TAB1,1
TPST2,1
FAM104B,1
NAT8,1
KSR1,1
ZNRF3,1
SYN3,1
N4BP2L1,1
NANOS2,1
KCNA3,1
BCAR3,1
ATP8B1,1
TM2D1,1
CSMD2,1
EML1,1
ZNF362,1
GJA4,1
DLGAP3,1
RAB3B,1
MYL9,1
DMRTA2,1
MCM10,1
ITGA7,1
RAX2,1
FGF19,1
KCNK7,1
ARHGEF16,1
IMP3,1
TMEM61,1
CREBBP,1
PLRG1,1
GPR182,1
ARID3C,1
TBC1D22B,1
BSCL2,1
RAB11FIP3,1
CMYA5,1
TAF1L,1
ADORA2A,1
TMEM101,1
SERPINF1,1
TRA2A,1
PITX1,1
L1CAM,1
TMEM190,1
ZNF277,1
ZFP37,1
CHST6,1
ZNF530,1
SLC25A3,1
P2RY6,1
SMC5,1
SKIL,1
MISP,1
CALCOCO1,1
ZNF429,1
LYSMD3,1
CXCL11,1
IL3,1
CSNK2A1,1
CD47,1
MCMDC2,1
ZNF846,1
KRTAP4-5,1
LYRM7,1
ZFP36,1
NFYA,1
MRGPRF,1
SCGB2A2,1
NDE1,1
FIG4,1
GRAMD2A,1
AMMECR1,1
CATSPERG,1
PRAP1,1
MIA,1
COQ8B,1
FUBP1,1
MAP3K10,1
ACP7,1
PLEKHG2,1
ITPKC,1
LGALS16,1
EGLN2,1
RINL,1
DLL3,1
ACTMAP,1
PDCD7,1
NR1H2,1
CXCR4,1
LPCAT4,1
H2BW1,1
PAAF1,1
MRGPRD,1
NGRN,1
HNRNPK,1
WDR83,1
COX14,1
USP54,1
CRB3,1
USP25,1
RASSF8,1
CFAP97D1,1
TMUB2,1
SRC,1
COQ6,1
HAP1,1
EIF2D,1
SPAG7,1
MDP1,1
TRIM29,1
ITPRID2,1
MGAT3,1
CWF19L1,1
CHTOP,1
NRXN2,1
TOP1MT,1
CHRM1,1
DNAJB13,1
SLC25A45,1
PSMG2,1
TIGD3,1
UCP3,1
FCHSD2,1
FLRT1,1
TMEM262,1
C2CD3,1
CPT1A,1
RELT,1
CYLD,1
NPEPPS,1
CLASRP,1
TENT2,1
FRA10AC1,1
UBA5,1
ZNF878,1
NSUN4,1
ZFP2,1
H2BC9,1
MED6,1
BMX,1
S100P,1
MBOAT2,1
EFTUD2,1
MAP4K3,1
PSMD12,1
COPS3,1
FOSL1,1
MED18,1
SRSF1,1
YES1,1
MRS2,1
ADAR,1
OPA3,1
TDGF1,1
MTX2,1
AADACL2,1
GRK5,1
HAX1,1
PPP4C,1
KLHL12,1
DNM1L,1
HK1,1
AFG3L2,1
KCTD5,1
RMDN3,1
AP2B1,1
DNAJC11,1
TMEM11,1
ATAD3B,1
PABPC4,1
P2RY2,1
PAIP1,1
RAD54L,1
ALDH18A1,1
JAGN1,1
GIMAP1,1
PTRH1,1
FEM1C,1
MBTPS2,1
SLC24A2,1
TMEM131,1
NFIA,1
KCNJ2,1
CYP11B1,1
GATA4,1
NEIL2,1
SLC35G5,1
PLPP5,1
METTL15,1
HAUS6,1
IFNK,1
BLK,1
CTSB,1
CNTLN,1
MLLT3,1
MTMR9,1
TACC1,1
BNC2,1
AP3M2,1
LETM2,1
ZMAT4,1
SLC7A5,1
C9orf72,1
PSMD2,1
PDPK1,1
ATP6V1H,1
TAC1,1
SLC1A5,1
POLA2,1
URI1,1
TMEM130,1
RXFP2,1
FERMT1,1
GLS,1
CTNND1,1
UXS1,1
RAB10,1
RNF121,1
MAP3K2,1
EIF2AK1,1
TTI2,1
CDH3,1
RPL14,1
MARK2,1
RRAGA,1
ARHGAP10,1
DHX29,1
FOXA2,1
MED25,1
ESRP1,1
IDH3A,1
LSM10,1
TDG,1
WDR18,1
DHPS,1
SIVA1,1
PGS1,1
SAE1,1
TRMT6,1
WNT3A,1
APOA1,1
ACTR5,1
STAMBP,1
ABI1,1
RASSF2,1
COL14A1,1
VPS4B,1
CHMP1A,1
PSENEN,1
DNAJC21,1
DDRGK1,1
MECR,1
FIS1,1
TIPIN,1
PRKRA,1
NUP98,1
UFM1,1
SPACDR,1
NUP62,1
HSBP1,1
DIAPH3,1
PINX1,1
GMFG,1
FIGNL1,1
MCPH1,1
IRF2,1
KLF6,1
CPEB1,1
GSDME,1
PCDHGB2,1
SARDH,1
GRM6,1
GHRHR,1
DGKZ,1
FGF14,1
TP63,1
C1orf112,1
VRK2,1
RAPGEFL1,1
DBF4,1
CAPRIN1,1
ERBB2,1
TSR3,1
PPME1,1
ADCYAP1R1,1
KLC4,1
AVP,1
GRHL2,1
RCL1,1
DIS3,1
CXCL10,1
TMEM168,1
DUSP5,1
NOP10,1
POLR2D,1
HPCAL4,1
RLF,1
SEM1,1
SRSF6,1
MAPK1,1
CHD1,1
ARFRP1,1
PANK4,1
TTC34,1
ST8SIA5,1
TTC9B,1
GOLGA2,1
SPTBN4,1
SKA3,1
SGCA,1
EPX,1
CHST8,1
STT3A,1
BUB1B,1
NSA2,1
MYH9,1
HSPA13,1
CRKL,1
MPI,1
DDX5,1
RALGPS2,1
PSMD13,1
POMP,1
HAUS4,1
WDR1,1
NRBP1,1
RACGAP1,1
NKTR,1
NKAPD1,1
LSM7,1
TICRR,1
ETS1,1
MMEL1,1
DLK2,1
CYRIB,1
PLCH2,1
ACTRT2,1
FLII,1
URM1,1
POLH,1
SMAD2,1
VIPR1,1
FECH,1
SLC7A2,1
CISD2,1
NEUROD4,1
INSL4,1
VPS36,1
MTR,1
TRIO,1
COL5A2,1
PLEKHH2,1
ZNF250,1
FAM169A,1
SYNJ2BP,1
C4orf33,1
ZNF358,1
BANK1,1
TEX11,1
RBM44,1
GPR63,1
DYNC1LI2,1
GREM2,1
MYH8,1
USP32,1
H2AC25,1
ANO5,1
CUL4B,1
HOXB9,1
DCD,1
FAM136A,1
IL17RB,1
BMAL2,1
BHLHE41,1
CRK,1
OTULIN,1
EAF1,1
WWTR1,1
CCDC184,1
GNAI2,1
USPL1,1
FRMD4A,1
ITGAV,1
EDAR,1
DNAJC14,1
PRPF38A,1
FNDC3B,1
KRT4,1
TULP4,1
HOXD11,1
LMNTD1,1
PRICKLE4,1
FRS3,1
USP49,1
SSBP4,1
RARG,1
PEX19,1
COLQ,1
DMAP1,1
CD86,1
SLC4A7,1
LDB1,1
UPK2,1
PEX13,1
AS3MT,1
TMEM41A,1
BRD2,1
NINJ2,1
USP18,1
F2R,1
KCNA5,1
MFF,1
LHX1,1
ATP6V1A,1
VNN1,1
GAL3ST2,1
PAPOLA,1
IPO13,1
NOA1,1
ADAM10,1
TUBGCP3,1
MKRN2,1
NFAT5,1
FOXL2,1
KLF5,1
ZNF304,1
RGS17,1
ATP6V0C,1
CYB5R2,1
UBE3D,1
ERBB3,1
IPO11,1
H3C3,1
GATA6,1
TSPAN9,1
ACBD5,1
NADK2,1
CELA3B,1
KNL1,1
ID2,1
CSNK2B,1
SBNO1,1
PFDN6,1
INTS15,1
SLC7A6OS,1
MED4,1
PSMC4,1
IK,1
PIH1D1,1
SUPT5H,1
ATP2A2,1
TSG101,1
EIF2A,1
GAK,1
ELOF1,1
TUT7,1
HELLS,1
ASNS,1
KNOP1,1
CCDC51,1
CACNA1C,1
ITFG2,1
TEAD4,1
EDC4,1
SEC11A,1
MAPK14,1
FCAR,1
GINM1,1
FBXL12,1
TNFAIP3,1
YARS1,1
ATOX1,1
FMC1,1
