,count
VAC14,4
SREBF1,4
PRKCI,4
TUBB4B,3
DOCK5,3
SQSTM1,3
CDH1,3
FBXL12,3
GAREM1,3
HNF1B,3
F11R,3
PCBD1,3
MAP2K1,2
GLS,2
IDH3A,2
SLC33A1,2
NFE2L2,2
PRIM1,2
SH3BGRL3,2
BRAF,2
SOX9,2
AAAS,2
AHCYL1,2
KHSRP,2
ATRN,2
PEX5,2
ELF3,2
FERMT1,2
CYP3A7,2
SLC39A10,2
MYL6,2
CCT5,2
MTRR,2
TP63,2
SRC,2
TGFBR1,2
CRB3,2
UXS1,2
ETS1,2
SPRING1,2
PPCDC,2
TGIF1,2
FAM83H,2
HNRNPA0,2
ANKS3,2
XPR1,2
TEAD1,2
PARD3,2
PMEPA1,2
RPL36AL,2
PPARG,2
BMAL2,2
LMNTD1,2
DNAI7,2
RBM5,2
TKT,2
BCAR3,2
DCPS,2
SLC39A6,2
LRRC47,2
ERBB2,2
TNS3,2
TP53BP2,2
PARD6B,2
ITGA3,2
ABI1,2
LDHA,2
ALDH18A1,2
FADD,2
SEC24C,1
MRPS31,1
NDUFAF5,1
NDUFS5,1
MRPS18B,1
ADIPOR1,1
FARS2,1
NDUFS7,1
AMER3,1
NDUFB9,1
MRPS12,1
PET100,1
GGNBP2,1
COX19,1
PAK2,1
VCPIP1,1
TNPO2,1
MRPS26,1
PTGS2,1
UBE2Z,1
GRM2,1
CFAP410,1
CABP5,1
ICAM3,1
FAM221B,1
SLC7A4,1
AIFM3,1
PRSS55,1
RTN4R,1
NDUFB7,1
IL27,1
RNF115,1
FZD10,1
VPREB1,1
H4C16,1
MAPK7,1
MFAP3,1
TAX1BP3,1
IRF6,1
PIAS1,1
BTBD1,1
PEDS1,1
MAP2K5,1
TGFBR3,1
RNF149,1
FAR1,1
MIDN,1
TRIP4,1
TGFBR2,1
FBXL18,1
PDE1B,1
CRK,1
CXCL2,1
RNF121,1
CYP2U1,1
MAGEB17,1
SELENOI,1
MECOM,1
BMAL1,1
MARK3,1
BLTP1,1
MPI,1
ASNS,1
CENPT,1
PIF1,1
CCDC96,1
NIBAN2,1
TRAPPC14,1
FCHO2,1
SGO2,1
TAF1A,1
CABIN1,1
TFDP1,1
PSEN1,1
MAP2K7,1
PIP4K2A,1
ZNF280A,1
RHNO1,1
CRTC2,1
FITM2,1
C6orf226,1
RAB11A,1
DIO3,1
DEGS1,1
CXCL1,1
CRIP1,1
GRK2,1
KRAS,1
GLMN,1
NPEPPS,1
EPS8L2,1
ID1,1
SIMC1,1
LZTS3,1
DDX51,1
XRCC1,1
DYSF,1
RIPOR3,1
OSER1,1
AURKA,1
CSTF2T,1
GYG2,1
ETV5,1
ARHGDIA,1
GPR31,1
ISG15,1
GPM6B,1
DIAPH1,1
MACROH2A1,1
DPPA5,1
BCAP31,1
RPS21,1
YAF2,1
JUP,1
TPM3,1
C1orf112,1
ATM,1
CTSW,1
FARSA,1
FIG4,1
CLPB,1
EXOC1,1
GART,1
POLQ,1
CHCHD3,1
LIPT1,1
MTHFD1,1
TNFAIP3,1
CCDC25,1
G6PD,1
HTRA2,1
CCSAP,1
PRDM16,1
SURF2,1
NTRK1,1
MCTS1,1
FLOT1,1
FLOT2,1
PAFAH1B2,1
CENPP,1
KCNE2,1
DCP2,1
GPR151,1
APEX2,1
TOPBP1,1
BUD23,1
NBN,1
USP14,1
CENPQ,1
TRIM34,1
TEX30,1
CIP2A,1
LOXL2,1
MTX2,1
PGBD1,1
AP2B1,1
TPK1,1
SPOCK3,1
MICU3,1
TXLNB,1
NLRP1,1
HPGD,1
BEX3,1
ISLR,1
ARRDC4,1
PPP1R14C,1
OSTM1,1
STX7,1
GPRC5C,1
DMTN,1
PLEKHA3,1
ZNF703,1
PLAT,1
SPSB1,1
MICU2,1
USP38,1
TMEM154,1
PLPP5,1
REX1BD,1
LETM2,1
TMEM270,1
AP3M2,1
ERLIN2,1
PLPBP,1
DYNLT2B,1
DAZAP2,1
MPND,1
NKX6-3,1
PSMD10,1
RXRA,1
RARG,1
DLGAP1,1
CHAC1,1
ESRP2,1
RNF113A,1
PRSS8,1
H2AC21,1
SUCO,1
MYH11,1
ATP6AP1,1
ZNF319,1
BARHL2,1
FOXA1,1
PGLYRP1,1
BMERB1,1
SLC25A32,1
RAD51D,1
ALG10,1
IRAG2,1
SHMT2,1
PDXK,1
ATIC,1
PDCD6,1
BCAT1,1
XYLT2,1
SETDB2,1
AMD1,1
PFAS,1
RAD51B,1
TDG,1
FOXC2,1
GAB1,1
SGO1,1
ASH1L,1
FSTL3,1
GFPT1,1
MECP2,1
FNDC3B,1
RFX2,1
IQCG,1
ALG5,1
CCDC183,1
SAMD11,1
MOGAT3,1
PYCARD,1
RNF168,1
MAP2K3,1
PDCD2L,1
TMEM201,1
PRKCE,1
PRMT3,1
KLF6,1
ACSL3,1
PDE4D,1
RAF1,1
ZNF786,1
MTOR,1
MORC2,1
SIM2,1
GPATCH1,1
LRRC8C,1
ZBTB7A,1
RAB35,1
NEDD4L,1
RCE1,1
ATF6B,1
BTRC,1
VSIR,1
COQ9,1
STARD5,1
NABP1,1
HLTF,1
ATL3,1
LAG3,1
SERHL2,1
SEC11C,1
FBL,1
AMPH,1
PDS5B,1
GANAB,1
ZEB1,1
NEK1,1
ASF1A,1
B3GNT2,1
CTNND1,1
GLIS3,1
ZNF526,1
CYB5B,1
EIPR1,1
PIK3C3,1
VPS52,1
PWWP3A,1
HNF1A,1
TSPAN13,1
KCNK5,1
SOX3,1
SIK1,1
ZBTB4,1
HKDC1,1
TLE1,1
RXFP3,1
RHPN2,1
C1orf174,1
RAB1A,1
CABP2,1
CFLAR,1
KPNA2,1
DPF1,1
C9orf72,1
ATOX1,1
HSPA4,1
TJP1,1
HERC4,1
MOK,1
ATP7A,1
BAG6,1
EHF,1
SLC25A20,1
CNOT9,1
SEMA4B,1
DGKD,1
ZNF205,1
AKAP13,1
MBTD1,1
DUSP1,1
PIGM,1
ROGDI,1
TTC4,1
HCST,1
NKD2,1
WRAP73,1
PLEKHG1,1
CASTOR2,1
COG5,1
SLC12A7,1
SBSN,1
XIAP,1
APP,1
CNN1,1
KCNH1,1
CXXC1,1
MMADHC,1
NFE2L1,1
CORO1C,1
KCNN3,1
LENEP,1
MGRN1,1
NUP188,1
POP4,1
PSMD1,1
CXCL12,1
C3orf38,1
CLPTM1,1
SMC4,1
PA2G4,1
RPP14,1
SPACDR,1
SENP2,1
ACTG2,1
RAB42,1
HNRNPUL1,1
PTPMT1,1
PEX11B,1
SNX17,1
EGFR,1
LRRC20,1
KIDINS220,1
C19orf25,1
PPP2R5E,1
NOTCH2,1
LUC7L,1
BICC1,1
LLGL2,1
SRSF6,1
PLA2G12B,1
ERP44,1
PPCS,1
NUP54,1
ONECUT2,1
ATP8B1,1
USP36,1
RAD54L,1
NR5A1,1
COPS7A,1
TIA1,1
VPS4B,1
ANXA7,1
MRPL13,1
LRIT1,1
AGTPBP1,1
SHC1,1
FCRL2,1
GPR15LG,1
YLPM1,1
GPR101,1
YIF1B,1
C1orf141,1
SPAG17,1
ICE1,1
SMARCC1,1
DYDC2,1
MAPK1,1
TLN1,1
MRPL10,1
RMND5A,1
SIX3,1
MED10,1
ARHGEF7,1
LRRC32,1
NTHL1,1
CBLL1,1
ATF4,1
SPATA7,1
CHD7,1
GPR84,1
COQ7,1
WARS1,1
TEX264,1
CMTM5,1
RELB,1
ADAM30,1
IRAG1,1
DPF2,1
MYL11,1
CHCHD7,1
PREPL,1
LDAF1,1
DIRAS3,1
TBX6,1
AGTR1,1
FGFR2,1
RAB5C,1
KCNS1,1
FGF4,1
SLC11A2,1
PLA2G4F,1
EVC,1
MFSD5,1
OLFM2,1
DYNAP,1
WNT3,1
GPR153,1
GABBR2,1
MAMSTR,1
MYRF,1
PHKA2,1
GPX6,1
MRPL28,1
OTUD6A,1
TMPRSS11D,1
TMPRSS9,1
ARHGEF39,1
TRIM2,1
SEC14L3,1
TIFA,1
FKBP11,1
C1orf43,1
FAM81B,1
MRM3,1
BDKRB2,1
AGPAT2,1
FOSL2,1
LSS,1
BRAP,1
TLE3,1
CARD14,1
SLC3A2,1
MAPRE3,1
ACTG1,1
CCN4,1
MTRFR,1
KSR2,1
H4C2,1
ZNF638,1
ARID1B,1
EIF4E1B,1
DNAJA4,1
TIMM10B,1
UPF3A,1
ZC3H13,1
SLC5A8,1
PIP5K1A,1
KRTAP10-11,1
WASF2,1
HS6ST1,1
PRR30,1
MRPL14,1
HSBP1,1
PIGT,1
PIGU,1
LRRC37B,1
NLE1,1
KDF1,1
GRHL2,1
OSBPL9,1
CDK8,1
NPC1,1
GLB1L3,1
STXBP1,1
ERMP1,1
ZFP36L1,1
KCTD19,1
MARK2,1
ADAP2,1
YIPF6,1
SCYL1,1
PRUNE1,1
MYL12B,1
OSBPL11,1
SNAI2,1
ATPAF2,1
CADM1,1
MED7,1
MAN1A2,1
PITRM1,1
LCE1B,1
SLC6A19,1
PMM2,1
BARHL1,1
TVP23A,1
LRTM2,1
SCN11A,1
TMEM41A,1
INSRR,1
NUSAP1,1
DAO,1
SFTA2,1
SCN5A,1
DNAJA2,1
MTG1,1
LINGO4,1
SLC22A14,1
TNS4,1
PDE7A,1
NOC3L,1
C11orf52,1
LIN52,1
C1orf116,1
RPL7A,1
BAG5,1
HDAC1,1
JUNB,1
MED1,1
SLURP2,1
ADIPOQ,1
PRPS1,1
MTIF3,1
NLGN3,1
ARL4C,1
USP22,1
PPP1R16A,1
RBPMS,1
DIAPH3,1
SCRT1,1
RBBP7,1
SCLY,1
PHIP,1
MED23,1
COPRS,1
EFNA1,1
BRK1,1
HEATR9,1
IPPK,1
RNF224,1
RHPN1,1
CSMD3,1
XDH,1
MYH3,1
MAGEE1,1
SAV1,1
