,count
FAAP20,1
TNNI3,1
MYH7,1
PRKRA,1
TPTE2,1
HSF1,1
ARHGAP29,1
NFAT5,1
SSC4D,1
GALNT16,1
CTSK,1
CNMD,1
SLC23A3,1
TOPORS,1
TRHR,1
ARRDC3,1
GP6,1
DYNLT3,1
SQLE,1
CAMK4,1
THAP7,1
MMACHC,1
MMP8,1
IQGAP3,1
PGR,1
MMP27,1
RAB15,1
TMEM123,1
TRUB1,1
IFNA14,1
MSANTD4,1
CLPP,1
UGP2,1
ANGPTL5,1
WDR7,1
SHISA7,1
ABCD4,1
PGD,1
SLC4A7,1
KLHL21,1
DVL1,1
SDF4,1
ZNF524,1
PRKCZ,1
TSR3,1
ZNF581,1
H3-5,1
UAP1,1
PEX2,1
CUL4B,1
MTR,1
SREBF2,1
GABRD,1
MORN1,1
GRK6,1
GORASP2,1
PANK4,1
PLEKHG5,1
SMCHD1,1
USP20,1
MEGF6,1
SMARCA2,1
CLPX,1
CAMTA1,1
HES3,1
ATOSA,1
ARF1,1
