SNU308,SNU869,SNU1079,SNU478,SNU1196,HUCCT1,EGI1,KKU100,KKU213,NOZ,OCUG1,TFK1,ICC10,ICC10-6,ICC10-8,ICC12,ICC13-7,ECC3,ICC2,ECC4,ICC4,ICC8,ICC9,G415,HKGZCC,KMCH1,RBE,SG231,SSP25,TGBC1TKB,TGBC52TKB,TKKK,YSCCC,CCLP1,CCSW1,GB2,AOVC1,TGBC18TKB,CCC5
SETDB2 (83852),NDUFS5 (4725),KPNA2 (3838),FAM221B (392307),BMAL2 (56938),EHF (26298),RPL36AL (6166),HNRNPA0 (10949),HCST (10870),SLC25A32 (81034),FNDC3B (64778),GART (2618),CXCL12 (6387),FADD (8772),C1orf141 (400757),NTHL1 (4913),AGTR1 (185),TNFAIP3 (7128),TMPRSS9 (360200),BEX3 (27018),SLC3A2 (6520),SNX17 (9784),LRRC37B (114659),ACSL3 (2181),TNS4 (84951),LINGO4 (339398),RBPMS (11030),GALNT16 (57452),TGIF1 (7050),HLTF (6596),TGFBR3 (7049),CCNL2 (81669),NFAT5 (10725),MRM3 (55178),PA2G4 (5036),PIK3C3 (5289),CCDC96 (257236),DCPS (28960),ERLIN2 (11160)
MYH11 (4629),MRPS18B (28973),RHPN2 (85415),PTGS2 (5743),AURKA (6790),SPRING1 (79794),BCAP31 (10134),DIAPH1 (1729),PIGM (93183),CCT5 (22948),CCDC183 (84960),MTRR (4552),SH3BGRL3 (83442),LUC7L (55692),LRIT1 (26103),CBLL1 (79872),TBX6 (6911),DCP2 (167227),ARHGEF39 (84904),ISLR (3671),CCN4 (8840),NSDHL (50814),KDF1 (126695),RAF1 (5894),PMM2 (5373),GLB1L3 (112937),H3-5 (440093),CNMD (11061),MTR (4548),VSIR (64115),RNF149 (284996),GRK6 (2870),UAP1 (6675),MRPL28 (10573),NFE2L1 (4779),VPS52 (6293),SLC39A6 (25800),TRAPPC14 (55262),TMEM270 (135886)
ATP6AP1 (537),AMER3 (205147),PCBD1 (5092),NTRK1 (4914),RIPOR3 (140876),VAC14 (55697),LDHA (3939),CLTB (1212),APP (351),IDH3A (3419),C1orf174 (339448),CHCHD3 (54927),CLPTM1 (1209),NOTCH2 (4853),YIF1B (90522),SIX3 (6496),DIRAS3 (9077),KCNE2 (9992),TIFA (92610),ARRDC4 (91947),ACTG1 (71),ZC3H13 (23091),GRHL2 (79977),MTOR (2475),PITRM1 (10531),STXBP1 (6812),NPC1 (4864),TRHR (7201),PEX2 (5828),NABP1 (64859),UXS1 (80146),CAMTA1 (23261),CLPP (8192),CHCHD7 (79145),CXXC1 (30827),AHCYL1 (10768),MAP2K7 (5609),AKAP8 (10270),PPARG (5468)
ZNF319 (57567),NDUFS7 (374291),PRKCI (5584),SLC7A4 (6545),DYSF (8291),BAG6 (7917),C1orf116 (79098),MACROH2A1 (9555),XIAP (331),GFPT1 (2673),ASIC3 (9311),ITPK1 (3705),SENP2 (59343),BICC1 (80114),AGTPBP1 (23287),SPATA7 (55812),AHCYL1 (10768),TOPBP1 (11073),SEC14L3 (266629),STX7 (8417),KSR2 (283455),MSMO1 (6307),SLC6A19 (340024),MORC2 (22880),CDK8 (1024),SCN11A (11280),TSR3 (115939),KCTD19 (146212),UGP2 (7360),ATL3 (25923),BLTP1 (84162),PANK4 (55229),ELF3 (1999),CHD7 (55636),CASTOR2 (729438),PWWP3A (84939),PSEN1 (5663),FCHO2 (115548),TMEM154 (201799)
PGLYRP1 (8993),MRPS31 (10240),MOK (5891),RTN4R (65078),OSER1 (51526),F11R (50848),BCAR3 (8412),DPPA5 (340168),RBM5 (10181),AMD1 (262),SAMD11 (148398),LIPT1 (51601),SPACDR (402573),LLGL2 (3993),GPR15LG (387695),CCT5 (22948),KCNS1 (3787),DDX51 (317781),MAMSTR (284358),OSTM1 (28962),H4C2 (8366),CDH1 (999),IFNA14 (3448),MAP2K3 (5606),RBBP7 (5931),CIDEC (63924),NRIP1 (8204),RAB15 (376267),ANGPTL5 (253935),TKT (7086),BTBD1 (53339),USP20 (10868),GP6 (51206),PREPL (9581),TUBB4B (10383),DCPS (28960),MIDN (90007),TAF1A (9015),ELF3 (1999)
FBXL12 (54850),PET100 (100131801),ZNF205 (7755),GRM2 (2912),FAM83H (286077),SLC25A20 (788),PMEPA1 (56937),ID1 (3397),SBSN (374897),RAD51B (5890),NFE2L2 (4780),FARSA (2193),SMC4 (10051),LRRC20 (55222),CELF4 (56853),ATF4 (468),ACTL9 (284382),APEX2 (27301),C1orf43 (25912),DMTN (2039),HNF1B (6928),ACAT2 (39),LCE1B (353132),GPATCH1 (55094),MED23 (9439),SCRT1 (83482),ANKS3 (124401),TOPORS (10210),ABCD4 (5826),B3GALT5 (10317),FAR1 (84188),MEGF6 (1953),CTSK (1513),DPF2 (5977),PLEKHG1 (57480),KCNK5 (8645),FADD (8772),SGO2 (151246),PLPBP (11212)
TNP2 (7142),MRPS12 (6183),VAC14 (55697),KCNA2 (3737),C6orf226 (441150),SLC39A10 (57181),LIN52 (91750),SIMC1 (375484),COG5 (10466),RAD51D (5892),PRSS8 (5652),CCDC25 (55246),LENEP (55891),SRSF6 (6431),YLPM1 (56252),RMND5A (64795),ZNF3 (7551),NBN (4683),ZDHHC14 (79683),GPRC5C (55890),SLC33A1 (9197),F11R (50848),EFNA1 (1942),AP2B1 (163),MYL6 (4637),LRTM2 (654429),HNF1B (6928),PKIB (5570),WDR7 (23335),LAG3 (3902),TRIP4 (9325),GORASP2 (26003),GBA1 (2629),COQ7 (10229),WRAP73 (49856),CABP2 (51475),TAX1BP3 (30851),FAM83H (286077),NKX6-3 (157848)
FOXA1 (3169),NDUFB9 (4715),GLIS3 (169792),PRSS55 (203074),RAB11A (8766),PHACTR4 (65979),MARK2 (2011),LZTS3 (9762),CMTR2 (55783),PFAS (5198),ALG5 (29880),SQSTM1 (8878),ACTG2 (72),ERP44 (23071),FCRL2 (79368),SOX9 (6662),NMBR (4829),USP14 (9097),FKBP11 (51303),TRIM36 (55521),TLE3 (7090),SRC (6714),BRK1 (55845),LRRC8C (84230),FERMT1 (55612),CHRM5 (1133),RNF224 (643596),ARRDC3 (57561),PGD (5226),BTRC (8945),PDE1B (5153),CDH1 (999),KIR2DL3 (3804),SMARCC1 (6599),TP63 (8626),AVL9 (23080),TCF7L2 (6934),TUBB4B (10383),DYNLT2B (255758)
BARHL2 (343472),TEX264 (51368),DPF1 (8193),IL27 (246778),E2F8 (79733),CDH12 (1010),AP5S1 (55317),LOXL2 (4017),HNRNPA0 (10949),TDG (6996),ZNF786 (136051),MTHFD1 (4522),AAK1 (22848),NUP54 (53371),GPR101 (83550),WARS1 (7453),FGFR2 (2263),CAND1 (55832),FAM81B (153643),CACNB2 (783),ARID1B (57492),RPL36AL (6166),COPRS (55352),PDE4D (5144),TBC1D2 (55357),SLURP2 (432355),SSC4D (136853),CAMK4 (814),RRP1 (8568),ZNF623 (9831),ETS1 (2113),PLEKHG5 (57449),TNNI3 (7137),MRPL10 (124995),TTC4 (7268),SPRING1 (79794),CFAP410 (755),CABIN1 (23523),DAZAP2 (9802)
BMERB1 (89927),COX19 (90639),SOX3 (6658),RNF115 (27246),CRIP1 (1396),PARD3 (56288),RPL7A (6130),DGAT2L6 (347516),UNC45A (55898),FOXC2 (2303),PYCARD (29108),HTRA2 (27429),TBC1D10A (83874),PPCS (79717),SHC1 (6464),PRIM1 (5557),SLC12A5 (57468),CENPQ (55166),GABBR2 (9568),PLEKHA3 (65977),EIF4E1B (253314),RAD54L (8438),ADAP2 (55803),CDC40 (51362),MED1 (5469),TVP23A (780776),LRRC47 (57470),PPP3R2 (5535),SLC4A7 (9497),SERHL2 (253190),HSP90B1 (7184),GPR153 (387509),HSF1 (3297),MRPL13 (28998),ARF1 (375),GNPNAT1 (64841),ABI1 (10006),SPACDR (402573),WIF1 (11197)
