Gene,feature,corr,p-value,q-value
ETV5,ETV5,0.5892534687678319,0.00012446136877701793,0.2575118487236067
TWF2,TWF2,0.5496399943068838,0.0004257104263927384,0.5085220717091566
MMP11,MMP11,0.5257046007680137,0.0008334641631645437,0.5224034308406337
KDM8,KDM8,0.5121134889204699,0.0011946422922327216,0.5748872694243119
HEATR3,HEATR3,0.5063084755663535,0.0013869879112622693,0.5795628057774482
SLC25A38,SLC25A38,0.4972320564204926,0.0017425812006357456,0.5976283497472151
DLG4,DLG4,0.49597502199745497,0.001797663277210463,0.5976283497472151
COLGALT2,COLGALT2,0.49102348997583956,0.0020297978883222064,0.5976283497472151
SDC3,SDC3,0.48855500828229104,0.002155046420349711,0.5976283497472151
PABPN1,PABPN1,0.4829823300926915,0.0024629785326213995,0.5976283497472151
MAP3K12,MAP3K12,0.4744893503189555,0.003006280329487522,0.614016689126521
NTSR1,NTSR1,0.4680441164053839,0.0034856540402921532,0.648592455552709
TPP1,TPP1,0.4680320869780425,0.0034866075211027383,0.648592455552709
ITPKA,ITPKA,0.46697303201859075,0.00357144503681186,0.648592455552709
REP15,REP15,0.46309829083154264,0.0038973241130397895,0.648592455552709
ETV4,ETV4,0.4516849945195775,0.0050116873401786464,0.7096833294884688
KCNJ2,KCNJ2,0.4509463710268888,0.005092446452607739,0.7108020501980944
MYO5A,MYO5A,0.44884355316472674,0.005328549984334668,0.7231876884922944
KATNB1,KATNB1,0.448536852088527,0.005363763836217833,0.7231876884922944
BRD7,BRD7,0.4482002913752106,0.005402637005153267,0.7231876884922944
LILRA6,LILRA6,0.4458367013274636,0.005682548030401069,0.7231876884922944
FNDC10,FNDC10,0.4446673649256149,0.005825591239741948,0.7231876884922944
CITED1,CITED1,0.44450004689304917,0.005846310641269381,0.7231876884922944
PTMS,PTMS,0.440798970526298,0.0063211418532206414,0.7231876884922944
HLTF,HLTF,0.43945574921140845,0.006501491794271368,0.7231876884922944
APBA1,APBA1,0.43733907451838305,0.00679466854501762,0.7231876884922944
RPH3AL,RPH3AL,0.4362533066857904,0.0069494137715421156,0.7231876884922944
MOB3A,MOB3A,0.43445753135461057,0.007211993046709564,0.7231876884922944
WWTR1,WWTR1,0.43431918600278585,0.007232570473660506,0.7231876884922944
PTPRG,PTPRG,0.4338604972116441,0.007301156399017383,0.7231876884922944
TPSB2,TPSB2,0.43338590430002527,0.007372706873661292,0.7231876884922944
EIF3CL,EIF3CL,0.4333442176347849,0.007379020258599517,0.7231876884922944
TNFRSF10D,TNFRSF10D,0.43279161681996736,0.007463149918595746,0.7236369119964383
ABHD6,ABHD6,0.4323911460296378,0.007524631537816668,0.7236736717856458
ST3GAL2,ST3GAL2,0.4276914121926398,0.008279221312778588,0.7282928166542693
HAS2,HAS2,0.4274791726553515,0.008314773055599259,0.7282928166542693
HOXC6,HOXC6,0.4270478469901423,0.008387425842204223,0.7282928166542693
BORCS6,BORCS6,0.42678654675679945,0.00843170291935969,0.7282928166542693
CHRM4,CHRM4,0.42608315660349744,0.008551885988597506,0.7282928166542693
LAT,LAT,0.42562115697531927,0.008631618567754303,0.7282928166542693
THNSL1,THNSL1,0.4253129997849357,0.00868515321502046,0.7293035355196607
ITGA10,ITGA10,0.4233298244594358,0.009036514136669994,0.731468244464737
ORAI3,ORAI3,0.42327618726368793,0.009046183143663346,0.731468244464737
MAP1A,MAP1A,0.42072983381475776,0.00951548096712175,0.731468244464737
ETV1,ETV1,0.41978759021568446,0.00969432200018573,0.731468244464737
SPRY4,SPRY4,0.41941030958477643,0.009766729935561129,0.731468244464737
CHRM3,CHRM3,0.41933300996815465,0.00978162206129278,0.731468244464737
TANGO6,TANGO6,0.41839228558024927,0.009964412848632073,0.731468244464737
WDR72,WDR72,0.4183451607799072,0.009973645591834173,0.731468244464737
ZNF689,ZNF689,0.4175805399695394,0.010124472064803483,0.731468244464737
TRPV2,TRPV2,0.41626152381139675,0.010389221075421586,0.731468244464737
SOBP,SOBP,0.41294534806952127,0.011080978005112676,0.7349562977839457
ZFYVE28,ZFYVE28,0.4109781990976547,0.011509521318610456,0.7349562977839457
RTN2,RTN2,0.4105406129928296,0.011606737659307914,0.7349562977839457
ACTA2,ACTA2,0.4081676171056114,0.012146150372695121,0.7349562977839457
SLC20A1,SLC20A1,0.40757949940801697,0.012283073468523628,0.7349562977839457
DUSP6,DUSP6,0.4072184469297955,0.012367778089093057,0.7349562977839457
GNB3,GNB3,0.4047331744939163,0.0129643621701704,0.7349562977839457
ZFHX2,ZFHX2,0.4028997769855416,0.013419907040873577,0.7349562977839457
SEMA6B,SEMA6B,0.40111523151593387,0.013876229135888676,0.7349562977839457
DCLK1,DCLK1,0.3986252747173743,0.01453476480645664,0.7349562977839457
ANXA5,ANXA5,0.3984524532679828,0.014581433426363977,0.7349562977839457
SPRY2,SPRY2,0.39822593570921744,0.014642793320600492,0.7349562977839457
RBM20,RBM20,0.39810091334729747,0.014676752926791844,0.7349562977839457
RANGRF,RANGRF,0.3979821317319461,0.014709078829902487,0.7349562977839457
C3orf49,C3orf49,0.39791976067828283,0.014726076851244484,0.7349562977839457
ARL2BP,ARL2BP,0.396820867553213,0.015028284564825247,0.7387854176825857
MT-ATP8,MT-ATP8,0.3953178516900957,0.015450073882913001,0.7448302769509378
CPT1C,CPT1C,0.39472223555183894,0.015619954450966839,0.7448302769509378
TADA3,TADA3,0.39464172661978986,0.0156430371483278,0.7448302769509378
PSMB5,PSMB5,0.3944806970296416,0.015689291995572036,0.7448302769509378
MT-ND4L,MT-ND4L,0.3939922637035009,0.01583029591468375,0.7448302769509378
MICAL1,MICAL1,0.3930148716602202,0.0161156564391123,0.7509092700530465
AKNAD1,AKNAD1,0.3921297899045609,0.01637778349493101,0.7509092700530465
FKBP3,FKBP3,0.3919701184019082,0.016425451251177847,0.7509092700530465
LRRC6,LRRC6,0.390913800185326,0.016743744888035664,0.7600897265571792
BMP4,BMP4,0.390379958036399,0.016906563339193135,0.7600897265571792
KLRK1,KLRK1,0.39033726248997297,0.016919642383893367,0.7600897265571792
NES,NES,0.3900079320342071,0.017020812680169313,0.7600897265571792
HDAC2,HDAC2,0.3889806224517699,0.017339668534469468,0.7630219432092009
OSGEP,OSGEP,0.3881349841906603,0.017605881317139232,0.7639036516265304
