,count
SREBF1,4
VAC14,4
PRKCI,4
SQSTM1,3
DOCK5,3
F11R,3
TUBB4B,3
CDH1,3
HNF1B,3
FBXL12,3
PCBD1,3
GAREM1,2
MYL6,2
TNS3,2
SLC39A6,2
ANKS3,2
NFE2L2,2
MARK2,2
SOX9,2
TP53BP2,2
ABI1,2
ATRN,2
UXS1,2
GLS,2
ERBB2,2
FERMT1,2
MTRR,2
TEX264,2
PARD6B,2
CCT5,2
SLC33A1,2
TGFBR1,2
AAAS,2
BMAL2,2
PRIM1,2
KHSRP,2
LDHA,2
DCPS,2
MAP2K1,2
SPRING1,2
HNRNPA0,2
AHCYL1,2
FADD,2
LRRC47,2
XPR1,2
RBM5,2
ITGA3,2
SRC,2
TP63,2
ETS1,2
PARD3,2
CRB3,2
SPACDR,2
SLC39A10,2
ELF3,2
PPARG,2
RPL36AL,2
LMNTD1,2
FAM83H,2
DNAI7,2
SH3BGRL3,2
CHAC1,1
AMFR,1
RNF113A,1
SPSB1,1
USP38,1
MYH11,1
ZNF526,1
PDE7A,1
FOXA1,1
ATP6AP1,1
ZNF319,1
PGLYRP1,1
TNP2,1
BARHL2,1
BMERB1,1
TLE1,1
RARG,1
DLGAP1,1
PET100,1
SETDB2,1
UBE2Z,1
KPNA2,1
ADIPOR1,1
MFAP3,1
NDUFS5,1
MRPS18B,1
AMER3,1
NDUFS7,1
MRPS31,1
MRPS12,1
NDUFB9,1
COX19,1
SIK1,1
ZBTB4,1
HKDC1,1
ALKBH6,1
SEC24C,1
NDUFB7,1
C6orf226,1
IGLL5,1
RTN4R,1
FAM221B,1
MOK,1
ZNF205,1
GLIS3,1
DPF1,1
SOX3,1
H4C16,1
MRPS26,1
VPREB1,1
AIFM3,1
CTSW,1
CRTC2,1
CABP5,1
ZNF280A,1
CXCL2,1
ICAM3,1
SGO1,1
RHPN2,1
PTGS2,1
GRM2,1
PRICKLE4,1
KCNA2,1
PRSS55,1
IL27,1
RNF115,1
TNPO2,1
SURF2,1
PRDM16,1
CCSAP,1
NTRK1,1
LRRN4CL,1
TPM3,1
AURKA,1
RIPOR3,1
DYSF,1
OSER1,1
SLC7A4,1
NDUFAF5,1
RAD51B,1
RXFP3,1
CDH12,1
CTNND1,1
HERC4,1
ATP7A,1
EHF,1
SLC25A20,1
DEGS1,1
PHACTR4,1
FITM2,1
TJP1,1
GRK2,1
NPEPPS,1
KRAS,1
EPS8L2,1
CLTB,1
DPPA5,1
E2F8,1
HSPA4,1
ATOX1,1
IRAG2,1
ETV5,1
