Cell_line,ssGSEA
SNU869,1.0474103233933114
SNU478,0.4918060787645832
TGBC52TKB,0.998703415355342
AOVC1,1.0526491480741769
SNU245,1.0390639601501137
SNU1196,1.2459411481660654
EGI1,-0.0956755375493319
KKU100,0.9437103807339392
TFK1,0.11724765318248546
ECC3,-1.300165682910761
ECC4,0.30087268702290754
SNU308,1.9606183127623085
NOZ,1.3857160927432643
OCUG1,-0.8023141444678509
G415,1.4331575570327113
TGBC1TKB,-0.7801271573502866
GB2,0.3710536037102729
GB3,0.24325841687029492
SNU1079,-0.15303978365638254
HUH28,1.6572742164813117
HUCCT1,-0.4745187584276836
KKU055,1.7075851456078013
KKU213,0.8102394469320884
ICC10,-0.6787739464645671
ICC10-6,-1.2116815161725205
ICC10-8,-0.9175295054917452
ICC12,-0.02069144463419668
ICC13-7,-1.0839211478501392
ICC2,-0.9787422608300609
ICC4,-1.6901344674200323
ICC5,-1.6032962405950295
ICC6,0.6226890074418628
ICC8,-1.149179203973852
ICC9,0.4269299819309487
HKGZCC,-2.3296872924390106
KMCH1,-0.6259080554325585
OZ,0.7388519304762868
RBE,0.22783433766486597
SG231,0.20748677105632662
SSP25,-0.3744393611917413
TKKK,-0.726429616876522
YSCCC,-1.0404560319942893
CCLP1,0.39880121580219247
CCSW1,-1.1768141462023916
ICC18,1.7450747567319669
ICC11,-0.5537720452488089
ICC14,0.2533206985124653
ICC16,-1.2004865102438522
ICC17,-0.25943330859734604
ICC19,-0.39576903440207506
ICC20,-0.4868836291724024
ICC21,0.17561663972925048
ICC24,-1.3041165627126832
ICC25,-0.18930385410813047
ICC26,0.5929709025583398
ICC7,1.4074064175287686
