feature,stat,p-value,effect_size,q-value,in_group_mean,out_group_mean,GeneName
GMEB1,-4.851722960585704,1.2239351211219084e-06,-0.6602358681544619,0.007381603540737554,-1.2577049399234899,0.7524583182950408,GMEB1
SMC3,-4.513935641240583,6.3635535195023354e-06,-0.6142688362667897,0.009452844913367368,-1.0759673034509034,0.6561171168853747,SMC3
SMC1A,-4.4243734261366034,9.672259141943603e-06,-0.6020809625313376,0.009452844913367368,-1.407383630783253,0.6268590760604543,SMC1A
SMRC1,-4.3885485400950115,1.141096681961295e-05,-0.5972058130371567,0.009452844913367368,-1.4338598303929633,0.35116919769229404,SMARCC1
LATS1,-4.303314829119352,1.6826148341892722e-05,-0.5856069741052554,0.012671619351294483,-0.7992245221281228,0.6880112678814659,LATS1
Q5T1Z8,-3.9944747936375,6.483781853193936e-05,-0.5435791686011671,0.01475969086867793,-0.8757242738398963,0.9258026252743434,PUM1
RBM5,-3.9944747936375,6.483781853193936e-05,-0.5435791686011671,0.01475969086867793,-0.994669695795445,0.5012120084290272,RBM5
T2AG,-4.004492313771357,6.215081175335383e-05,-0.5449423804242787,0.01475969086867793,-0.9842624149622585,0.6209498228736996,GTF2A2
PABP2,-4.066124565720684,4.780139246463236e-05,-0.5533294675895288,0.01475969086867793,-1.4632228289573987,0.6764649532100386,PABPN1
EXOS6,-4.059604926204365,4.915581542402476e-05,-0.552442257027203,0.01475969086867793,-1.4918929657238302,0.517093095102401,EXOSC6
AT1B3,-4.119861894783072,3.790995578179177e-05,-0.5606421918308002,0.01475969086867793,-1.2328407891756723,0.6584019886174544,ATP1B3
ZC3HE,-4.137774337803868,3.506910226532978e-05,-0.5630797665778906,0.01475969086867793,-1.0663562206125323,0.5132902952187716,ZC3H14
VRK1,-4.137774337803868,3.506910226532978e-05,-0.5630797665778906,0.01475969086867793,-0.8207730007334447,0.9226884199041381,VRK1
ELP4,-4.116038060673066,3.8544068375108e-05,-0.5601218339179911,0.01475969086867793,-1.373941300026251,0.564931635329817,ELP4
SIVA,-3.9557740264262,7.628724666373345e-05,-0.5383126612499494,0.01564934138135864,-1.5308695864161697,0.5144844302112644,SIVA1
LLR1,-3.9407872210471635,8.121464280443956e-05,-0.536273215358114,0.01564934138135864,-1.1804779184580014,0.5976298779522148,LRR1
