,feature,corr,p-value,q-value
ZNF304,ZNF304,0.36835957791618024,3.7108961595766744e-29,7.5454888578059045e-28
TRAPPC2B,TRAPPC2B,0.2607903263686271,6.715274935294623e-15,7.447850382781309e-14
SLFN11,SLFN11,0.22715221799923463,1.4212642459361863e-11,1.1559615866947648e-10
USP49,USP49,0.1485497585645163,1.1626320792477975e-05,5.065754059579689e-05
ZNF586,ZNF586,0.141142417878294,3.1330126661717024e-05,0.00012329920815256376
VAV1,VAV1,0.13968663041431423,3.7853768976107134e-05,0.0001399442368207597
TTC37,TTC37,0.13945271813249507,3.901513548418077e-05,0.00013999548614911924
HIVEP3,HIVEP3,0.13539608662415772,6.539348271726928e-05,0.00022794299690019577
SFMBT2,SFMBT2,0.13285177166257797,8.975111797585447e-05,0.00028814832613300646
FAM117A,FAM117A,0.1208110697327971,0.0003722583579949863,0.0010813218970330554
CARMIL2,CARMIL2,0.11693247325135457,0.0005732952116888522,0.0015895912687736357
C21orf58,C21orf58,0.09816042618320721,0.0038755721035032297,0.008877995781573287
SEMA6B,SEMA6B,0.08723296873439979,0.010308824359851924,0.02240097413235368
CCND3,CCND3,0.08549644006951318,0.011935755181570291,0.025106243657785784
ZNF709,ZNF709,0.07599748292015569,0.025492425287808197,0.05025264036069303
APOE,APOE,0.07030772490951104,0.0388112943144783,0.07284581394409773
RAB7B,RAB7B,0.06299247138046477,0.0642054363324828,0.11868277625095304
USP14,USP14,0.06209487936259948,0.06810256871900093,0.12400766244355392
FAM227A,FAM227A,0.0616696897339576,0.0700152974627772,0.12561568074204146
POLG2,POLG2,0.058651390570040096,0.08489227185014796,0.1500993792133051
ACBD7,ACBD7,0.050065542542759425,0.14145018210245153,0.23967947522915398
CCDC114,CCDC114,0.042675270035978305,0.21015238421705726,0.33734987992738136
CFAP45,CFAP45,0.03918203775836788,0.24994357545740228,0.3909373872538856
SLC4A3,SLC4A3,0.03751221218798785,0.2707135947991807,0.41215152072335187
ZBTB46,ZBTB46,0.03745318257643286,0.27146883140870454,0.41215152072335187
FOXK2,FOXK2,0.03728398286473818,0.27364158343107786,0.41215152072335187
PCNT,PCNT,0.036468844242464715,0.284275102474584,0.422945884169503
AKNA,AKNA,0.029786131666257834,0.38186976003981454,0.5480954202924397
TUBB2B,TUBB2B,0.028207501850492277,0.4076182499463367,0.5782491452727102
SUB1,SUB1,0.027684777588715292,0.41636678581004544,0.5838706651589143
TAF8,TAF8,0.025955009591807274,0.44609448817407377,0.6030025935366546
LAT2,LAT2,0.025465381635335474,0.45472326725714934,0.6030025935366546
HOXB2,HOXB2,0.02494984316385386,0.4639092575852773,0.6085691336064928
FRS3,FRS3,0.024288045467800473,0.47585105471842604,0.6110929334278734
RIBC2,RIBC2,0.023435457461733172,0.4914803897151266,0.62458966192964
ZBTB20,ZBTB20,0.022296747210336944,0.5127765947645055,0.6383545363394865
MFSD4B,MFSD4B,0.021294293435166266,0.5319142512167576,0.6554902893782265
TNPO1,TNPO1,0.01976398844272094,0.5618095105604224,0.6842138799436471
LTB4R2,LTB4R2,0.01867082053244575,0.5836499829015923,0.6913135719805268
CAPS,CAPS,0.016077324132090603,0.6369830140462945,0.7401135972728375
TFEB,TFEB,0.011848385916968008,0.7280069084618754,0.8223781743736001
FAM207A,FAM207A,0.00989140780177166,0.7715614914378215,0.8557318359583111
PRRC1,PRRC1,0.009373786605066185,0.7832093879521009,0.860824732704111
DOC2A,DOC2A,0.008079858307778943,0.8125339078861101,0.8797520952058596
INTS2,INTS2,0.007110797413274989,0.8346715508082041,0.8839755666555954
ESD,ESD,0.005071905298914948,0.881657723700035,0.9193354042000366
CEP131,CEP131,0.0046413582517490365,0.891638876559003,0.92186392322202
BYSL,BYSL,0.0019246519099475915,0.954950560169323,0.9628427135591521
AP3B1,AP3B1,0.0012806572829629449,0.9700153779647549,0.9700153779647549
MORN1,MORN1,-0.0031505986000804516,0.9263210776485722,0.9417597622760484
KIAA1958,KIAA1958,-0.003245162072905929,0.9241162164664009,0.9417597622760484
CDK5R1,CDK5R1,-0.006856585634588989,0.8405013584594185,0.8839755666555954
