Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
TRPC1,2.240885146364323,2.153718022460195,4.791095243673804,2.6309305760313293e-05,0.037126019974543865,2.465052001001194
HABP4,1.7835635965198477,4.075457815078162,4.762849307839551,2.870166136037816e-05,0.037126019974543865,2.413796570760062
MEX3B,2.9966297672224695,0.46506927587113406,4.756250468981977,2.9290837249769906e-05,0.037126019974543865,2.1156544824054757
PSIP1,1.1614075409353033,6.320974550768754,4.9895603029994815,1.4240935137462834e-05,0.037126019974543865,3.0227331397895565
ABRAXAS1,1.121853349676273,3.3190231118461044,4.742722078987401,3.053632958725527e-05,0.037126019974543865,2.379540304036942
ZEB1,3.9167939096125375,2.261426836027508,4.486746712232706,6.685331083078877e-05,0.046872035987774785,1.6639961361346627
KATNAL1,2.1861335705081886,3.5565075178551138,4.498277236964296,6.454729271320452e-05,0.046872035987774785,1.6732399888615754
FGFR1,3.8848279898992812,3.511690530987467,4.560318864909168,5.3420224874865026e-05,0.046872035987774785,1.8415539882245486
DOCK1,1.242847113432508,6.001119361202387,4.5635607869423644,5.289386756753896e-05,0.046872035987774785,1.7776405452585902
ATP8B3,2.6193392970391276,1.8758039365208985,4.499539487341343,6.42996553803031e-05,0.046872035987774785,1.6699423370442075
RAB11FIP2,1.0501773036139612,4.510413676760084,4.406068822098327,8.541645054003239e-05,0.056559926332591444,1.3815391799835313
LRRC20,1.3040617142998583,4.528597157745491,4.336686280785843,0.00010536480671321368,0.06279215656073969,1.176641714896725
PARPBP,1.1331736296197028,3.9889891060708234,4.2690293236743155,0.00012919194383933895,0.07244452349839303,1.0240276126049341
PIP4K2A,1.150969057838945,5.072442838532638,4.106301422804107,0.0002102142553144541,0.07244452349839303,0.5006865724950877
TMX4,1.1131630163574142,5.7093275826448355,4.191932690531965,0.00016281123764360267,0.07244452349839303,0.7193416738624911
MYBL1,2.1944617643213626,4.142311746420766,4.079956977759973,0.00022733848114148855,0.07244452349839303,0.46194375721317105
STX2,1.7438420483138044,4.140756104562725,4.174601166607823,0.00017147366811810137,0.07244452349839303,0.736070224160521
F2R,3.303425936908234,4.35123945025228,4.107230460807617,0.00020963394978073947,0.07244452349839303,0.5239456642428957
PCBP4,1.1328506901933681,4.039678471343401,4.097234429869802,0.0002159607595311143,0.07244452349839303,0.5442939303321896
AP1S2,1.6356128907397283,4.403084826059815,4.035091220739461,0.00025968481497432917,0.07369484070664356,0.33168153350010865
INPP5F,1.2154705865457673,4.253830773676675,3.9619664284223632,0.00032225084997733824,0.08535350846399765,0.1507844803251368
TMPO,1.046718106525642,7.597468152666845,3.8649752051099666,0.0004282546173301899,0.09114940685640238,-0.2099392910372062
PPIP5K2,0.8948940112419157,5.5524580181348835,3.9086111696147094,0.0003769276263812794,0.09114940685640238,-0.06359528873688625
STARD8,2.904873311735651,0.6218380999190498,3.8751752439187297,0.0004156808501578623,0.09114940685640238,-0.04514122637443574
CRY1,0.8714340464906298,4.790987687597459,3.885840100321463,0.0004029176402982528,0.09114940685640238,-0.0858567971939177
KANK2,1.4890399706295483,5.4227608783597026,3.871548447693241,0.0004201100390263101,0.09114940685640238,-0.16795807782038263
APAF1,0.928654217092812,4.413554684511217,3.857769564556257,0.0004373588959627469,0.0914540470347365,-0.1344588174357897
ABI2,0.8418361814470616,6.147703468219799,3.847086254290622,0.00045120382856111366,0.09272238676930886,-0.24747713530333293
UHRF1BP1L,0.9712286166444812,4.6411384374746305,3.819930613959785,0.0004883376416884657,0.09360658505680454,-0.2586860393419661
AP1M1,1.2620833353218472,5.3211018443678215,3.816321041722577,0.0004934913759842563,0.09360658505680454,-0.31301025552284045
STMN3,2.4295344012737927,3.6976673022097555,3.805499178108859,0.0005092608358860037,0.09484187348320748,-0.26221356317611466
IKBIP,1.6893745191809977,4.982142278440186,3.792227693921198,0.0005292674926817303,0.09705137300420837,-0.36847477985631194
