feature,stat,p-value,effect_size,q-value,in_group_mean,out_group_mean,GeneName
DTNA,4.776679460322481,1.7821350895068937e-06,0.6500237412568336,0.007381603540737554,0.9457968986979399,-0.800493883991038,DTNA
AP3D1,4.549760527282175,5.3707001632460435e-06,0.6191439857609706,0.009452844913367368,1.1073595865745673,-1.0832857879301248,AP3D1
CNDP2,4.460198312178195,8.188384906961845e-06,0.6069561120255185,0.009452844913367368,1.2385619253951246,-0.4684905042052282,CNDP2
DCDC2,4.410897699847336,1.0294294743099166e-05,0.6002471484578868,0.009452844913367368,1.1471333878679304,-0.6969097878375679,DCDC2
SE1L3,4.3962550908164335,1.1013449569555595e-05,0.5982545417562879,0.009452844913367368,1.1332610884148742,-0.5886539483700269,SEL1L3
MAOM,4.3885485400950115,1.141096681961295e-05,0.5972058130371567,0.009452844913367368,0.913938591383434,-0.7115149824336995,ME2
RBGPR,4.281073881970236,1.859935903736562e-05,0.5825803645546141,0.012839757522128067,0.93178594555075,-0.8219036408810602,RAB3GAP2
PCDGE,3.990539050538861,6.592329335358322e-05,0.5430435818039256,0.01475969086867793,1.0501951156383271,-0.6531188217546819,PCDHGB2
ITAV,3.9944747936375,6.483781853193936e-05,0.5435791686011671,0.01475969086867793,1.0761112298219475,-0.3481683632218405,ITGAV
CADH2,4.000196073625764,6.32900230863322e-05,0.5443577361926584,0.01475969086867793,0.8288075117705096,-0.454547556377407,CDH2
CADH4,4.002082791080998,6.278731906213256e-05,0.5446144859178875,0.01475969086867793,0.4918698261984457,-0.8907129448497483,CDH4
PBIP1,4.019999024485298,5.81983824080011e-05,0.5470525764708399,0.01475969086867793,1.0509638577025846,-0.5681155483565126,PBXIP1
PDE6D,4.0247343281400205,5.703967263271023e-05,0.5476969696781292,0.01475969086867793,0.7091552731560525,-0.8144612784489502,PDE6D
CLAP1,4.048212122699888,5.161036216466014e-05,0.5508918928424384,0.01475969086867793,0.9097446793923201,-0.4003374067549932,CLASP1
CUED1,4.050489912525216,5.111051304113325e-05,0.5512018607765138,0.01475969086867793,0.9400886868082183,-1.4095771523128726,CUEDC1
NB5R1,4.08403700874148,4.425997714419974e-05,0.5557670423366193,0.01475969086867793,1.183320117218023,-0.6016157000866459,CYB5R1
TBC8B,4.099210827923431,4.1456127596299206e-05,0.5578319375835658,0.01475969086867793,0.7935961674664697,-0.6394998622589353,TBC1D8B
B5ME97,4.101949451762276,4.0968378585475514e-05,0.5582046170837097,0.01475969086867793,1.040010915190537,-0.578123212777178,SEPTIN10
ANGT,4.108574299573956,3.9810912990980696e-05,0.5591061446816102,0.01475969086867793,1.2229472788625337,-0.746076409098395,AGT
BICC1,4.158619680502032,3.201764678403744e-05,0.5659164584181103,0.01475969086867793,0.8437142879718852,-0.6004239150690923,BICC1
CLD2,4.158619680502032,3.201764678403744e-05,0.5659164584181103,0.01475969086867793,0.9188885017130137,-0.9448817163540871,CLDN2
