feature,p-value,effect_size,q-value
HNF1B,9.501279651036261e-05,-2.0103820968957105,0.07325486610948957
PCBD1,0.00033523610118313575,-1.801285195504931,0.09340185916822663
KPNA2,0.0005440565358778726,-1.7203356519258406,0.09340185916822663
ITGAV,0.0006045005300572828,-1.702650235934147,0.09340185916822663
AP1M1,0.0006057189310520534,-1.702311929235792,0.09340185916822663
CMTM5,0.0010705318101559957,-1.6061299547358936,0.13756333760504544
LRRC20,0.0025374061134300994,-1.4579254667509405,0.1809997553280079
UXS1,0.0025789486557096903,-1.4551007408835377,0.1809997553280079
NMNAT1,0.0025823570799067275,-1.4548709385470546,0.1809997553280079
PPP1R16A,0.0032053048739131263,-1.4171303245455906,0.19009923521438618
UGP2,0.0030847072535862556,-1.4238487523475751,0.19009923521438618
ZBTB18,0.004655134929684635,-1.3512422934983028,0.21153843550162674
RAB5C,0.004875380607209881,-1.3430103744924105,0.21153843550162674
DYDC2,0.008029879822174445,-1.2530305490166567,0.22265470940466867
MBTD1,0.005833782332489784,-1.3108922669198197,0.22265470940466867
SQSTM1,0.006012041889914798,-1.3054798548990842,0.22265470940466867
MGRN1,0.006736635525083446,-1.2849465501028001,0.22265470940466867
FOXA2,0.007187584893289259,-1.273203741088696,0.22265470940466867
CORO1C,0.007693662381977003,-1.2608308498099396,0.22265470940466867
ATRN,0.007787472589483233,-1.2586224460170155,0.22265470940466867
GLIS3,0.00798514493159128,-1.254050361519507,0.22265470940466867
C19orf25,0.008086033545176036,-1.251758012183514,0.22265470940466867
