Cell_line,Cluster,Subtype,RNA_Cluster,Protein_Cluster
KKU100,D1,ECC,R1,P3
OCUG1,D1,GBC,R1,P3
ECC4,D1,ECC,R1,P1
SNU308,D1,GBC,R4,P5
ICC2,D1,ICC,R4,P5
CCC5,D1,ECC,,
SNU1196,D2,ECC,R4,P5
SNU869,D2,AC,R4,P5
TGBC52TKB,D3,AC,R1,P3
SNU1079,D3,ICC,R3,P1
RBE,D3,ICC,R3,P1
NOZ,D3,GBC,R1,P1
G415,D3,GBC,R1,P1
CCLP1,D3,ICC,R1,P1
KMCH1,D3,ICC,R4,P2
SG231,D3,ICC,R2,P2
SNU478,D4,AC,R4,P5
ICC10-8,D4,ICC,R3,P4
SSP25,D4,ICC,R1,P1
ICC10,D4,ICC,R3,P4
GB2,D4,GBC,R4,P4
TGBC18TKB,D4,AC,,
TFK1,D4,ECC,R4,P3
ICC10-6,D4,ICC,R3,P4
ICC13-7,D4,ICC,R3,P3
ICC4,D4,ICC,R3,P3
TGBC1TKB,D4,GBC,R4,P2
AOVC1,D5,AC,R4,P5
HUCCT1,D5,ICC,R4,P5
TKKK,D5,ICC,R4,P3
ICC12,D5,ICC,R4,P5
ICC8,D5,ICC,R4,P4
EGI1,D5,ECC,R4,P3
ICC9,D5,ICC,R4,P5
YSCCC,D6,ICC,R4,P3
ECC3,D6,ECC,R4,P5
CCSW1,D6,ICC,R4,P5
HKGZCC,D6,ICC,R4,P5
KKU213,D6,ICC,R4,P5
