Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
CYP2J2,-5.30558991172021,0.7293383806121182,-6.417394410114156,1.6399249877693886e-07,0.001954626592922334,5.2449395488830435
CXCL16,-4.92564324342066,4.063729428497506,-4.7362702451984156,3.11486030493698e-05,0.037126019974543865,1.8930247204187287
NCOA7,-2.119083413236144,6.091582559694938,-4.830251218529679,2.331579678352931e-05,0.037126019974543865,2.623506673998108
HLA-B,-4.016244098358477,8.172714661415917,-4.940768697221319,1.6566197327461483e-05,0.037126019974543865,2.9219057159939616
ZMYND15,-3.882531230918338,-1.2116712638232567,-5.24770605490025,6.378403708924223e-06,0.037126019974543865,2.5570764122790903
HLA-C,-2.419048211897673,8.312942429459316,-4.594171384580787,4.8169204190833146e-05,0.046872035987774785,1.8700462792157397
CARD14,-4.141864266179207,0.11095323613330235,-4.536356791001192,5.7473984001046074e-05,0.046872035987774785,1.0764124216673467
PTK2B,-2.6051351526241016,4.229665719765048,-4.350999173298244,0.00010090675809648702,0.06279215656073969,1.1705215118126677
MAL2,-6.999947550378629,7.486426222799567,-4.249472277533455,0.00013701311236031098,0.07244452349839303,0.8991498606473325
EMC10,-1.2513030873724853,6.7260834410055255,-4.065872116507333,0.00023704475345560265,0.07244452349839303,0.3796868467619543
SLC3A2,-1.4336798538292488,8.666596578439902,-4.189725911268942,0.00016388995211577898,0.07244452349839303,0.6985877081269916
XBP1,-1.4347058844958092,7.109305528406417,-4.1248978387691135,0.00019889149132006873,0.07244452349839303,0.5361062012607052
HLA-A,-1.768731405911402,9.289674684649198,-4.162867527636538,0.0001775924213925119,0.07244452349839303,0.6243389672175637
FHAD1,-3.0650690012274615,-0.6061619285612335,-4.06869985222669,0.00023506418995993127,0.07244452349839303,0.022202338553086953
FBXO16,-3.142894271088559,0.915225432950392,-4.144550446441725,0.0001875732979268036,0.07244452349839303,0.24085056188005627
PSME2,-1.0228154049202196,7.181678653889144,-4.1020247662907146,0.00021290587775132664,0.07244452349839303,0.4619354076938551
ZNF630,-3.5997062247054017,-0.15030819959485486,-4.156163445732022,0.0001811836947837635,0.07244452349839303,0.23103098419760393
FAAH,-3.8862405976267405,1.7220310677970256,-4.185785345266211,0.00016583358794614337,0.07244452349839303,0.38697778603582744
CDCA7L,-3.949541353692293,5.156218687513952,-4.209583625346187,0.0001544295103387439,0.07244452349839303,0.8127330983667997
CARD6,-3.552114673479487,3.06647527945881,-4.081179064826564,0.0002265148311069308,0.07244452349839303,0.32348637220481713
EPSTI1,-6.940340619206989,2.051549056126816,-4.040178815012402,0.00025580251758883785,0.07369484070664356,0.056678150781369396
SLFN5,-5.289220495173531,5.887182603721595,-4.0362217932752635,0.00025881715171880375,0.07369484070664356,0.3497147847868245
CREG1,-2.5908548934297215,6.661565930270756,-4.023709914872417,0.00026857891662370923,0.0744463280753021,0.3342016949952784
ZHX2,-2.2321595806399115,4.235768150715263,-3.9968987800222466,0.0002907204584085743,0.07875220781299538,0.2998468561709515
SLC35A2,-1.0887939970008755,5.829621949173159,-3.8702201769288873,0.0004217436139430793,0.09114940685640238,-0.11308707265462292
TFRC,-1.1327748102283914,8.705037483465889,-3.869530699166254,0.00042259399875135806,0.09114940685640238,-0.19582552826136101
XK,-6.0391614329806576,1.6668530873940908,-3.912473183859234,0.0003726843679403713,0.09114940685640238,-0.2319193678820639
CLTRN,-4.288088084101793,0.7298426265064014,-3.9192992639902053,0.0003652977320153306,0.09114940685640238,-0.24735024408796313
ELOVL3,-3.018668458353192,-1.5115290397663104,-3.8686656907368726,0.00042366323359441243,0.09114940685640238,-0.42677860107256205
CLDN1,-3.335414527444919,6.930402512694516,-3.867905277849544,0.0004246053472701618,0.09114940685640238,-0.056984164009052485
LAMP3,-6.679406636327164,2.071326073081263,-3.81542819120512,0.0004947742980601297,0.09360658505680454,-0.43418334384978596
NPL,-4.240500201340309,1.1072605890339113,-3.820727369636088,0.00048720708858508775,0.09360658505680454,-0.45123286128113627
IFNGR1,-1.4358742840450205,6.243582265578409,-3.82640138309749,0.0004792290507686043,0.09360658505680454,-0.24327699293022853
