,D1,D2,D3,D4,D5+D6
p-value,,,,,
P1,0.7288,1.0,0.002,0.9214,1.0
P2,1.0,1.0,0.1092,0.65,1.0
P3,0.42,1.0,0.901,0.4928,0.5858
P4,1.0,1.0,1.0,0.0154,0.8634
P5,0.661,0.1016,0.8618,0.5868,0.007
q-value,,,,,
P1,1.0,1.0,0.05,1.0,1.0
P2,1.0,1.0,0.546,1.0,1.0
P3,1.0,1.0,1.0,1.0,1.0
P4,1.0,1.0,1.0,0.12833333333333335,1.0
P5,1.0,0.546,1.0,1.0,0.0875
