Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
ZNF304,-7.9700306101256615,3.3370944937066724,-6.0028901726211865,6.099245641826784e-07,0.0006453121409086839,2.892051086615406
HSBP1,-1.4712514827956342,7.151987104853831,-4.646471858075876,4.1393679377065884e-05,0.015417852015476508,2.095260249807928
PRRC1,-1.4247113909141937,6.388888357926583,-3.981177756521757,0.0003061916248392019,0.054470119051618617,0.25950134695604277
ZNF709,-6.782063565154493,-0.41002736811800544,-3.9338027404514984,0.0003519270207095609,0.058258585553295224,-0.8238350983944258
ESD,-1.649680924798914,6.709194069216811,-3.861352173427051,0.0004349776210561356,0.06482594860914599,-0.06501855549751046
COX4I1,-1.1242481424849853,8.230485011495919,-3.817502984739885,0.0004941790661948002,0.069326011000432,-0.20783071931195973
USP14,-1.5351515938852796,6.95339382611458,-3.7949846320277594,0.0005275469077250473,0.07145263174062316,-0.2517393593243229
RPAP3,-1.063633029637205,5.5312845973031095,-3.7496322685696897,0.0006015037453212118,0.07626939511152685,-0.3339443569672982
TTC37,-1.4341732188252294,6.442188771843298,-3.6982422202704317,0.0006974487738999763,0.08350097920729613,-0.4954833406945749
AP3B1,-1.3527216173523877,6.5519492228971385,-3.6925887350314412,0.0007088658230343228,0.08350097920729613,-0.5162417594104252
TNPO1,-1.8089706648200368,7.636329756402414,-3.6606521426327223,0.0007768312062725843,0.08780602566985089,-0.614035530271563
TRAPPC2B,-4.885647087033848,3.223266265132857,-3.610016931704573,0.0008976608282321938,0.09638936406936502,-1.2509167071736291
CAST,-1.6177766156466467,8.461930895744304,-3.6058663742712125,0.0009083318117751974,0.0965788981472506,-0.7666983549274784
SMIM15,-1.3126879559396372,6.581005226613888,-3.5950282052336964,0.0009367761156859692,0.09709073498140058,-0.7729772367815553
SUB1,-1.6205812013724659,7.660692565066419,-3.586975058234603,0.0009584650630162086,0.09848228522491544,-0.8092721297010268
ZNF586,-3.0022358205495356,2.583664665526704,-3.564081452322771,0.0010227972316451453,0.09985744319168413,-1.2057074313380394
