label
GEFITINIB
ERLOTINIB
AZD8931
XL-647
ICOTINIB
ZM-306416
BIBX-1382
WZ8040
VANDETANIB
GW-583340
OLMUTINIB
WZ-3146
AP26113
MUBRITINIB
BRIGATINIB
TYRPHOSTIN-AG-1478
BIBU-1361
PD-153035
HM781-36B
OSI-420
CANERTINIB
DACOMITINIB
AST-1306
POZIOTINIB
AFATINIB
OSIMERTINIB
LAPATINIB
ARRY-334543
PELITINIB
AEE788
AV-412
EGF816
BMS-690514
NERATINIB
PD-168393
BMS-599626
TYRPHOSTIN-AG-18
CNX-2006
