,mean,std
A1BG (1),-0.0455663123645395,0.10924706809470609
A1CF (29974),-0.0759574460938987,0.11387711160982981
A2M (2),0.04515169414407241,0.10247305048964582
A2ML1 (144568),0.03668474532972159,0.10231412644233506
A3GALT2 (127550),-0.07424371818116203,0.12620271297017346
A4GNT (51146),0.06466934443044148,0.1067212162536035
AAAS (8086),-0.14869368646188638,0.19868830471177107
AACS (65985),-0.015538108528889899,0.12413980269560852
AADAC (13),0.14096869413186128,0.11327500704613862
AADACL2 (344752),-0.053334576113251014,0.10455191028942677
AADACL3 (126767),0.03655040246658767,0.10797334374524081
AADACL4 (343066),-0.05585873939037626,0.10039463980362201
AADAT (51166),-0.02945376470415271,0.10714798230625296
AAGAB (79719),0.0005201766280548164,0.13266714353642103
AAK1 (22848),-0.09387512412770187,0.12389512758199027
AAMDC (28971),-0.013601287151876551,0.10981865696766425
AAMP (14),-1.0855065447722148,0.2880329966820328
AANAT (15),-0.049351117240209116,0.11811168141076735
AAR2 (25980),0.0014066471204044876,0.13019438005178996
AARD (441376),-0.11352715872908782,0.13139196973039569
AARS1 (16),-2.040443698939261,0.3535167019437312
AARS2 (57505),-0.3514549199993178,0.2933347918273324
AARSD1 (80755),-0.17723581367548444,0.12196520971766114
AASDH (132949),-0.1596206609824541,0.1155328822702168
AASDHPPT (60496),-0.3521337747071225,0.20791685370853374
AASS (10157),-0.03947146023894997,0.125690790120952
AATF (26574),-0.9165473455743092,0.21829567712598233
AATK (9625),-0.10475468593236592,0.13869015378530683
ABAT (18),-0.007442648565397878,0.12366839086433531
ABCA1 (19),0.0325188099235819,0.11351236487417364
ABCA10 (10349),-0.0010860390555587993,0.1358624494717811
ABCA12 (26154),-0.03055911578536025,0.13165247720455125
ABCA13 (154664),0.0942216463561927,0.1044932773331096
ABCA2 (20),0.040199472153447775,0.11223441399487945
ABCA3 (21),-0.038380693427725106,0.10717633212732071
ABCA4 (24),-0.21403642214454927,0.13276204729742702
ABCA5 (23461),-0.0005869524423136398,0.12466520290601311
ABCA6 (23460),-0.04172439084406759,0.14317486489089967
ABCA7 (10347),0.048264479909179286,0.11629190158560794
ABCA8 (10351),-0.06795371767051679,0.11488019554936602
ABCA9 (10350),-0.061465326101739305,0.11487815484193953
ABCB1 (5243),-0.15181070578924805,0.11896305380347473
ABCB10 (23456),-0.03234614539863612,0.17991445621745197
ABCB11 (8647),-0.1099001221936279,0.09898207090609985
ABCB4 (5244),-0.13223862900149885,0.1199611291579549
ABCB5 (340273),-0.0827369064140913,0.12629373848101771
ABCB6 (10058),-0.00858202494914123,0.10931085334206325
ABCB7 (22),-1.3345023434515348,0.3826410593899804
ABCB8 (11194),0.08971193479318015,0.11670853816747313
ABCB9 (23457),0.07045223489987504,0.11243168424872334
ABCC1 (4363),-0.0368497841818932,0.10970922382614212
ABCC10 (89845),-0.1347653184062413,0.1194823351197429
ABCC11 (85320),-0.010740494554219781,0.10800932884039169
ABCC12 (94160),0.196742946506483,0.09710585883076836
ABCC2 (1244),-0.05481601446654637,0.09738083026363535
ABCC3 (8714),-0.061770090598249824,0.1209098277770681
ABCC4 (10257),0.1467316608115936,0.12898404461334453
ABCC5 (10057),0.024032889963467714,0.1099860882543452
ABCC8 (6833),0.13222170068086606,0.09524916268346553
ABCC9 (10060),-0.15472076550175579,0.10579589468552027
ABCD1 (215),-0.09470864300779547,0.17572246148217294
ABCD2 (225),-0.09034957372553,0.12029506247543281
ABCD3 (5825),-0.15177746900178302,0.14530706545603417
ABCD4 (5826),-0.10289980273927217,0.1331051190899143
ABCE1 (6059),-2.2420038776193176,0.3936561548760804
ABCF1 (23),-0.9560432894381092,0.25602282330895737
ABCF3 (55324),0.022729254925774232,0.11203734066755412
ABCG1 (9619),0.06512215646260455,0.10490115400845026
ABCG2 (9429),-0.019237847294873104,0.11129487086597953
ABCG4 (64137),-0.03215312967197935,0.103341808104536
ABCG5 (64240),0.04369286841648776,0.11886173875053191
ABCG8 (64241),-0.007006444531814246,0.11131637348963315
ABHD1 (84696),0.004875615380643946,0.10703899664394577
ABHD10 (55347),0.04884657386452456,0.13058576019632342
ABHD11 (83451),-0.2672498608213354,0.24504478244963976
ABHD12 (26090),-0.04206664503303195,0.12135834871906084
ABHD12B (145447),0.05649183884451097,0.14075775037728433
ABHD13 (84945),-0.0731019871795562,0.15679669043186564
ABHD14A (25864),0.08289071138900345,0.10945879472826742
ABHD14B (84836),-0.04868027299288993,0.12467786973218731
ABHD15 (116236),-0.19544347383982055,0.15889442587761027
ABHD16A (7920),0.04709344309350102,0.12261222875132559
ABHD16B (140701),0.04725834345952565,0.11037375756088375
ABHD17A (81926),-0.2583862952380388,0.18617601502954034
ABHD17B (51104),0.01783888636463257,0.1294451790122031
ABHD17C (58489),0.029484477405859653,0.13701003411513815
ABHD18 (80167),0.023325412389488875,0.13549652361748116
ABHD2 (11057),-0.06207085965170403,0.14765888727545898
ABHD3 (171586),-0.07821718241065075,0.11211318486614497
ABHD4 (63874),0.024690629388312384,0.10504154392098905
ABHD5 (51099),-0.04019179358240689,0.10399814849886976
ABHD6 (57406),0.046052650117379225,0.08839919168598298
ABHD8 (79575),-0.046528643895245705,0.1103215071901273
ABI1 (10006),-0.16546897946247177,0.16148395689744502
ABI2 (10152),0.025141078683341228,0.11340735822544189
ABI3 (51225),0.03498532033701337,0.12209123572002459
ABI3BP (25890),0.050748172617294106,0.12030043212604544
ABITRAM (54942),-0.019862595603210464,0.11930523403740499
ABL1 (25),0.001854265750463928,0.19169429302005256
ABL2 (27),0.012762171578494285,0.10243791703290679
ABLIM1 (3983),0.16195482879441062,0.1258732124952934
ABLIM2 (84448),-0.0029401433768257317,0.11512742388693883
ABLIM3 (22885),-0.011148749831422215,0.10897800263847439
ABR (29),-0.09131428181695626,0.1376422732729364
ABRACL (58527),0.09605727181254853,0.10492992295571084
ABRAXAS1 (84142),-0.21874287779591856,0.15928446254488865
ABRAXAS2 (23172),0.1208060737221745,0.14678878970676945
ABT1 (29777),-1.176893746504028,0.23550085682205232
ABTB1 (80325),-0.01760739505550445,0.11721773841274864
ABTB2 (25841),0.003099097591922882,0.11532861605607092
ABTB3 (121551),0.015579490115404762,0.12665011122831565
ACAA1 (30),-0.0660074976787499,0.16718432338127684
ACAA2 (10449),0.013795307117702514,0.11160153851381585
ACACA (31),-0.5043047826260078,0.2826135576673714
ACACB (32),-0.19778390876742336,0.10928034606454838
ACAD10 (80724),-0.08479571348963437,0.1110873935803887
ACAD11 (84129),0.057171797159062884,0.08871762695777444
ACAD8 (27034),0.033528302843557456,0.1132870760922526
ACAD9 (28976),-0.267252117048337,0.18842183985707964
ACADL (33),0.04199861481071113,0.12573527476551277
ACADM (34),-0.007488663515857031,0.11061175383682027
ACADS (35),-0.0450382556240605,0.1315510901993011
ACADSB (36),0.013727869231444069,0.12186063726495872
ACADVL (37),0.004618731661240683,0.11338533575485345
ACAN (176),-0.023286362994416224,0.11535351051328348
ACAP1 (9744),-0.08269673150301715,0.10650575459829356
ACAP2 (23527),-0.08943941816219902,0.14294806285301737
ACAP3 (116983),-0.09797569574575202,0.13601230811805537
ACAT1 (38),0.02015812542435893,0.12113047726999529
ACAT2 (39),-0.004824044003416584,0.16149748967263142
ACBD3 (64746),-0.047972754060371575,0.13712312460572518
ACBD4 (79777),-0.059710532703638124,0.12588638344540998
ACBD5 (91452),0.043413373305569825,0.14770496477528708
ACBD6 (84320),0.07414205517161679,0.11117394569635498
ACBD7 (414149),0.1328400489974033,0.11780882620922793
ACCS (84680),0.06083382279699096,0.1147398073186358
ACCSL (390110),-0.11658077776457292,0.12011063112343061
ACD (65057),-0.3151406689839128,0.20496564586027302
ACE (1636),-0.1481845871783723,0.12633748749743454
ACE2 (59272),0.17561540494153216,0.10442273110786245
ACER1 (125981),-0.08265227018470346,0.10282216269008876
ACER2 (340485),0.06418017074078228,0.11417190465930448
ACER3 (55331),0.07306283231859101,0.1137112475943416
ACHE (43),-0.15348620332523596,0.1898746411819763
ACIN1 (22985),-0.5645413561275646,0.2573891657669454
ACKR1 (2532),0.019430714796812496,0.10896756575340266
ACKR2 (1238),0.0709281322013561,0.10567564174584207
ACKR3 (57007),0.048704298411702776,0.10206077996221997
ACKR4 (51554),-0.08906813816721988,0.14832917263323883
