HugoSymbol,order
TP53,1
CDKN2A,2
MYC,3
KRAS,4
FGFR2,5
BRAF,6
PIK3CA,7
PTEN,8
AKT1,9
EGFR,10
ERBB2,11
BAP1,12
PBRM1,13
ARID1A,14
ARID2,15
KMT2A,16
KMT2D,17
TET2,18
IDH1,19
IDH2,20
SMAD4,21
TGFBR1,22
TGFBR2,23
CTNNB1,24
APC,25
AXIN1,26
